epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g),file_num,person,activity
1582744922842,2020-02-26T14.22.02.842,0.000,0.886,0.469,-0.002,1,Sabrina,deadlift
1582744922921,2020-02-26T14.22.02.921,0.079,0.895,0.474,-0.002,1,Sabrina,deadlift
1582744926189,2020-02-26T14.22.06.189,3.347,0.883,0.466,-0.008,1,Sabrina,deadlift
1582744926269,2020-02-26T14.22.06.269,3.427,0.892,0.484,-0.000,1,Sabrina,deadlift
1582744926348,2020-02-26T14.22.06.348,3.506,0.885,0.483,0.003,1,Sabrina,deadlift
1582744926508,2020-02-26T14.22.06.508,3.666,0.905,0.453,-0.011,1,Sabrina,deadlift
1582744926668,2020-02-26T14.22.06.668,3.826,0.913,0.440,-0.007,1,Sabrina,deadlift
1582744926747,2020-02-26T14.22.06.747,3.905,0.908,0.442,-0.002,1,Sabrina,deadlift
1582744927066,2020-02-26T14.22.07.066,4.224,0.896,0.465,-0.009,1,Sabrina,deadlift
1582744927145,2020-02-26T14.22.07.145,4.303,0.891,0.473,-0.001,1,Sabrina,deadlift
1582744933602,2020-02-26T14.22.13.602,10.760,0.900,0.475,-0.002,1,Sabrina,deadlift
1582744933681,2020-02-26T14.22.13.681,10.839,0.854,0.477,-0.034,1,Sabrina,deadlift
1582744933762,2020-02-26T14.22.13.762,10.920,0.897,0.378,0.007,1,Sabrina,deadlift
1582744933841,2020-02-26T14.22.13.841,10.999,0.912,0.469,-0.007,1,Sabrina,deadlift
1582744933922,2020-02-26T14.22.13.922,11.080,0.884,0.499,0.009,1,Sabrina,deadlift
1582744934240,2020-02-26T14.22.14.240,11.398,0.903,0.464,-0.016,1,Sabrina,deadlift
1582744934399,2020-02-26T14.22.14.399,11.557,0.908,0.441,-0.015,1,Sabrina,deadlift
1582744934480,2020-02-26T14.22.14.480,11.638,0.917,0.430,-0.005,1,Sabrina,deadlift
1582744934878,2020-02-26T14.22.14.878,12.036,0.900,0.466,-0.006,1,Sabrina,deadlift
1582744934957,2020-02-26T14.22.14.957,12.115,0.868,0.498,0.003,1,Sabrina,deadlift
1582744935117,2020-02-26T14.22.15.117,12.275,0.863,0.519,0.005,1,Sabrina,deadlift
1582744935196,2020-02-26T14.22.15.196,12.354,0.851,0.535,-0.001,1,Sabrina,deadlift
1582744935277,2020-02-26T14.22.15.277,12.435,0.836,0.551,-0.005,1,Sabrina,deadlift
1582744935356,2020-02-26T14.22.15.356,12.514,0.817,0.576,-0.013,1,Sabrina,deadlift
1582744935436,2020-02-26T14.22.15.436,12.594,0.800,0.592,-0.026,1,Sabrina,deadlift
1582744935515,2020-02-26T14.22.15.515,12.673,0.790,0.608,-0.025,1,Sabrina,deadlift
1582744935595,2020-02-26T14.22.15.595,12.753,0.782,0.626,-0.020,1,Sabrina,deadlift
1582744935675,2020-02-26T14.22.15.675,12.833,0.773,0.642,-0.020,1,Sabrina,deadlift
1582744935754,2020-02-26T14.22.15.754,12.912,0.765,0.666,-0.004,1,Sabrina,deadlift
1582744935835,2020-02-26T14.22.15.835,12.993,0.793,0.737,-0.029,1,Sabrina,deadlift
1582744935914,2020-02-26T14.22.15.914,13.072,0.812,0.780,-0.051,1,Sabrina,deadlift
1582744936074,2020-02-26T14.22.16.074,13.232,0.803,0.829,-0.057,1,Sabrina,deadlift
1582744936153,2020-02-26T14.22.16.153,13.311,0.756,0.825,-0.042,1,Sabrina,deadlift
1582744936233,2020-02-26T14.22.16.233,13.391,0.742,0.787,-0.031,1,Sabrina,deadlift
1582744936312,2020-02-26T14.22.16.312,13.470,0.757,0.711,-0.023,1,Sabrina,deadlift
1582744936551,2020-02-26T14.22.16.551,13.709,0.728,0.680,-0.034,1,Sabrina,deadlift
1582744936632,2020-02-26T14.22.16.632,13.790,0.663,0.546,-0.032,1,Sabrina,deadlift
1582744936711,2020-02-26T14.22.16.711,13.869,0.585,0.370,-0.031,1,Sabrina,deadlift
1582744936791,2020-02-26T14.22.16.791,13.949,0.488,0.422,-0.025,1,Sabrina,deadlift
1582744936870,2020-02-26T14.22.16.870,14.028,0.443,0.660,-0.041,1,Sabrina,deadlift
1582744936951,2020-02-26T14.22.16.951,14.109,0.555,0.785,-0.055,1,Sabrina,deadlift
1582744937030,2020-02-26T14.22.17.030,14.188,0.748,0.714,-0.062,1,Sabrina,deadlift
1582744937109,2020-02-26T14.22.17.109,14.267,0.769,0.679,-0.051,1,Sabrina,deadlift
1582744937190,2020-02-26T14.22.17.190,14.348,0.703,0.684,-0.039,1,Sabrina,deadlift
1582744937269,2020-02-26T14.22.17.269,14.427,0.595,0.707,-0.051,1,Sabrina,deadlift
1582744937349,2020-02-26T14.22.17.349,14.507,0.515,0.657,-0.051,1,Sabrina,deadlift
1582744937429,2020-02-26T14.22.17.429,14.587,0.547,0.524,-0.030,1,Sabrina,deadlift
1582744937508,2020-02-26T14.22.17.508,14.666,0.727,0.478,-0.024,1,Sabrina,deadlift
1582744937588,2020-02-26T14.22.17.588,14.746,0.833,0.519,-0.028,1,Sabrina,deadlift
1582744937667,2020-02-26T14.22.17.667,14.825,0.771,0.592,-0.035,1,Sabrina,deadlift
1582744937748,2020-02-26T14.22.17.748,14.906,0.782,0.706,-0.042,1,Sabrina,deadlift
1582744937827,2020-02-26T14.22.17.827,14.985,0.852,0.826,-0.047,1,Sabrina,deadlift
1582744937908,2020-02-26T14.22.17.908,15.066,0.702,0.833,-0.033,1,Sabrina,deadlift
1582744937987,2020-02-26T14.22.17.987,15.145,0.570,0.744,-0.021,1,Sabrina,deadlift
1582744938066,2020-02-26T14.22.18.066,15.224,0.539,0.634,-0.008,1,Sabrina,deadlift
1582744938146,2020-02-26T14.22.18.146,15.304,0.545,0.486,-0.001,1,Sabrina,deadlift
1582744938225,2020-02-26T14.22.18.225,15.383,0.565,0.471,-0.001,1,Sabrina,deadlift
