epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580688135382,2020-02-02T19.02.15.382,0.000,-0.068,0.985,0.043
1580688135462,2020-02-02T19.02.15.462,0.080,-0.069,0.994,0.044
1580688135541,2020-02-02T19.02.15.541,0.159,-0.069,0.992,0.044
1580688135621,2020-02-02T19.02.15.621,0.239,-0.069,0.993,0.044
1580688135701,2020-02-02T19.02.15.701,0.319,-0.068,0.992,0.043
1580688135780,2020-02-02T19.02.15.780,0.398,-0.069,0.991,0.043
1580688135861,2020-02-02T19.02.15.861,0.479,-0.070,0.992,0.043
1580688135940,2020-02-02T19.02.15.940,0.558,-0.069,0.992,0.044
1580688136019,2020-02-02T19.02.16.019,0.637,-0.069,0.991,0.044
1580688136100,2020-02-02T19.02.16.100,0.718,-0.069,0.991,0.044
1580688136179,2020-02-02T19.02.16.179,0.797,-0.069,0.992,0.043
1580688136258,2020-02-02T19.02.16.258,0.876,-0.069,0.992,0.044
1580688136338,2020-02-02T19.02.16.338,0.956,-0.069,0.991,0.043
1580688136417,2020-02-02T19.02.16.417,1.035,-0.070,0.992,0.043
1580688136497,2020-02-02T19.02.16.497,1.115,-0.069,0.991,0.044
1580688136577,2020-02-02T19.02.16.577,1.195,-0.069,0.991,0.044
1580688136656,2020-02-02T19.02.16.656,1.274,-0.069,0.992,0.044
1580688136735,2020-02-02T19.02.16.735,1.353,-0.069,0.992,0.043
1580688136816,2020-02-02T19.02.16.816,1.434,-0.068,0.992,0.043
1580688136895,2020-02-02T19.02.16.895,1.513,-0.068,0.992,0.044
1580688136976,2020-02-02T19.02.16.976,1.594,-0.068,0.991,0.043
1580688137055,2020-02-02T19.02.17.055,1.673,-0.069,0.991,0.044
1580688137134,2020-02-02T19.02.17.134,1.752,-0.068,0.991,0.043
1580688137214,2020-02-02T19.02.17.214,1.832,-0.069,0.993,0.043
1580688137293,2020-02-02T19.02.17.293,1.911,-0.069,0.992,0.043
1580688137372,2020-02-02T19.02.17.372,1.990,-0.069,0.992,0.043
1580688137453,2020-02-02T19.02.17.453,2.071,-0.067,0.991,0.044
1580688137532,2020-02-02T19.02.17.532,2.150,-0.067,0.992,0.043
1580688137611,2020-02-02T19.02.17.611,2.229,-0.067,0.993,0.044
1580688137692,2020-02-02T19.02.17.692,2.310,-0.067,0.991,0.043
1580688137771,2020-02-02T19.02.17.771,2.389,-0.067,0.991,0.044
1580688137850,2020-02-02T19.02.17.850,2.468,-0.067,0.991,0.044
1580688137931,2020-02-02T19.02.17.931,2.549,-0.067,0.992,0.045
1580688138010,2020-02-02T19.02.18.010,2.628,-0.068,0.992,0.044
1580688138090,2020-02-02T19.02.18.090,2.708,-0.068,0.991,0.043
1580688138169,2020-02-02T19.02.18.169,2.787,-0.068,0.992,0.044
1580688138248,2020-02-02T19.02.18.248,2.866,-0.067,0.991,0.044
1580688138329,2020-02-02T19.02.18.329,2.947,-0.068,0.992,0.044
1580688138408,2020-02-02T19.02.18.408,3.026,-0.067,0.991,0.044
1580688138487,2020-02-02T19.02.18.487,3.105,-0.066,0.992,0.044
1580688138568,2020-02-02T19.02.18.568,3.186,-0.066,0.992,0.044
1580688138647,2020-02-02T19.02.18.647,3.265,-0.067,0.992,0.043
1580688138726,2020-02-02T19.02.18.726,3.344,-0.068,0.992,0.043
