epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572890832470,2019-11-04T13.07.12.470,0.000,0.659,0.296,0.656
1572890832549,2019-11-04T13.07.12.549,0.079,0.666,0.300,0.662
1572890832628,2019-11-04T13.07.12.628,0.158,0.664,0.298,0.661
1572890832709,2019-11-04T13.07.12.709,0.239,0.664,0.297,0.661
1572890832788,2019-11-04T13.07.12.788,0.318,0.664,0.299,0.660
1572890832867,2019-11-04T13.07.12.867,0.397,0.664,0.298,0.661
1572890832947,2019-11-04T13.07.12.947,0.477,0.665,0.298,0.660
1572890833027,2019-11-04T13.07.13.027,0.557,0.664,0.298,0.661
1572890833106,2019-11-04T13.07.13.106,0.636,0.664,0.299,0.661
1572890833186,2019-11-04T13.07.13.186,0.716,0.664,0.298,0.660
1572890833265,2019-11-04T13.07.13.265,0.795,0.664,0.297,0.662
1572890833344,2019-11-04T13.07.13.344,0.874,0.665,0.299,0.661
1572890833425,2019-11-04T13.07.13.425,0.955,0.664,0.298,0.661
1572890833504,2019-11-04T13.07.13.504,1.034,0.663,0.298,0.661
1572890833583,2019-11-04T13.07.13.583,1.113,0.664,0.299,0.660
1572890833664,2019-11-04T13.07.13.664,1.194,0.664,0.298,0.660
1572890833743,2019-11-04T13.07.13.743,1.273,0.664,0.298,0.660
1572890833822,2019-11-04T13.07.13.822,1.352,0.664,0.297,0.660
1572890833903,2019-11-04T13.07.13.903,1.433,0.664,0.299,0.661
1572890833982,2019-11-04T13.07.13.982,1.512,0.664,0.298,0.662
1572890834061,2019-11-04T13.07.14.061,1.591,0.663,0.298,0.661
1572890834141,2019-11-04T13.07.14.141,1.671,0.664,0.299,0.661
1572890834220,2019-11-04T13.07.14.220,1.750,0.665,0.298,0.661
1572890834300,2019-11-04T13.07.14.300,1.830,0.664,0.298,0.660
1572890834380,2019-11-04T13.07.14.380,1.910,0.664,0.299,0.661
1572890834459,2019-11-04T13.07.14.459,1.989,0.665,0.298,0.661
1572890834538,2019-11-04T13.07.14.538,2.068,0.664,0.299,0.661
1572890834619,2019-11-04T13.07.14.619,2.149,0.665,0.297,0.660
1572890834698,2019-11-04T13.07.14.698,2.228,0.664,0.298,0.661
1572890834777,2019-11-04T13.07.14.777,2.307,0.663,0.299,0.661
1572890834858,2019-11-04T13.07.14.858,2.388,0.664,0.299,0.661
1572890834937,2019-11-04T13.07.14.937,2.467,0.665,0.297,0.661
1572890835016,2019-11-04T13.07.15.016,2.546,0.664,0.298,0.661
1572890835096,2019-11-04T13.07.15.096,2.626,0.664,0.298,0.661
1572890835175,2019-11-04T13.07.15.175,2.705,0.665,0.297,0.662
1572890835255,2019-11-04T13.07.15.255,2.785,0.664,0.298,0.660
1572890835335,2019-11-04T13.07.15.335,2.865,0.664,0.299,0.661
1572890835414,2019-11-04T13.07.15.414,2.944,0.664,0.298,0.662
1572890835493,2019-11-04T13.07.15.493,3.023,0.663,0.298,0.662
1572890835574,2019-11-04T13.07.15.574,3.104,0.664,0.299,0.661
1572890835653,2019-11-04T13.07.15.653,3.183,0.664,0.298,0.660
1572890835732,2019-11-04T13.07.15.732,3.262,0.664,0.298,0.660
1572890835813,2019-11-04T13.07.15.813,3.343,0.665,0.297,0.660
1572890835892,2019-11-04T13.07.15.892,3.422,0.664,0.298,0.662
1572890835972,2019-11-04T13.07.15.972,3.502,0.664,0.299,0.661
1572890836051,2019-11-04T13.07.16.051,3.581,0.665,0.298,0.660
1572890836131,2019-11-04T13.07.16.131,3.661,0.664,0.298,0.660
1572890836211,2019-11-04T13.07.16.211,3.741,0.664,0.299,0.661
1572890836290,2019-11-04T13.07.16.290,3.820,0.665,0.298,0.658
1572890836369,2019-11-04T13.07.16.369,3.899,0.665,0.298,0.659
1572890836450,2019-11-04T13.07.16.450,3.980,0.664,0.298,0.660
1572890836529,2019-11-04T13.07.16.529,4.059,0.665,0.298,0.661
1572890836608,2019-11-04T13.07.16.608,4.138,0.664,0.297,0.660
1572890836689,2019-11-04T13.07.16.689,4.219,0.664,0.298,0.660
1572890836768,2019-11-04T13.07.16.768,4.298,0.664,0.299,0.661
1572890836847,2019-11-04T13.07.16.847,4.377,0.664,0.298,0.661
1572890836927,2019-11-04T13.07.16.927,4.457,0.664,0.297,0.660
1572890837007,2019-11-04T13.07.17.007,4.537,0.664,0.298,0.661
1572890837086,2019-11-04T13.07.17.086,4.616,0.664,0.298,0.661
1572890837166,2019-11-04T13.07.17.166,4.696,0.664,0.298,0.661
1572890837245,2019-11-04T13.07.17.245,4.775,0.664,0.298,0.661
1572890837324,2019-11-04T13.07.17.324,4.854,0.665,0.299,0.661
1572890837405,2019-11-04T13.07.17.405,4.935,0.664,0.298,0.661
