epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582745084464,2020-02-26T14.24.44.464,0.000,-0.896,0.450,-0.010
1582745084543,2020-02-26T14.24.44.543,0.079,-0.903,0.456,-0.011
1582745084622,2020-02-26T14.24.44.622,0.158,-0.902,0.454,-0.013
1582745084701,2020-02-26T14.24.44.701,0.237,-0.901,0.454,-0.010
1582745084780,2020-02-26T14.24.44.780,0.316,-0.901,0.456,-0.013
1582745084861,2020-02-26T14.24.44.861,0.397,-0.901,0.455,-0.011
1582745084940,2020-02-26T14.24.44.940,0.476,-0.902,0.455,-0.010
1582745085019,2020-02-26T14.24.45.019,0.555,-0.901,0.454,-0.012
1582745085098,2020-02-26T14.24.45.098,0.634,-0.901,0.456,-0.010
1582745085177,2020-02-26T14.24.45.177,0.713,-0.901,0.455,-0.011
1582745085256,2020-02-26T14.24.45.256,0.792,-0.901,0.458,-0.011
1582745085337,2020-02-26T14.24.45.337,0.873,-0.902,0.455,-0.010
1582745085416,2020-02-26T14.24.45.416,0.952,-0.902,0.458,-0.011
1582745085495,2020-02-26T14.24.45.495,1.031,-0.902,0.456,-0.013
1582745085574,2020-02-26T14.24.45.574,1.110,-0.901,0.458,-0.010
1582745085653,2020-02-26T14.24.45.653,1.189,-0.901,0.456,-0.012
1582745085732,2020-02-26T14.24.45.732,1.268,-0.901,0.458,-0.010
1582745085813,2020-02-26T14.24.45.813,1.349,-0.901,0.457,-0.010
1582745085892,2020-02-26T14.24.45.892,1.428,-0.901,0.458,-0.011
1582745085971,2020-02-26T14.24.45.971,1.507,-0.901,0.456,-0.010
1582745086050,2020-02-26T14.24.46.050,1.586,-0.901,0.456,-0.012
1582745086129,2020-02-26T14.24.46.129,1.665,-0.901,0.458,-0.012
1582745086208,2020-02-26T14.24.46.208,1.744,-0.902,0.456,-0.011
1582745086287,2020-02-26T14.24.46.287,1.823,-0.901,0.458,-0.011
1582745086368,2020-02-26T14.24.46.368,1.904,-0.902,0.456,-0.012
1582745086447,2020-02-26T14.24.46.447,1.983,-0.900,0.457,-0.010
1582745086526,2020-02-26T14.24.46.526,2.062,-0.901,0.457,-0.012
1582745086605,2020-02-26T14.24.46.605,2.141,-0.901,0.457,-0.010
1582745086684,2020-02-26T14.24.46.684,2.220,-0.901,0.457,-0.011
1582745086764,2020-02-26T14.24.46.764,2.300,-0.902,0.457,-0.013
1582745086844,2020-02-26T14.24.46.844,2.380,-0.901,0.457,-0.011
1582745086923,2020-02-26T14.24.46.923,2.459,-0.901,0.457,-0.012
1582745087002,2020-02-26T14.24.47.002,2.538,-0.901,0.458,-0.011
1582745087081,2020-02-26T14.24.47.081,2.617,-0.901,0.457,-0.011
1582745087160,2020-02-26T14.24.47.160,2.696,-0.902,0.457,-0.011
1582745087240,2020-02-26T14.24.47.240,2.776,-0.901,0.458,-0.010
1582745087320,2020-02-26T14.24.47.320,2.856,-0.901,0.457,-0.011
1582745087399,2020-02-26T14.24.47.399,2.935,-0.900,0.457,-0.011
1582745087478,2020-02-26T14.24.47.478,3.014,-0.901,0.456,-0.011
1582745087557,2020-02-26T14.24.47.557,3.093,-0.901,0.458,-0.012
1582745087637,2020-02-26T14.24.47.637,3.173,-0.902,0.456,-0.010
1582745087716,2020-02-26T14.24.47.716,3.252,-0.901,0.457,-0.012
1582745087795,2020-02-26T14.24.47.795,3.331,-0.901,0.458,-0.012
1582745087875,2020-02-26T14.24.47.875,3.411,-0.901,0.455,-0.009
1582745087954,2020-02-26T14.24.47.954,3.490,-0.901,0.456,-0.012
1582745088034,2020-02-26T14.24.48.034,3.570,-0.901,0.455,-0.012
1582745088113,2020-02-26T14.24.48.113,3.649,-0.901,0.456,-0.011
1582745088192,2020-02-26T14.24.48.192,3.728,-0.902,0.455,-0.013
1582745088271,2020-02-26T14.24.48.271,3.807,-0.901,0.456,-0.011
1582745088351,2020-02-26T14.24.48.351,3.887,-0.902,0.456,-0.012
1582745088431,2020-02-26T14.24.48.431,3.967,-0.902,0.456,-0.012
1582745088510,2020-02-26T14.24.48.510,4.046,-0.902,0.457,-0.009
1582745088589,2020-02-26T14.24.48.589,4.125,-0.902,0.457,-0.012
1582745088668,2020-02-26T14.24.48.668,4.204,-0.901,0.458,-0.011
1582745088747,2020-02-26T14.24.48.747,4.283,-0.902,0.456,-0.011
1582745088827,2020-02-26T14.24.48.827,4.363,-0.902,0.458,-0.011
1582745088907,2020-02-26T14.24.48.907,4.443,-0.905,0.456,-0.011
1582745088986,2020-02-26T14.24.48.986,4.522,-0.901,0.458,-0.012
1582745089065,2020-02-26T14.24.49.065,4.601,-0.901,0.458,-0.010
1582745089144,2020-02-26T14.24.49.144,4.680,-0.902,0.455,-0.011
1582745089223,2020-02-26T14.24.49.223,4.759,-0.901,0.458,-0.012
1582745089304,2020-02-26T14.24.49.304,4.840,-0.903,0.456,-0.011
