epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580688840745,2020-02-02T19.14.00.745,0.000,-0.964,0.419,0.045
1580688840826,2020-02-02T19.14.00.826,0.081,-0.964,0.419,0.046
1580688840905,2020-02-02T19.14.00.905,0.160,-0.964,0.418,0.045
1580688840984,2020-02-02T19.14.00.984,0.239,-0.965,0.418,0.046
1580688841064,2020-02-02T19.14.01.064,0.319,-0.964,0.418,0.046
1580688841144,2020-02-02T19.14.01.144,0.399,-0.963,0.417,0.047
1580688841224,2020-02-02T19.14.01.224,0.479,-0.965,0.419,0.046
1580688841303,2020-02-02T19.14.01.303,0.558,-0.964,0.418,0.045
1580688841382,2020-02-02T19.14.01.382,0.637,-0.964,0.418,0.044
1580688841463,2020-02-02T19.14.01.463,0.718,-0.964,0.419,0.045
1580688841542,2020-02-02T19.14.01.542,0.797,-0.964,0.418,0.046
1580688841621,2020-02-02T19.14.01.621,0.876,-0.964,0.418,0.045
1580688841702,2020-02-02T19.14.01.702,0.957,-0.965,0.418,0.046
1580688841781,2020-02-02T19.14.01.781,1.036,-0.964,0.418,0.046
1580688841861,2020-02-02T19.14.01.861,1.116,-0.964,0.418,0.045
1580688841940,2020-02-02T19.14.01.940,1.195,-0.964,0.419,0.045
1580688842020,2020-02-02T19.14.02.020,1.275,-0.965,0.419,0.046
1580688842100,2020-02-02T19.14.02.100,1.355,-0.965,0.419,0.045
1580688842179,2020-02-02T19.14.02.179,1.434,-0.964,0.418,0.045
1580688842258,2020-02-02T19.14.02.258,1.513,-0.964,0.419,0.046
1580688842339,2020-02-02T19.14.02.339,1.594,-0.964,0.419,0.045
1580688842418,2020-02-02T19.14.02.418,1.673,-0.964,0.418,0.046
1580688842499,2020-02-02T19.14.02.499,1.754,-0.963,0.418,0.044
1580688842578,2020-02-02T19.14.02.578,1.833,-0.964,0.418,0.045
1580688842657,2020-02-02T19.14.02.657,1.912,-0.965,0.418,0.045
1580688842737,2020-02-02T19.14.02.737,1.992,-0.963,0.419,0.045
1580688842816,2020-02-02T19.14.02.816,2.071,-0.962,0.421,0.045
1580688842895,2020-02-02T19.14.02.895,2.150,-0.962,0.422,0.045
1580688842976,2020-02-02T19.14.02.976,2.231,-0.966,0.416,0.045
1580688843055,2020-02-02T19.14.03.055,2.310,-0.967,0.413,0.045
1580688843136,2020-02-02T19.14.03.136,2.391,-0.966,0.415,0.046
1580688843215,2020-02-02T19.14.03.215,2.470,-0.965,0.418,0.045
1580688843294,2020-02-02T19.14.03.294,2.549,-0.963,0.420,0.047
1580688843375,2020-02-02T19.14.03.375,2.630,-0.963,0.421,0.045
1580688843454,2020-02-02T19.14.03.454,2.709,-0.962,0.421,0.044
1580688843533,2020-02-02T19.14.03.533,2.788,-0.964,0.421,0.045
1580688843613,2020-02-02T19.14.03.613,2.868,-0.963,0.421,0.045
1580688843692,2020-02-02T19.14.03.692,2.947,-0.963,0.421,0.044
1580688843773,2020-02-02T19.14.03.773,3.028,-0.963,0.419,0.046
1580688843852,2020-02-02T19.14.03.852,3.107,-0.966,0.419,0.045
1580688843931,2020-02-02T19.14.03.931,3.186,-0.963,0.418,0.046
1580688844012,2020-02-02T19.14.04.012,3.267,-0.964,0.419,0.044
1580688844091,2020-02-02T19.14.04.091,3.346,-0.963,0.420,0.045
1580688844170,2020-02-02T19.14.04.170,3.425,-0.962,0.421,0.045
1580688844250,2020-02-02T19.14.04.250,3.505,-0.964,0.421,0.045
1580688844330,2020-02-02T19.14.04.330,3.585,-0.964,0.419,0.044
1580688844410,2020-02-02T19.14.04.410,3.665,-0.963,0.419,0.045
1580688844489,2020-02-02T19.14.04.489,3.744,-0.965,0.419,0.044
1580688844568,2020-02-02T19.14.04.568,3.823,-0.964,0.419,0.044
1580688844649,2020-02-02T19.14.04.649,3.904,-0.964,0.420,0.045
1580688844728,2020-02-02T19.14.04.728,3.983,-0.963,0.419,0.046
1580688844807,2020-02-02T19.14.04.807,4.062,-0.964,0.420,0.045
1580688844888,2020-02-02T19.14.04.888,4.143,-0.963,0.420,0.045
1580688844967,2020-02-02T19.14.04.967,4.222,-0.964,0.420,0.045
1580688845047,2020-02-02T19.14.05.047,4.302,-0.962,0.419,0.044
1580688845126,2020-02-02T19.14.05.126,4.381,-0.963,0.419,0.044
1580688845206,2020-02-02T19.14.05.206,4.461,-0.963,0.420,0.045
1580688845286,2020-02-02T19.14.05.286,4.541,-0.964,0.420,0.044
1580688845365,2020-02-02T19.14.05.365,4.620,-0.964,0.420,0.044
1580688845444,2020-02-02T19.14.05.444,4.699,-0.963,0.419,0.044
1580688845525,2020-02-02T19.14.05.525,4.780,-0.963,0.420,0.045
1580688845604,2020-02-02T19.14.05.604,4.859,-0.964,0.420,0.044
1580688845685,2020-02-02T19.14.05.685,4.940,-0.964,0.419,0.045
1580688845764,2020-02-02T19.14.05.764,5.019,-0.964,0.420,0.045
1580688845843,2020-02-02T19.14.05.843,5.098,-0.963,0.421,0.043
1580688845923,2020-02-02T19.14.05.923,5.178,-0.964,0.420,0.044
1580688846002,2020-02-02T19.14.06.002,5.257,-0.963,0.420,0.044
1580688846082,2020-02-02T19.14.06.082,5.337,-0.964,0.420,0.044
