epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580688699254,2020-02-02T19.11.39.254,0.000,-1.042,0.183,0.048
1580688699333,2020-02-02T19.11.39.333,0.079,-1.042,0.183,0.047
1580688699412,2020-02-02T19.11.39.412,0.158,-1.043,0.181,0.047
1580688699493,2020-02-02T19.11.39.493,0.239,-1.042,0.183,0.046
1580688699572,2020-02-02T19.11.39.572,0.318,-1.041,0.184,0.048
1580688699651,2020-02-02T19.11.39.651,0.397,-1.042,0.184,0.047
1580688699732,2020-02-02T19.11.39.732,0.478,-1.042,0.183,0.047
1580688699811,2020-02-02T19.11.39.811,0.557,-1.042,0.184,0.048
1580688699890,2020-02-02T19.11.39.890,0.636,-1.043,0.185,0.047
1580688699970,2020-02-02T19.11.39.970,0.716,-1.043,0.183,0.047
1580688700049,2020-02-02T19.11.40.049,0.795,-1.042,0.182,0.047
1580688700130,2020-02-02T19.11.40.130,0.876,-1.042,0.183,0.047
1580688700209,2020-02-02T19.11.40.209,0.955,-1.042,0.183,0.047
1580688700288,2020-02-02T19.11.40.288,1.034,-1.042,0.183,0.047
1580688700369,2020-02-02T19.11.40.369,1.115,-1.042,0.184,0.047
1580688700448,2020-02-02T19.11.40.448,1.194,-1.042,0.184,0.045
1580688700527,2020-02-02T19.11.40.527,1.273,-1.042,0.183,0.047
1580688700608,2020-02-02T19.11.40.608,1.354,-1.042,0.183,0.047
1580688700687,2020-02-02T19.11.40.687,1.433,-1.043,0.183,0.046
1580688700767,2020-02-02T19.11.40.767,1.513,-1.044,0.184,0.047
1580688700846,2020-02-02T19.11.40.846,1.592,-1.046,0.184,0.048
1580688700925,2020-02-02T19.11.40.925,1.671,-1.038,0.183,0.046
1580688701006,2020-02-02T19.11.41.006,1.752,-1.041,0.184,0.045
1580688701085,2020-02-02T19.11.41.085,1.831,-1.042,0.184,0.046
1580688701164,2020-02-02T19.11.41.164,1.910,-1.042,0.183,0.046
1580688701245,2020-02-02T19.11.41.245,1.991,-1.042,0.184,0.046
1580688701324,2020-02-02T19.11.41.324,2.070,-1.043,0.184,0.046
1580688701404,2020-02-02T19.11.41.404,2.150,-1.042,0.184,0.048
1580688701484,2020-02-02T19.11.41.484,2.230,-1.043,0.184,0.046
1580688701563,2020-02-02T19.11.41.563,2.309,-1.043,0.184,0.047
1580688701643,2020-02-02T19.11.41.643,2.389,-1.043,0.184,0.048
1580688701722,2020-02-02T19.11.41.722,2.468,-1.042,0.184,0.046
1580688701801,2020-02-02T19.11.41.801,2.547,-1.042,0.183,0.046
1580688701882,2020-02-02T19.11.41.882,2.628,-1.042,0.184,0.046
1580688701961,2020-02-02T19.11.41.961,2.707,-1.043,0.185,0.046
1580688702040,2020-02-02T19.11.42.040,2.786,-1.043,0.184,0.047
1580688702121,2020-02-02T19.11.42.121,2.867,-1.042,0.184,0.046
