epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572890610098,2019-11-04T13.03.30.098,0.000,0.665,-0.069,0.721
1572890610178,2019-11-04T13.03.30.178,0.080,0.670,-0.070,0.729
1572890610258,2019-11-04T13.03.30.258,0.160,0.670,-0.069,0.727
1572890610337,2019-11-04T13.03.30.337,0.239,0.669,-0.070,0.727
1572890610417,2019-11-04T13.03.30.417,0.319,0.669,-0.069,0.727
1572890610496,2019-11-04T13.03.30.496,0.398,0.669,-0.069,0.726
1572890610577,2019-11-04T13.03.30.577,0.479,0.669,-0.070,0.727
1572890610656,2019-11-04T13.03.30.656,0.558,0.670,-0.070,0.728
1572890610735,2019-11-04T13.03.30.735,0.637,0.669,-0.070,0.727
1572890610816,2019-11-04T13.03.30.816,0.718,0.669,-0.070,0.727
1572890610895,2019-11-04T13.03.30.895,0.797,0.669,-0.069,0.727
1572890610974,2019-11-04T13.03.30.974,0.876,0.669,-0.069,0.727
1572890611054,2019-11-04T13.03.31.054,0.956,0.669,-0.069,0.727
1572890611134,2019-11-04T13.03.31.134,1.036,0.669,-0.070,0.727
1572890611213,2019-11-04T13.03.31.213,1.115,0.670,-0.068,0.727
1572890611293,2019-11-04T13.03.31.293,1.195,0.669,-0.069,0.727
1572890611372,2019-11-04T13.03.31.372,1.274,0.670,-0.070,0.727
1572890611451,2019-11-04T13.03.31.451,1.353,0.669,-0.070,0.728
1572890611532,2019-11-04T13.03.31.532,1.434,0.669,-0.069,0.727
1572890611611,2019-11-04T13.03.31.611,1.513,0.669,-0.069,0.727
1572890611690,2019-11-04T13.03.31.690,1.592,0.668,-0.070,0.727
1572890611771,2019-11-04T13.03.31.771,1.673,0.669,-0.070,0.727
1572890611850,2019-11-04T13.03.31.850,1.752,0.669,-0.070,0.728
1572890611929,2019-11-04T13.03.31.929,1.831,0.670,-0.070,0.728
1572890612009,2019-11-04T13.03.32.009,1.911,0.669,-0.069,0.727
1572890612089,2019-11-04T13.03.32.089,1.991,0.669,-0.069,0.727
1572890612168,2019-11-04T13.03.32.168,2.070,0.668,-0.069,0.727
1572890612248,2019-11-04T13.03.32.248,2.150,0.669,-0.069,0.727
1572890612327,2019-11-04T13.03.32.327,2.229,0.669,-0.070,0.727
1572890612406,2019-11-04T13.03.32.406,2.308,0.669,-0.070,0.728
1572890612487,2019-11-04T13.03.32.487,2.389,0.669,-0.070,0.728
