epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572890950388,2019-11-04T13.09.10.388,0.000,0.718,-0.150,0.645
1572890950467,2019-11-04T13.09.10.467,0.079,0.728,-0.153,0.646
1572890950547,2019-11-04T13.09.10.547,0.159,0.722,-0.153,0.648
1572890950627,2019-11-04T13.09.10.627,0.239,0.724,-0.152,0.646
1572890950706,2019-11-04T13.09.10.706,0.318,0.723,-0.153,0.647
1572890950786,2019-11-04T13.09.10.786,0.398,0.723,-0.153,0.647
1572890950865,2019-11-04T13.09.10.865,0.477,0.724,-0.153,0.645
1572890950944,2019-11-04T13.09.10.944,0.556,0.722,-0.152,0.648
1572890951025,2019-11-04T13.09.11.025,0.637,0.724,-0.152,0.646
1572890951104,2019-11-04T13.09.11.104,0.716,0.722,-0.154,0.647
1572890951183,2019-11-04T13.09.11.183,0.795,0.723,-0.152,0.646
1572890951264,2019-11-04T13.09.11.264,0.876,0.723,-0.154,0.646
1572890951343,2019-11-04T13.09.11.343,0.955,0.722,-0.153,0.648
1572890951422,2019-11-04T13.09.11.422,1.034,0.725,-0.153,0.646
1572890951503,2019-11-04T13.09.11.503,1.115,0.722,-0.153,0.648
1572890951582,2019-11-04T13.09.11.582,1.194,0.724,-0.153,0.647
1572890951661,2019-11-04T13.09.11.661,1.273,0.724,-0.154,0.646
1572890951741,2019-11-04T13.09.11.741,1.353,0.722,-0.151,0.647
1572890951820,2019-11-04T13.09.11.820,1.432,0.724,-0.153,0.646
1572890951900,2019-11-04T13.09.11.900,1.512,0.723,-0.153,0.647
1572890951980,2019-11-04T13.09.11.980,1.592,0.723,-0.152,0.646
1572890952059,2019-11-04T13.09.12.059,1.671,0.723,-0.153,0.647
1572890952140,2019-11-04T13.09.12.140,1.752,0.722,-0.153,0.648
1572890952219,2019-11-04T13.09.12.219,1.831,0.723,-0.154,0.646
1572890952298,2019-11-04T13.09.12.298,1.910,0.722,-0.152,0.648
1572890952377,2019-11-04T13.09.12.377,1.989,0.725,-0.151,0.646
1572890952458,2019-11-04T13.09.12.458,2.070,0.723,-0.154,0.647
1572890952537,2019-11-04T13.09.12.537,2.149,0.724,-0.152,0.649
1572890952617,2019-11-04T13.09.12.617,2.229,0.724,-0.154,0.646
1572890952696,2019-11-04T13.09.12.696,2.308,0.722,-0.153,0.648
1572890952776,2019-11-04T13.09.12.776,2.388,0.725,-0.153,0.646
1572890952856,2019-11-04T13.09.12.856,2.468,0.723,-0.153,0.647
1572890952935,2019-11-04T13.09.12.935,2.547,0.723,-0.154,0.646
1572890953014,2019-11-04T13.09.13.014,2.626,0.724,-0.153,0.647
1572890953095,2019-11-04T13.09.13.095,2.707,0.723,-0.153,0.648
1572890953174,2019-11-04T13.09.13.174,2.786,0.724,-0.155,0.646
1572890953253,2019-11-04T13.09.13.253,2.865,0.723,-0.153,0.647
1572890953334,2019-11-04T13.09.13.334,2.946,0.723,-0.155,0.647
1572890953413,2019-11-04T13.09.13.413,3.025,0.724,-0.154,0.648
1572890953492,2019-11-04T13.09.13.492,3.104,0.723,-0.154,0.647
1572890953572,2019-11-04T13.09.13.572,3.184,0.725,-0.154,0.645
1572890953651,2019-11-04T13.09.13.651,3.263,0.723,-0.153,0.649
1572890953731,2019-11-04T13.09.13.731,3.343,0.724,-0.154,0.646
1572890953811,2019-11-04T13.09.13.811,3.423,0.723,-0.153,0.647
1572890953890,2019-11-04T13.09.13.890,3.502,0.723,-0.152,0.648
1572890953969,2019-11-04T13.09.13.969,3.581,0.724,-0.153,0.646
1572890954050,2019-11-04T13.09.14.050,3.662,0.723,-0.153,0.647
1572890954129,2019-11-04T13.09.14.129,3.741,0.725,-0.153,0.646
1572890954208,2019-11-04T13.09.14.208,3.820,0.724,-0.153,0.647
1572890954289,2019-11-04T13.09.14.289,3.901,0.723,-0.154,0.647
1572890954368,2019-11-04T13.09.14.368,3.980,0.723,-0.154,0.646
1572890954447,2019-11-04T13.09.14.447,4.059,0.723,-0.153,0.647
1572890954527,2019-11-04T13.09.14.527,4.139,0.724,-0.154,0.646
1572890954607,2019-11-04T13.09.14.607,4.219,0.723,-0.153,0.648
1572890954686,2019-11-04T13.09.14.686,4.298,0.723,-0.153,0.647
1572890954766,2019-11-04T13.09.14.766,4.378,0.723,-0.153,0.647
1572890954845,2019-11-04T13.09.14.845,4.457,0.723,-0.154,0.647
1572890954924,2019-11-04T13.09.14.924,4.536,0.724,-0.154,0.647
1572890955005,2019-11-04T13.09.15.005,4.617,0.724,-0.153,0.648
1572890955084,2019-11-04T13.09.15.084,4.696,0.724,-0.154,0.646
1572890955165,2019-11-04T13.09.15.165,4.777,0.723,-0.153,0.647
1572890955244,2019-11-04T13.09.15.244,4.856,0.723,-0.153,0.648
1572890955323,2019-11-04T13.09.15.323,4.935,0.723,-0.153,0.646
1572890955403,2019-11-04T13.09.15.403,5.015,0.722,-0.153,0.648
1572890955483,2019-11-04T13.09.15.483,5.095,0.725,-0.154,0.646
1572890955562,2019-11-04T13.09.15.562,5.174,0.723,-0.153,0.648
1572890955642,2019-11-04T13.09.15.642,5.254,0.723,-0.154,0.646
1572890955721,2019-11-04T13.09.15.721,5.333,0.724,-0.154,0.646
1572890955800,2019-11-04T13.09.15.800,5.412,0.723,-0.153,0.648
1572890955881,2019-11-04T13.09.15.881,5.493,0.724,-0.154,0.646
1572890955960,2019-11-04T13.09.15.960,5.572,0.722,-0.154,0.647
1572890956039,2019-11-04T13.09.16.039,5.651,0.723,-0.153,0.646
1572890956120,2019-11-04T13.09.16.120,5.732,0.724,-0.154,0.647
1572890956199,2019-11-04T13.09.16.199,5.811,0.722,-0.153,0.648
1572890956278,2019-11-04T13.09.16.278,5.890,0.723,-0.154,0.646
1572890956359,2019-11-04T13.09.16.359,5.971,0.723,-0.153,0.648
1572890956438,2019-11-04T13.09.16.438,6.050,0.723,-0.154,0.647
1572890956517,2019-11-04T13.09.16.517,6.129,0.722,-0.154,0.647
1572890956597,2019-11-04T13.09.16.597,6.209,0.723,-0.153,0.647
1572890956676,2019-11-04T13.09.16.676,6.288,0.723,-0.154,0.646
1572890956755,2019-11-04T13.09.16.755,6.367,0.723,-0.153,0.648
1572890956836,2019-11-04T13.09.16.836,6.448,0.724,-0.154,0.647
1572890956915,2019-11-04T13.09.16.915,6.527,0.723,-0.153,0.648
1572890956996,2019-11-04T13.09.16.996,6.608,0.723,-0.154,0.647
1572890957075,2019-11-04T13.09.17.075,6.687,0.723,-0.153,0.646
1572890957154,2019-11-04T13.09.17.154,6.766,0.723,-0.154,0.647
1572890957234,2019-11-04T13.09.17.234,6.846,0.723,-0.154,0.646
1572890957314,2019-11-04T13.09.17.314,6.926,0.722,-0.154,0.648
1572890957393,2019-11-04T13.09.17.393,7.005,0.723,-0.154,0.647
1572890957473,2019-11-04T13.09.17.473,7.085,0.723,-0.154,0.646
1572890957552,2019-11-04T13.09.17.552,7.164,0.723,-0.153,0.647
1572890957631,2019-11-04T13.09.17.631,7.243,0.724,-0.153,0.646
1572890957712,2019-11-04T13.09.17.712,7.324,0.724,-0.151,0.646
1572890957791,2019-11-04T13.09.17.791,7.403,0.723,-0.152,0.648
1572890957870,2019-11-04T13.09.17.870,7.482,0.723,-0.154,0.646
1572890957951,2019-11-04T13.09.17.951,7.563,0.723,-0.154,0.646
1572890958030,2019-11-04T13.09.18.030,7.642,0.723,-0.153,0.647
1572890958109,2019-11-04T13.09.18.109,7.721,0.724,-0.153,0.646
1572890958190,2019-11-04T13.09.18.190,7.802,0.723,-0.154,0.646
1572890958269,2019-11-04T13.09.18.269,7.881,0.723,-0.152,0.646
1572890958349,2019-11-04T13.09.18.349,7.961,0.723,-0.153,0.648
1572890958428,2019-11-04T13.09.18.428,8.040,0.723,-0.154,0.647
1572890958507,2019-11-04T13.09.18.507,8.119,0.724,-0.154,0.646
1572890958588,2019-11-04T13.09.18.588,8.200,0.723,-0.151,0.647
1572890958667,2019-11-04T13.09.18.667,8.279,0.726,-0.151,0.645
1572890958746,2019-11-04T13.09.18.746,8.358,0.723,-0.152,0.647
1572890958827,2019-11-04T13.09.18.827,8.439,0.723,-0.152,0.647
1572890958906,2019-11-04T13.09.18.906,8.518,0.725,-0.154,0.647
