epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582744348086,2020-02-26T14.12.28.086,0.000,-0.081,-1.017,0.013
1582744348166,2020-02-26T14.12.28.166,0.080,-0.082,-1.025,0.013
1582744348246,2020-02-26T14.12.28.246,0.160,-0.081,-1.023,0.013
1582744348325,2020-02-26T14.12.28.325,0.239,-0.081,-1.023,0.013
1582744348405,2020-02-26T14.12.28.405,0.319,-0.082,-1.023,0.013
1582744348484,2020-02-26T14.12.28.484,0.398,-0.082,-1.023,0.013
1582744348565,2020-02-26T14.12.28.565,0.479,-0.081,-1.024,0.013
1582744348644,2020-02-26T14.12.28.644,0.558,-0.082,-1.022,0.012
1582744348725,2020-02-26T14.12.28.725,0.639,-0.081,-1.023,0.012
1582744348804,2020-02-26T14.12.28.804,0.718,-0.081,-1.023,0.013
1582744348883,2020-02-26T14.12.28.883,0.797,-0.081,-1.022,0.013
1582744348963,2020-02-26T14.12.28.963,0.877,-0.082,-1.024,0.013
1582744349042,2020-02-26T14.12.29.042,0.956,-0.082,-1.023,0.013
1582744349123,2020-02-26T14.12.29.123,1.037,-0.082,-1.022,0.014
1582744349202,2020-02-26T14.12.29.202,1.116,-0.081,-1.023,0.013
1582744349283,2020-02-26T14.12.29.283,1.197,-0.083,-1.023,0.014
1582744349362,2020-02-26T14.12.29.362,1.276,-0.083,-1.023,0.013
1582744349441,2020-02-26T14.12.29.441,1.355,-0.082,-1.023,0.012
1582744349521,2020-02-26T14.12.29.521,1.435,-0.081,-1.023,0.013
1582744349601,2020-02-26T14.12.29.601,1.515,-0.082,-1.022,0.013
1582744349681,2020-02-26T14.12.29.681,1.595,-0.082,-1.023,0.013
1582744349760,2020-02-26T14.12.29.760,1.674,-0.083,-1.024,0.013
1582744349839,2020-02-26T14.12.29.839,1.753,-0.081,-1.023,0.012
1582744349920,2020-02-26T14.12.29.920,1.834,-0.081,-1.023,0.012
1582744349999,2020-02-26T14.12.29.999,1.913,-0.082,-1.023,0.013
1582744350080,2020-02-26T14.12.30.080,1.994,-0.082,-1.023,0.013
1582744350159,2020-02-26T14.12.30.159,2.073,-0.082,-1.022,0.013
1582744350239,2020-02-26T14.12.30.239,2.153,-0.082,-1.022,0.013
1582744350318,2020-02-26T14.12.30.318,2.232,-0.082,-1.023,0.013
1582744350397,2020-02-26T14.12.30.397,2.311,-0.081,-1.023,0.013
1582744350478,2020-02-26T14.12.30.478,2.392,-0.082,-1.023,0.013
1582744350557,2020-02-26T14.12.30.557,2.471,-0.081,-1.023,0.014
1582744350638,2020-02-26T14.12.30.638,2.552,-0.081,-1.023,0.013
1582744350717,2020-02-26T14.12.30.717,2.631,-0.082,-1.023,0.013
1582744350797,2020-02-26T14.12.30.797,2.711,-0.082,-1.023,0.012
1582744350876,2020-02-26T14.12.30.876,2.790,-0.082,-1.023,0.013
1582744350955,2020-02-26T14.12.30.955,2.869,-0.082,-1.023,0.013
1582744351036,2020-02-26T14.12.31.036,2.950,-0.082,-1.023,0.012
1582744351115,2020-02-26T14.12.31.115,3.029,-0.081,-1.023,0.013
1582744351196,2020-02-26T14.12.31.196,3.110,-0.082,-1.023,0.012
1582744351275,2020-02-26T14.12.31.275,3.189,-0.082,-1.023,0.013
1582744351355,2020-02-26T14.12.31.355,3.269,-0.082,-1.023,0.014
1582744351435,2020-02-26T14.12.31.435,3.349,-0.082,-1.023,0.013
1582744351514,2020-02-26T14.12.31.514,3.428,-0.081,-1.023,0.013
1582744351594,2020-02-26T14.12.31.594,3.508,-0.081,-1.023,0.012
1582744351673,2020-02-26T14.12.31.673,3.587,-0.082,-1.024,0.013
1582744351754,2020-02-26T14.12.31.754,3.668,-0.081,-1.023,0.013
1582744351833,2020-02-26T14.12.31.833,3.747,-0.081,-1.023,0.013
1582744351914,2020-02-26T14.12.31.914,3.828,-0.082,-1.023,0.013
1582744351993,2020-02-26T14.12.31.993,3.907,-0.081,-1.023,0.013
1582744352072,2020-02-26T14.12.32.072,3.986,-0.082,-1.023,0.013
1582744352152,2020-02-26T14.12.32.152,4.066,-0.082,-1.023,0.013
1582744352231,2020-02-26T14.12.32.231,4.145,-0.082,-1.023,0.012
1582744352312,2020-02-26T14.12.32.312,4.226,-0.082,-1.023,0.014
1582744352391,2020-02-26T14.12.32.391,4.305,-0.082,-1.022,0.013
1582744352470,2020-02-26T14.12.32.470,4.384,-0.082,-1.023,0.014
1582744352551,2020-02-26T14.12.32.551,4.465,-0.081,-1.023,0.013
1582744352630,2020-02-26T14.12.32.630,4.544,-0.082,-1.024,0.012
1582744352710,2020-02-26T14.12.32.710,4.624,-0.082,-1.023,0.013
1582744352789,2020-02-26T14.12.32.789,4.703,-0.081,-1.022,0.013
