epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582744250982,2020-02-26T14.10.50.982,0.000,1.003,-0.044,0.025
1582744251061,2020-02-26T14.10.51.061,0.079,1.049,-0.019,0.016
1582744251142,2020-02-26T14.10.51.142,0.160,1.015,-0.027,0.005
1582744251221,2020-02-26T14.10.51.221,0.239,1.015,-0.067,0.002
1582744251300,2020-02-26T14.10.51.300,0.318,1.045,-0.048,0.000
1582744251380,2020-02-26T14.10.51.380,0.398,1.041,-0.036,-0.005
1582744251459,2020-02-26T14.10.51.459,0.477,1.039,-0.058,-0.015
1582744251540,2020-02-26T14.10.51.540,0.558,1.047,-0.062,-0.023
1582744251619,2020-02-26T14.10.51.619,0.637,1.040,-0.053,-0.023
1582744251700,2020-02-26T14.10.51.700,0.718,1.047,-0.071,-0.013
1582744251779,2020-02-26T14.10.51.779,0.797,1.055,-0.092,-0.006
1582744251858,2020-02-26T14.10.51.858,0.876,1.039,-0.105,-0.007
1582744251939,2020-02-26T14.10.51.939,0.957,1.036,-0.101,-0.011
1582744252018,2020-02-26T14.10.52.018,1.036,1.043,-0.091,-0.011
1582744252098,2020-02-26T14.10.52.098,1.116,1.040,-0.099,-0.007
1582744252177,2020-02-26T14.10.52.177,1.195,1.034,-0.108,-0.005
1582744252256,2020-02-26T14.10.52.256,1.274,1.031,-0.107,-0.002
1582744252337,2020-02-26T14.10.52.337,1.355,1.025,-0.101,-0.003
1582744252416,2020-02-26T14.10.52.416,1.434,1.014,-0.104,-0.010
1582744252497,2020-02-26T14.10.52.497,1.515,1.003,-0.106,-0.014
1582744252576,2020-02-26T14.10.52.576,1.594,0.994,-0.094,-0.016
1582744252656,2020-02-26T14.10.52.656,1.674,0.995,-0.077,-0.013
1582744252735,2020-02-26T14.10.52.735,1.753,0.961,-0.072,-0.011
1582744252814,2020-02-26T14.10.52.814,1.832,0.913,-0.074,-0.018
1582744252895,2020-02-26T14.10.52.895,1.913,0.839,-0.066,-0.025
