epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580832227708,2020-02-04T11.03.47.708,0.000,-0.307,-0.933,0.126
1580832227789,2020-02-04T11.03.47.789,0.081,-0.309,-0.940,0.125
1580832227868,2020-02-04T11.03.47.868,0.160,-0.309,-0.938,0.126
1580832227949,2020-02-04T11.03.47.949,0.241,-0.308,-0.939,0.125
1580832228028,2020-02-04T11.03.48.028,0.320,-0.308,-0.938,0.125
1580832228108,2020-02-04T11.03.48.108,0.400,-0.308,-0.938,0.125
1580832228187,2020-02-04T11.03.48.187,0.479,-0.308,-0.938,0.127
1580832228268,2020-02-04T11.03.48.268,0.560,-0.308,-0.938,0.126
1580832228347,2020-02-04T11.03.48.347,0.639,-0.308,-0.938,0.126
1580832228428,2020-02-04T11.03.48.428,0.720,-0.308,-0.938,0.126
1580832228507,2020-02-04T11.03.48.507,0.799,-0.308,-0.937,0.125
1580832228587,2020-02-04T11.03.48.587,0.879,-0.307,-0.938,0.126
1580832228666,2020-02-04T11.03.48.666,0.958,-0.308,-0.938,0.126
1580832228747,2020-02-04T11.03.48.747,1.039,-0.309,-0.938,0.125
1580832228826,2020-02-04T11.03.48.826,1.118,-0.308,-0.938,0.126
1580832228907,2020-02-04T11.03.48.907,1.199,-0.309,-0.938,0.126
1580832228986,2020-02-04T11.03.48.986,1.278,-0.308,-0.939,0.126
1580832229066,2020-02-04T11.03.49.066,1.358,-0.308,-0.939,0.126
1580832229145,2020-02-04T11.03.49.145,1.437,-0.309,-0.938,0.126
1580832229226,2020-02-04T11.03.49.226,1.518,-0.308,-0.939,0.126
1580832229305,2020-02-04T11.03.49.305,1.597,-0.308,-0.938,0.126
1580832229386,2020-02-04T11.03.49.386,1.678,-0.309,-0.939,0.127
1580832229465,2020-02-04T11.03.49.465,1.757,-0.308,-0.939,0.125
1580832229545,2020-02-04T11.03.49.545,1.837,-0.309,-0.938,0.127
1580832229624,2020-02-04T11.03.49.624,1.916,-0.308,-0.939,0.126
1580832229705,2020-02-04T11.03.49.705,1.997,-0.309,-0.938,0.127
1580832229784,2020-02-04T11.03.49.784,2.076,-0.308,-0.938,0.126
1580832229865,2020-02-04T11.03.49.865,2.157,-0.308,-0.938,0.126
1580832229944,2020-02-04T11.03.49.944,2.236,-0.309,-0.939,0.125
1580832230024,2020-02-04T11.03.50.024,2.316,-0.308,-0.938,0.126
1580832230103,2020-02-04T11.03.50.103,2.395,-0.308,-0.938,0.126
1580832230184,2020-02-04T11.03.50.184,2.476,-0.308,-0.938,0.126
1580832230263,2020-02-04T11.03.50.263,2.555,-0.308,-0.938,0.127
1580832230344,2020-02-04T11.03.50.344,2.636,-0.308,-0.939,0.127
1580832230423,2020-02-04T11.03.50.423,2.715,-0.309,-0.938,0.126
1580832230503,2020-02-04T11.03.50.503,2.795,-0.309,-0.938,0.127
1580832230582,2020-02-04T11.03.50.582,2.874,-0.309,-0.939,0.126
1580832230663,2020-02-04T11.03.50.663,2.955,-0.308,-0.938,0.126
1580832230742,2020-02-04T11.03.50.742,3.034,-0.309,-0.939,0.126
1580832230823,2020-02-04T11.03.50.823,3.115,-0.309,-0.939,0.126
1580832230902,2020-02-04T11.03.50.902,3.194,-0.309,-0.938,0.127
1580832230982,2020-02-04T11.03.50.982,3.274,-0.309,-0.938,0.125
1580832231061,2020-02-04T11.03.51.061,3.353,-0.309,-0.938,0.126
1580832231142,2020-02-04T11.03.51.142,3.434,-0.309,-0.938,0.126
1580832231221,2020-02-04T11.03.51.221,3.513,-0.309,-0.939,0.126
1580832231302,2020-02-04T11.03.51.302,3.594,-0.309,-0.940,0.127
1580832231381,2020-02-04T11.03.51.381,3.673,-0.308,-0.939,0.126
1580832231461,2020-02-04T11.03.51.461,3.753,-0.308,-0.939,0.125
1580832231540,2020-02-04T11.03.51.540,3.832,-0.310,-0.940,0.126
1580832231621,2020-02-04T11.03.51.621,3.913,-0.309,-0.939,0.127
1580832231700,2020-02-04T11.03.51.700,3.992,-0.308,-0.939,0.127
1580832231781,2020-02-04T11.03.51.781,4.073,-0.309,-0.939,0.126
1580832231860,2020-02-04T11.03.51.860,4.152,-0.309,-0.938,0.126
1580832231940,2020-02-04T11.03.51.940,4.232,-0.308,-0.939,0.126
1580832232019,2020-02-04T11.03.52.019,4.311,-0.308,-0.939,0.126
1580832232100,2020-02-04T11.03.52.100,4.392,-0.308,-0.939,0.126
1580832232181,2020-02-04T11.03.52.181,4.473,-0.308,-0.939,0.126
1580832232260,2020-02-04T11.03.52.260,4.552,-0.308,-0.940,0.126
1580832232340,2020-02-04T11.03.52.340,4.632,-0.308,-0.940,0.126
1580832232419,2020-02-04T11.03.52.419,4.711,-0.308,-0.939,0.126
1580832232500,2020-02-04T11.03.52.500,4.792,-0.309,-0.938,0.125
1580832232579,2020-02-04T11.03.52.579,4.871,-0.309,-0.938,0.126
1580832232660,2020-02-04T11.03.52.660,4.952,-0.310,-0.938,0.126
1580832232739,2020-02-04T11.03.52.739,5.031,-0.311,-0.938,0.126
1580832232819,2020-02-04T11.03.52.819,5.111,-0.312,-0.938,0.126
1580832232898,2020-02-04T11.03.52.898,5.190,-0.312,-0.938,0.126
