epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580832123408,2020-02-04T11.02.03.408,0.000,-0.100,-0.983,0.098
1580832123489,2020-02-04T11.02.03.489,0.081,-0.101,-0.991,0.098
1580832123568,2020-02-04T11.02.03.568,0.160,-0.102,-0.989,0.098
1580832123648,2020-02-04T11.02.03.648,0.240,-0.103,-0.988,0.099
1580832123727,2020-02-04T11.02.03.727,0.319,-0.104,-0.987,0.099
1580832123808,2020-02-04T11.02.03.808,0.400,-0.104,-0.987,0.099
1580832123887,2020-02-04T11.02.03.887,0.479,-0.104,-0.989,0.099
1580832123968,2020-02-04T11.02.03.968,0.560,-0.104,-0.988,0.099
1580832124047,2020-02-04T11.02.04.047,0.639,-0.102,-0.989,0.099
1580832124127,2020-02-04T11.02.04.127,0.719,-0.102,-0.988,0.099
1580832124206,2020-02-04T11.02.04.206,0.798,-0.101,-0.989,0.097
1580832124287,2020-02-04T11.02.04.287,0.879,-0.100,-0.988,0.099
1580832124366,2020-02-04T11.02.04.366,0.958,-0.101,-0.988,0.098
1580832124447,2020-02-04T11.02.04.447,1.039,-0.102,-0.988,0.101
1580832124526,2020-02-04T11.02.04.526,1.118,-0.102,-0.989,0.099
1580832124606,2020-02-04T11.02.04.606,1.198,-0.104,-0.987,0.101
1580832124685,2020-02-04T11.02.04.685,1.277,-0.104,-0.987,0.098
1580832124766,2020-02-04T11.02.04.766,1.358,-0.103,-0.987,0.100
1580832124845,2020-02-04T11.02.04.845,1.437,-0.102,-0.987,0.098
1580832124926,2020-02-04T11.02.04.926,1.518,-0.102,-0.988,0.099
1580832125005,2020-02-04T11.02.05.005,1.597,-0.101,-0.989,0.098
1580832125085,2020-02-04T11.02.05.085,1.677,-0.102,-0.989,0.100
1580832125164,2020-02-04T11.02.05.164,1.756,-0.102,-0.988,0.098
1580832125245,2020-02-04T11.02.05.245,1.837,-0.102,-0.988,0.100
1580832125324,2020-02-04T11.02.05.324,1.916,-0.103,-0.989,0.098
1580832125405,2020-02-04T11.02.05.405,1.997,-0.104,-0.986,0.098
1580832125484,2020-02-04T11.02.05.484,2.076,-0.103,-0.988,0.098
1580832125564,2020-02-04T11.02.05.564,2.156,-0.103,-0.988,0.100
1580832125643,2020-02-04T11.02.05.643,2.235,-0.103,-0.988,0.099
1580832125724,2020-02-04T11.02.05.724,2.316,-0.101,-0.989,0.098
1580832125803,2020-02-04T11.02.05.803,2.395,-0.102,-0.989,0.098
1580832125884,2020-02-04T11.02.05.884,2.476,-0.102,-0.988,0.099
1580832125964,2020-02-04T11.02.05.964,2.556,-0.101,-0.989,0.099
1580832126043,2020-02-04T11.02.06.043,2.635,-0.102,-0.989,0.100
1580832126124,2020-02-04T11.02.06.124,2.716,-0.102,-0.988,0.099
1580832126203,2020-02-04T11.02.06.203,2.795,-0.102,-0.989,0.098
1580832126283,2020-02-04T11.02.06.283,2.875,-0.103,-0.989,0.099
1580832126363,2020-02-04T11.02.06.363,2.955,-0.102,-0.988,0.098
1580832126443,2020-02-04T11.02.06.443,3.035,-0.103,-0.988,0.101
1580832126522,2020-02-04T11.02.06.522,3.114,-0.102,-0.988,0.099
1580832126603,2020-02-04T11.02.06.603,3.195,-0.102,-0.988,0.099
1580832126682,2020-02-04T11.02.06.682,3.274,-0.102,-0.988,0.098
1580832126762,2020-02-04T11.02.06.762,3.354,-0.101,-0.989,0.100
1580832126842,2020-02-04T11.02.06.842,3.434,-0.102,-0.988,0.098
1580832126922,2020-02-04T11.02.06.922,3.514,-0.102,-0.988,0.099
1580832127001,2020-02-04T11.02.07.001,3.593,-0.103,-0.988,0.098
1580832127082,2020-02-04T11.02.07.082,3.674,-0.102,-0.988,0.099
1580832127161,2020-02-04T11.02.07.161,3.753,-0.103,-0.990,0.099
1580832127241,2020-02-04T11.02.07.241,3.833,-0.103,-0.989,0.099
1580832127321,2020-02-04T11.02.07.321,3.913,-0.102,-0.987,0.098
1580832127401,2020-02-04T11.02.07.401,3.993,-0.102,-0.987,0.100
1580832127480,2020-02-04T11.02.07.480,4.072,-0.102,-0.988,0.099
1580832127561,2020-02-04T11.02.07.561,4.153,-0.103,-0.988,0.099
1580832127640,2020-02-04T11.02.07.640,4.232,-0.102,-0.988,0.099
1580832127720,2020-02-04T11.02.07.720,4.312,-0.101,-0.989,0.100
1580832127800,2020-02-04T11.02.07.800,4.392,-0.102,-0.989,0.099
1580832127880,2020-02-04T11.02.07.880,4.472,-0.102,-0.988,0.099
1580832127959,2020-02-04T11.02.07.959,4.551,-0.102,-0.987,0.100
1580832128040,2020-02-04T11.02.08.040,4.632,-0.103,-0.988,0.099
1580832128119,2020-02-04T11.02.08.119,4.711,-0.102,-0.989,0.099
1580832128199,2020-02-04T11.02.08.199,4.791,-0.103,-0.988,0.098
1580832128279,2020-02-04T11.02.08.279,4.871,-0.102,-0.987,0.099
1580832128359,2020-02-04T11.02.08.359,4.951,-0.101,-0.989,0.098
1580832128438,2020-02-04T11.02.08.438,5.030,-0.103,-0.988,0.100
1580832128519,2020-02-04T11.02.08.519,5.111,-0.103,-0.989,0.099
1580832128598,2020-02-04T11.02.08.598,5.190,-0.102,-0.989,0.099
1580832128678,2020-02-04T11.02.08.678,5.270,-0.102,-0.988,0.098
1580832128758,2020-02-04T11.02.08.758,5.350,-0.102,-0.988,0.099
1580832128838,2020-02-04T11.02.08.838,5.430,-0.104,-0.988,0.099
1580832128917,2020-02-04T11.02.08.917,5.509,-0.104,-0.989,0.100
1580832128998,2020-02-04T11.02.08.998,5.590,-0.105,-0.989,0.098
1580832129077,2020-02-04T11.02.09.077,5.669,-0.107,-0.986,0.099
1580832129157,2020-02-04T11.02.09.157,5.749,-0.106,-0.988,0.098
1580832129237,2020-02-04T11.02.09.237,5.829,-0.109,-0.987,0.100
1580832129317,2020-02-04T11.02.09.317,5.909,-0.109,-0.987,0.099
1580832129396,2020-02-04T11.02.09.396,5.988,-0.106,-0.990,0.101
1580832129477,2020-02-04T11.02.09.477,6.069,-0.112,-0.987,0.099
1580832129556,2020-02-04T11.02.09.556,6.148,-0.117,-0.985,0.102
1580832129636,2020-02-04T11.02.09.636,6.228,-0.122,-0.982,0.101
