epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580831954264,2020-02-04T10.59.14.264,0.000,-0.534,-0.819,0.130
1580831954343,2020-02-04T10.59.14.343,0.079,-0.520,-0.841,0.130
1580831954424,2020-02-04T10.59.14.424,0.160,-0.511,-0.843,0.129
1580831954503,2020-02-04T10.59.14.503,0.239,-0.504,-0.848,0.128
1580831954583,2020-02-04T10.59.14.583,0.319,-0.510,-0.841,0.127
1580831954662,2020-02-04T10.59.14.662,0.398,-0.505,-0.847,0.131
1580831954743,2020-02-04T10.59.14.743,0.479,-0.515,-0.839,0.128
1580831954822,2020-02-04T10.59.14.822,0.558,-0.511,-0.841,0.130
1580831954903,2020-02-04T10.59.14.903,0.639,-0.516,-0.837,0.127
1580831954982,2020-02-04T10.59.14.982,0.718,-0.517,-0.839,0.131
1580831955062,2020-02-04T10.59.15.062,0.798,-0.520,-0.835,0.127
1580831955141,2020-02-04T10.59.15.141,0.877,-0.522,-0.835,0.130
1580831955222,2020-02-04T10.59.15.222,0.958,-0.525,-0.833,0.129
1580831955301,2020-02-04T10.59.15.301,1.037,-0.528,-0.830,0.129
1580831955382,2020-02-04T10.59.15.382,1.118,-0.531,-0.830,0.129
1580831955461,2020-02-04T10.59.15.461,1.197,-0.533,-0.827,0.130
1580831955541,2020-02-04T10.59.15.541,1.277,-0.536,-0.826,0.130
1580831955620,2020-02-04T10.59.15.620,1.356,-0.538,-0.824,0.130
1580831955701,2020-02-04T10.59.15.701,1.437,-0.541,-0.822,0.130
1580831955780,2020-02-04T10.59.15.780,1.516,-0.542,-0.821,0.130
1580831955861,2020-02-04T10.59.15.861,1.597,-0.544,-0.819,0.131
1580831955940,2020-02-04T10.59.15.940,1.676,-0.546,-0.818,0.130
1580831956020,2020-02-04T10.59.16.020,1.756,-0.547,-0.817,0.131
1580831956099,2020-02-04T10.59.16.099,1.835,-0.547,-0.817,0.129
1580831956180,2020-02-04T10.59.16.180,1.916,-0.545,-0.818,0.130
1580831956259,2020-02-04T10.59.16.259,1.995,-0.543,-0.821,0.130
1580831956340,2020-02-04T10.59.16.340,2.076,-0.542,-0.821,0.131
