epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580933033530,2020-02-05T15.03.53.530,0.000,0.011,0.936,0.045
1580933033611,2020-02-05T15.03.53.611,0.081,0.012,0.943,0.045
1580933033690,2020-02-05T15.03.53.690,0.160,0.011,0.941,0.045
1580933033769,2020-02-05T15.03.53.769,0.239,0.012,0.941,0.045
1580933033850,2020-02-05T15.03.53.850,0.320,0.012,0.941,0.045
1580933033929,2020-02-05T15.03.53.929,0.399,0.011,0.941,0.044
1580933034009,2020-02-05T15.03.54.009,0.479,0.011,0.942,0.045
1580933034088,2020-02-05T15.03.54.088,0.558,0.011,0.941,0.045
1580933034168,2020-02-05T15.03.54.168,0.638,0.012,0.940,0.045
1580933034248,2020-02-05T15.03.54.248,0.718,0.012,0.940,0.045
1580933034327,2020-02-05T15.03.54.327,0.797,0.011,0.941,0.045
1580933034408,2020-02-05T15.03.54.408,0.878,0.012,0.941,0.044
1580933034487,2020-02-05T15.03.54.487,0.957,0.012,0.941,0.045
1580933034567,2020-02-05T15.03.54.567,1.037,0.012,0.941,0.045
1580933034647,2020-02-05T15.03.54.647,1.117,0.012,0.941,0.045
1580933034726,2020-02-05T15.03.54.726,1.196,0.012,0.941,0.045
1580933034806,2020-02-05T15.03.54.806,1.276,0.012,0.941,0.046
1580933034885,2020-02-05T15.03.54.885,1.355,0.012,0.942,0.045
1580933034966,2020-02-05T15.03.54.966,1.436,0.012,0.942,0.045
1580933035045,2020-02-05T15.03.55.045,1.515,0.011,0.942,0.045
1580933035124,2020-02-05T15.03.55.124,1.594,0.011,0.941,0.046
1580933035205,2020-02-05T15.03.55.205,1.675,0.011,0.941,0.046
1580933035284,2020-02-05T15.03.55.284,1.754,0.011,0.941,0.044
1580933035364,2020-02-05T15.03.55.364,1.834,0.012,0.942,0.045
1580933035443,2020-02-05T15.03.55.443,1.913,0.012,0.941,0.045
1580933035522,2020-02-05T15.03.55.522,1.992,0.012,0.942,0.045
1580933035603,2020-02-05T15.03.55.603,2.073,0.013,0.940,0.045
1580933035682,2020-02-05T15.03.55.682,2.152,0.012,0.941,0.045
1580933035763,2020-02-05T15.03.55.763,2.233,0.012,0.941,0.046
1580933035842,2020-02-05T15.03.55.842,2.312,0.011,0.942,0.045
1580933035921,2020-02-05T15.03.55.921,2.391,0.011,0.941,0.045
1580933036001,2020-02-05T15.03.56.001,2.471,0.012,0.941,0.045
1580933036081,2020-02-05T15.03.56.081,2.551,0.012,0.941,0.046
1580933036161,2020-02-05T15.03.56.161,2.631,0.011,0.941,0.045
1580933036240,2020-02-05T15.03.56.240,2.710,0.011,0.941,0.046
1580933036319,2020-02-05T15.03.56.319,2.789,0.011,0.941,0.046
1580933036400,2020-02-05T15.03.56.400,2.870,0.011,0.941,0.045
1580933036479,2020-02-05T15.03.56.479,2.949,0.012,0.942,0.045
1580933036560,2020-02-05T15.03.56.560,3.030,0.012,0.940,0.045
1580933036639,2020-02-05T15.03.56.639,3.109,0.012,0.941,0.045
1580933036718,2020-02-05T15.03.56.718,3.188,0.011,0.942,0.044
1580933036798,2020-02-05T15.03.56.798,3.268,0.012,0.941,0.045
1580933036877,2020-02-05T15.03.56.877,3.347,0.011,0.941,0.045
1580933036958,2020-02-05T15.03.56.958,3.428,0.012,0.942,0.045
1580933037037,2020-02-05T15.03.57.037,3.507,0.012,0.940,0.045
1580933037116,2020-02-05T15.03.57.116,3.586,0.012,0.942,0.046
1580933037197,2020-02-05T15.03.57.197,3.667,0.012,0.941,0.046
1580933037276,2020-02-05T15.03.57.276,3.746,0.012,0.941,0.044
1580933037356,2020-02-05T15.03.57.356,3.826,0.011,0.941,0.045
1580933037436,2020-02-05T15.03.57.436,3.906,0.012,0.941,0.045
1580933037515,2020-02-05T15.03.57.515,3.985,0.012,0.941,0.045
1580933037595,2020-02-05T15.03.57.595,4.065,0.012,0.941,0.045
1580933037674,2020-02-05T15.03.57.674,4.144,0.011,0.941,0.045
1580933037755,2020-02-05T15.03.57.755,4.225,0.011,0.942,0.044
1580933037834,2020-02-05T15.03.57.834,4.304,0.012,0.941,0.045
1580933037913,2020-02-05T15.03.57.913,4.383,0.011,0.942,0.046
1580933037994,2020-02-05T15.03.57.994,4.464,0.011,0.940,0.045
1580933038073,2020-02-05T15.03.58.073,4.543,0.012,0.941,0.046
1580933038153,2020-02-05T15.03.58.153,4.623,0.011,0.942,0.046
1580933038232,2020-02-05T15.03.58.232,4.702,0.010,0.941,0.045
1580933038312,2020-02-05T15.03.58.312,4.782,0.011,0.941,0.045
1580933038392,2020-02-05T15.03.58.392,4.862,0.012,0.941,0.045
1580933038471,2020-02-05T15.03.58.471,4.941,0.012,0.941,0.046
1580933038552,2020-02-05T15.03.58.552,5.022,0.011,0.942,0.045
1580933038631,2020-02-05T15.03.58.631,5.101,0.012,0.940,0.044
1580933038710,2020-02-05T15.03.58.710,5.180,0.012,0.942,0.045
1580933038791,2020-02-05T15.03.58.791,5.261,0.011,0.941,0.045
1580933038870,2020-02-05T15.03.58.870,5.340,0.011,0.940,0.044
1580933038950,2020-02-05T15.03.58.950,5.420,0.012,0.942,0.044
1580933039029,2020-02-05T15.03.59.029,5.499,0.011,0.941,0.045
1580933039108,2020-02-05T15.03.59.108,5.578,0.011,0.941,0.044
1580933039189,2020-02-05T15.03.59.189,5.659,0.012,0.941,0.045
1580933039268,2020-02-05T15.03.59.268,5.738,0.012,0.941,0.045
1580933039349,2020-02-05T15.03.59.349,5.819,0.012,0.943,0.046
1580933039428,2020-02-05T15.03.59.428,5.898,0.012,0.942,0.046
1580933039508,2020-02-05T15.03.59.508,5.978,0.011,0.942,0.045
1580933039587,2020-02-05T15.03.59.587,6.057,0.012,0.940,0.046
1580933039667,2020-02-05T15.03.59.667,6.137,0.012,0.941,0.045
1580933039747,2020-02-05T15.03.59.747,6.217,0.012,0.941,0.045
1580933039826,2020-02-05T15.03.59.826,6.296,0.012,0.941,0.045
1580933039907,2020-02-05T15.03.59.907,6.377,0.012,0.940,0.045
1580933039986,2020-02-05T15.03.59.986,6.456,0.012,0.941,0.045
1580933040065,2020-02-05T15.04.00.065,6.535,0.011,0.941,0.045
1580933040146,2020-02-05T15.04.00.146,6.616,0.011,0.941,0.045
1580933040225,2020-02-05T15.04.00.225,6.695,0.012,0.941,0.045
1580933040305,2020-02-05T15.04.00.305,6.775,0.012,0.940,0.045
1580933040384,2020-02-05T15.04.00.384,6.854,0.012,0.941,0.044
1580933040463,2020-02-05T15.04.00.463,6.933,0.012,0.941,0.045
1580933040544,2020-02-05T15.04.00.544,7.014,0.011,0.941,0.045
1580933040623,2020-02-05T15.04.00.623,7.093,0.011,0.940,0.045
1580933040704,2020-02-05T15.04.00.704,7.174,0.010,0.941,0.045
1580933040783,2020-02-05T15.04.00.783,7.253,0.011,0.941,0.045
1580933040862,2020-02-05T15.04.00.862,7.332,0.012,0.941,0.045
1580933040942,2020-02-05T15.04.00.942,7.412,0.012,0.940,0.046
1580933041022,2020-02-05T15.04.01.022,7.492,0.012,0.942,0.046
1580933041102,2020-02-05T15.04.01.102,7.572,0.012,0.941,0.045
1580933041181,2020-02-05T15.04.01.181,7.651,0.012,0.941,0.045
1580933041260,2020-02-05T15.04.01.260,7.730,0.012,0.941,0.044
1580933041341,2020-02-05T15.04.01.341,7.811,0.012,0.942,0.044
1580933041420,2020-02-05T15.04.01.420,7.890,0.012,0.941,0.046
1580933041501,2020-02-05T15.04.01.501,7.971,0.012,0.942,0.045
1580933041580,2020-02-05T15.04.01.580,8.050,0.011,0.941,0.045
1580933041659,2020-02-05T15.04.01.659,8.129,0.011,0.940,0.045
1580933041739,2020-02-05T15.04.01.739,8.209,0.011,0.942,0.045
1580933041818,2020-02-05T15.04.01.818,8.288,0.011,0.941,0.045
1580933041899,2020-02-05T15.04.01.899,8.369,0.011,0.941,0.045
1580933041978,2020-02-05T15.04.01.978,8.448,0.012,0.941,0.045
1580933042059,2020-02-05T15.04.02.059,8.529,0.012,0.941,0.045
1580933042138,2020-02-05T15.04.02.138,8.608,0.011,0.941,0.045
1580933042217,2020-02-05T15.04.02.217,8.687,0.012,0.942,0.045
1580933042297,2020-02-05T15.04.02.297,8.767,0.012,0.940,0.045
1580933042376,2020-02-05T15.04.02.376,8.846,0.012,0.940,0.046
1580933042457,2020-02-05T15.04.02.457,8.927,0.012,0.941,0.045
1580933042536,2020-02-05T15.04.02.536,9.006,0.012,0.942,0.044
1580933042615,2020-02-05T15.04.02.615,9.085,0.013,0.940,0.045
1580933042696,2020-02-05T15.04.02.696,9.166,0.012,0.941,0.045
