epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580932919694,2020-02-05T15.01.59.694,0.000,-0.574,0.717,0.055
1580932919775,2020-02-05T15.01.59.775,0.081,-0.580,0.723,0.056
1580932919854,2020-02-05T15.01.59.854,0.160,-0.576,0.720,0.056
1580932919933,2020-02-05T15.01.59.933,0.239,-0.576,0.720,0.056
1580932920013,2020-02-05T15.02.00.013,0.319,-0.578,0.722,0.055
1580932920093,2020-02-05T15.02.00.093,0.399,-0.577,0.721,0.056
1580932920173,2020-02-05T15.02.00.173,0.479,-0.577,0.721,0.055
1580932920252,2020-02-05T15.02.00.252,0.558,-0.578,0.722,0.055
1580932920331,2020-02-05T15.02.00.331,0.637,-0.578,0.721,0.056
1580932920412,2020-02-05T15.02.00.412,0.718,-0.578,0.722,0.057
1580932920491,2020-02-05T15.02.00.491,0.797,-0.578,0.722,0.056
1580932920572,2020-02-05T15.02.00.572,0.878,-0.578,0.721,0.056
1580932920651,2020-02-05T15.02.00.651,0.957,-0.579,0.723,0.056
1580932920730,2020-02-05T15.02.00.730,1.036,-0.578,0.722,0.055
1580932920810,2020-02-05T15.02.00.810,1.116,-0.577,0.721,0.057
1580932920889,2020-02-05T15.02.00.889,1.195,-0.578,0.723,0.056
1580932920970,2020-02-05T15.02.00.970,1.276,-0.578,0.723,0.057
1580932921049,2020-02-05T15.02.01.049,1.355,-0.578,0.721,0.056
1580932921128,2020-02-05T15.02.01.128,1.434,-0.577,0.722,0.056
1580932921209,2020-02-05T15.02.01.209,1.515,-0.578,0.723,0.057
1580932921288,2020-02-05T15.02.01.288,1.594,-0.577,0.721,0.056
1580932921368,2020-02-05T15.02.01.368,1.674,-0.578,0.722,0.056
1580932921448,2020-02-05T15.02.01.448,1.754,-0.577,0.721,0.056
1580932921527,2020-02-05T15.02.01.527,1.833,-0.578,0.722,0.056
1580932921607,2020-02-05T15.02.01.607,1.913,-0.578,0.722,0.055
1580932921686,2020-02-05T15.02.01.686,1.992,-0.577,0.721,0.056
1580932921767,2020-02-05T15.02.01.767,2.073,-0.578,0.722,0.056
1580932921846,2020-02-05T15.02.01.846,2.152,-0.578,0.722,0.056
1580932921925,2020-02-05T15.02.01.925,2.231,-0.579,0.722,0.055
1580932922006,2020-02-05T15.02.02.006,2.312,-0.578,0.721,0.055
1580932922085,2020-02-05T15.02.02.085,2.391,-0.577,0.722,0.056
1580932922165,2020-02-05T15.02.02.165,2.471,-0.577,0.721,0.056
1580932922244,2020-02-05T15.02.02.244,2.550,-0.578,0.722,0.056
1580932922324,2020-02-05T15.02.02.324,2.630,-0.579,0.722,0.056
1580932922404,2020-02-05T15.02.02.404,2.710,-0.578,0.722,0.055
1580932922483,2020-02-05T15.02.02.483,2.789,-0.578,0.722,0.056
1580932922564,2020-02-05T15.02.02.564,2.870,-0.578,0.722,0.055
1580932922643,2020-02-05T15.02.02.643,2.949,-0.578,0.722,0.057
1580932922722,2020-02-05T15.02.02.722,3.028,-0.577,0.721,0.057
1580932922803,2020-02-05T15.02.02.803,3.109,-0.578,0.721,0.057
1580932922882,2020-02-05T15.02.02.882,3.188,-0.577,0.721,0.056
1580932922962,2020-02-05T15.02.02.962,3.268,-0.577,0.722,0.055
1580932923041,2020-02-05T15.02.03.041,3.347,-0.578,0.722,0.056
1580932923120,2020-02-05T15.02.03.120,3.426,-0.577,0.722,0.056
1580932923201,2020-02-05T15.02.03.201,3.507,-0.578,0.722,0.056
1580932923280,2020-02-05T15.02.03.280,3.586,-0.578,0.721,0.056
1580932923361,2020-02-05T15.02.03.361,3.667,-0.578,0.723,0.057
1580932923440,2020-02-05T15.02.03.440,3.746,-0.578,0.722,0.057
1580932923519,2020-02-05T15.02.03.519,3.825,-0.578,0.723,0.056
1580932923599,2020-02-05T15.02.03.599,3.905,-0.578,0.722,0.056
1580932923679,2020-02-05T15.02.03.679,3.985,-0.578,0.722,0.057
1580932923759,2020-02-05T15.02.03.759,4.065,-0.577,0.722,0.056
1580932923838,2020-02-05T15.02.03.838,4.144,-0.578,0.721,0.055
1580932923917,2020-02-05T15.02.03.917,4.223,-0.577,0.721,0.056
1580932923998,2020-02-05T15.02.03.998,4.304,-0.578,0.723,0.055
1580932924077,2020-02-05T15.02.04.077,4.383,-0.578,0.722,0.056
1580932924158,2020-02-05T15.02.04.158,4.464,-0.578,0.722,0.057
1580932924237,2020-02-05T15.02.04.237,4.543,-0.578,0.721,0.056
1580932924316,2020-02-05T15.02.04.316,4.622,-0.578,0.723,0.057
1580932924396,2020-02-05T15.02.04.396,4.702,-0.577,0.722,0.056
1580932924475,2020-02-05T15.02.04.475,4.781,-0.578,0.722,0.056
1580932924554,2020-02-05T15.02.04.554,4.860,-0.577,0.721,0.056
1580932924635,2020-02-05T15.02.04.635,4.941,-0.578,0.721,0.057
1580932924714,2020-02-05T15.02.04.714,5.020,-0.578,0.721,0.056
1580932924795,2020-02-05T15.02.04.795,5.101,-0.578,0.722,0.055
1580932924874,2020-02-05T15.02.04.874,5.180,-0.578,0.721,0.056
1580932924953,2020-02-05T15.02.04.953,5.259,-0.578,0.722,0.056
1580932925033,2020-02-05T15.02.05.033,5.339,-0.577,0.722,0.056
1580932925113,2020-02-05T15.02.05.113,5.419,-0.579,0.721,0.056
1580932925193,2020-02-05T15.02.05.193,5.499,-0.578,0.723,0.056
1580932925272,2020-02-05T15.02.05.272,5.578,-0.578,0.723,0.055
1580932925351,2020-02-05T15.02.05.351,5.657,-0.578,0.721,0.055
1580932925432,2020-02-05T15.02.05.432,5.738,-0.578,0.722,0.056
1580932925511,2020-02-05T15.02.05.511,5.817,-0.578,0.722,0.056
1580932925592,2020-02-05T15.02.05.592,5.898,-0.578,0.722,0.056
1580932925671,2020-02-05T15.02.05.671,5.977,-0.577,0.721,0.055
1580932925750,2020-02-05T15.02.05.750,6.056,-0.578,0.723,0.056
1580932925830,2020-02-05T15.02.05.830,6.136,-0.577,0.722,0.055
1580932925909,2020-02-05T15.02.05.909,6.215,-0.578,0.723,0.056
1580932925990,2020-02-05T15.02.05.990,6.296,-0.577,0.721,0.056
1580932926069,2020-02-05T15.02.06.069,6.375,-0.578,0.722,0.056
1580932926148,2020-02-05T15.02.06.148,6.454,-0.577,0.722,0.056
1580932926229,2020-02-05T15.02.06.229,6.535,-0.578,0.722,0.057
1580932926308,2020-02-05T15.02.06.308,6.614,-0.578,0.722,0.057
1580932926388,2020-02-05T15.02.06.388,6.694,-0.577,0.722,0.056
1580932926468,2020-02-05T15.02.06.468,6.774,-0.578,0.721,0.055
1580932926547,2020-02-05T15.02.06.547,6.853,-0.578,0.722,0.056
1580932926627,2020-02-05T15.02.06.627,6.933,-0.577,0.721,0.057
