epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582745221826,2020-02-26T14.27.01.826,0.000,0.295,-0.993,0.029
1582745221906,2020-02-26T14.27.01.906,0.080,0.297,-1.001,0.029
1582745221986,2020-02-26T14.27.01.986,0.160,0.296,-1.000,0.029
1582745222065,2020-02-26T14.27.02.065,0.239,0.296,-0.998,0.029
1582745222145,2020-02-26T14.27.02.145,0.319,0.297,-0.998,0.029
1582745222224,2020-02-26T14.27.02.224,0.398,0.296,-0.999,0.030
1582745222305,2020-02-26T14.27.02.305,0.479,0.296,-0.999,0.029
1582745222384,2020-02-26T14.27.02.384,0.558,0.296,-0.999,0.029
1582745222463,2020-02-26T14.27.02.463,0.637,0.296,-0.999,0.029
1582745222544,2020-02-26T14.27.02.544,0.718,0.296,-0.999,0.029
1582745222623,2020-02-26T14.27.02.623,0.797,0.297,-0.999,0.029
1582745222703,2020-02-26T14.27.02.703,0.877,0.297,-0.998,0.030
1582745222782,2020-02-26T14.27.02.782,0.956,0.297,-0.999,0.030
1582745222862,2020-02-26T14.27.02.862,1.036,0.297,-0.999,0.030
1582745222942,2020-02-26T14.27.02.942,1.116,0.297,-1.000,0.029
1582745223021,2020-02-26T14.27.03.021,1.195,0.297,-0.998,0.029
1582745223102,2020-02-26T14.27.03.102,1.276,0.297,-0.999,0.029
1582745223181,2020-02-26T14.27.03.181,1.355,0.296,-0.998,0.029
1582745223261,2020-02-26T14.27.03.261,1.435,0.296,-0.999,0.029
1582745223341,2020-02-26T14.27.03.341,1.515,0.296,-0.999,0.030
1582745223420,2020-02-26T14.27.03.420,1.594,0.296,-0.998,0.031
1582745223500,2020-02-26T14.27.03.500,1.674,0.296,-0.998,0.030
1582745223579,2020-02-26T14.27.03.579,1.753,0.296,-0.999,0.029
1582745223660,2020-02-26T14.27.03.660,1.834,0.297,-0.999,0.030
1582745223739,2020-02-26T14.27.03.739,1.913,0.296,-0.999,0.029
1582745223818,2020-02-26T14.27.03.818,1.992,0.296,-0.999,0.029
1582745223899,2020-02-26T14.27.03.899,2.073,0.297,-0.999,0.029
1582745223978,2020-02-26T14.27.03.978,2.152,0.297,-0.998,0.030
1582745224058,2020-02-26T14.27.04.058,2.232,0.296,-0.999,0.030
1582745224137,2020-02-26T14.27.04.137,2.311,0.297,-0.999,0.030
1582745224218,2020-02-26T14.27.04.218,2.392,0.297,-0.999,0.029
1582745224297,2020-02-26T14.27.04.297,2.471,0.296,-0.998,0.029
1582745224376,2020-02-26T14.27.04.376,2.550,0.296,-0.999,0.029
1582745224457,2020-02-26T14.27.04.457,2.631,0.296,-0.999,0.030
1582745224536,2020-02-26T14.27.04.536,2.710,0.296,-0.999,0.029
1582745224616,2020-02-26T14.27.04.616,2.790,0.296,-0.998,0.029
1582745224696,2020-02-26T14.27.04.696,2.870,0.296,-0.998,0.029
1582745224775,2020-02-26T14.27.04.775,2.949,0.297,-0.999,0.030
1582745224855,2020-02-26T14.27.04.855,3.029,0.296,-0.999,0.030
1582745224934,2020-02-26T14.27.04.934,3.108,0.296,-0.999,0.029
1582745225015,2020-02-26T14.27.05.015,3.189,0.296,-1.000,0.030
1582745225094,2020-02-26T14.27.05.094,3.268,0.297,-0.999,0.030
1582745225175,2020-02-26T14.27.05.175,3.349,0.296,-0.999,0.029
1582745225254,2020-02-26T14.27.05.254,3.428,0.296,-0.999,0.029
1582745225333,2020-02-26T14.27.05.333,3.507,0.297,-0.999,0.029
1582745225413,2020-02-26T14.27.05.413,3.587,0.297,-0.998,0.030
1582745225492,2020-02-26T14.27.05.492,3.666,0.297,-0.998,0.029
1582745225573,2020-02-26T14.27.05.573,3.747,0.297,-0.999,0.029
1582745225652,2020-02-26T14.27.05.652,3.826,0.296,-0.999,0.030
1582745225731,2020-02-26T14.27.05.731,3.905,0.297,-0.999,0.030
1582745225812,2020-02-26T14.27.05.812,3.986,0.297,-0.999,0.029
1582745225891,2020-02-26T14.27.05.891,4.065,0.298,-0.999,0.029
1582745225971,2020-02-26T14.27.05.971,4.145,0.296,-0.999,0.030
1582745226051,2020-02-26T14.27.06.051,4.225,0.297,-0.998,0.029
1582745226130,2020-02-26T14.27.06.130,4.304,0.297,-0.999,0.029
1582745226210,2020-02-26T14.27.06.210,4.384,0.296,-0.998,0.028
1582745226289,2020-02-26T14.27.06.289,4.463,0.297,-0.999,0.030
1582745226370,2020-02-26T14.27.06.370,4.544,0.297,-0.999,0.029
