epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580689026369,2020-02-02T19.17.06.369,0.000,0.233,-0.963,0.095
1580689026450,2020-02-02T19.17.06.450,0.081,0.234,-0.971,0.096
1580689026529,2020-02-02T19.17.06.529,0.160,0.233,-0.970,0.096
1580689026609,2020-02-02T19.17.06.609,0.240,0.234,-0.970,0.096
1580689026689,2020-02-02T19.17.06.689,0.320,0.234,-0.968,0.096
1580689026769,2020-02-02T19.17.06.769,0.400,0.233,-0.970,0.095
1580689026850,2020-02-02T19.17.06.850,0.481,0.232,-0.970,0.096
1580689026929,2020-02-02T19.17.06.929,0.560,0.234,-0.970,0.095
1580689027009,2020-02-02T19.17.07.009,0.640,0.234,-0.970,0.095
1580689027089,2020-02-02T19.17.07.089,0.720,0.232,-0.969,0.095
1580689027169,2020-02-02T19.17.07.169,0.800,0.234,-0.969,0.096
1580689027248,2020-02-02T19.17.07.248,0.879,0.233,-0.969,0.096
1580689027329,2020-02-02T19.17.07.329,0.960,0.232,-0.969,0.096
1580689027408,2020-02-02T19.17.07.408,1.039,0.233,-0.970,0.096
1580689027488,2020-02-02T19.17.07.488,1.119,0.234,-0.970,0.096
1580689027568,2020-02-02T19.17.07.568,1.199,0.233,-0.970,0.097
1580689027648,2020-02-02T19.17.07.648,1.279,0.232,-0.970,0.096
1580689027727,2020-02-02T19.17.07.727,1.358,0.233,-0.970,0.097
1580689027808,2020-02-02T19.17.07.808,1.439,0.235,-0.970,0.096
1580689027888,2020-02-02T19.17.07.888,1.519,0.231,-0.969,0.096
1580689027967,2020-02-02T19.17.07.967,1.598,0.232,-0.969,0.097
1580689028048,2020-02-02T19.17.08.048,1.679,0.235,-0.969,0.095
1580689028127,2020-02-02T19.17.08.127,1.758,0.234,-0.970,0.097
1580689028208,2020-02-02T19.17.08.208,1.839,0.233,-0.970,0.097
1580689028287,2020-02-02T19.17.08.287,1.918,0.234,-0.969,0.097
1580689028367,2020-02-02T19.17.08.367,1.998,0.233,-0.969,0.096
1580689028446,2020-02-02T19.17.08.446,2.077,0.233,-0.970,0.097
1580689028527,2020-02-02T19.17.08.527,2.158,0.233,-0.970,0.096
1580689028606,2020-02-02T19.17.08.606,2.237,0.234,-0.970,0.096
1580689028687,2020-02-02T19.17.08.687,2.318,0.232,-0.970,0.097
1580689028766,2020-02-02T19.17.08.766,2.397,0.232,-0.970,0.097
1580689028846,2020-02-02T19.17.08.846,2.477,0.234,-0.970,0.097
1580689028925,2020-02-02T19.17.08.925,2.556,0.233,-0.969,0.096
1580689029006,2020-02-02T19.17.09.006,2.637,0.233,-0.969,0.097
1580689029087,2020-02-02T19.17.09.087,2.718,0.234,-0.969,0.097
1580689029166,2020-02-02T19.17.09.166,2.797,0.233,-0.969,0.096
1580689029246,2020-02-02T19.17.09.246,2.877,0.232,-0.970,0.096
1580689029325,2020-02-02T19.17.09.325,2.956,0.233,-0.970,0.097
1580689029406,2020-02-02T19.17.09.406,3.037,0.234,-0.969,0.096
1580689029485,2020-02-02T19.17.09.485,3.116,0.233,-0.969,0.097
1580689029566,2020-02-02T19.17.09.566,3.197,0.234,-0.969,0.096
1580689029645,2020-02-02T19.17.09.645,3.276,0.232,-0.969,0.096
1580689029725,2020-02-02T19.17.09.725,3.356,0.232,-0.969,0.095
1580689029804,2020-02-02T19.17.09.804,3.435,0.234,-0.970,0.096
1580689029885,2020-02-02T19.17.09.885,3.516,0.233,-0.970,0.097
1580689029964,2020-02-02T19.17.09.964,3.595,0.233,-0.970,0.097
1580689030045,2020-02-02T19.17.10.045,3.676,0.233,-0.970,0.095
1580689030125,2020-02-02T19.17.10.125,3.756,0.234,-0.970,0.096
1580689030204,2020-02-02T19.17.10.204,3.835,0.233,-0.969,0.095
1580689030285,2020-02-02T19.17.10.285,3.916,0.233,-0.970,0.096
1580689030364,2020-02-02T19.17.10.364,3.995,0.234,-0.971,0.096
1580689030444,2020-02-02T19.17.10.444,4.075,0.233,-0.970,0.095
1580689030524,2020-02-02T19.17.10.524,4.155,0.233,-0.970,0.096
1580689030604,2020-02-02T19.17.10.604,4.235,0.233,-0.971,0.095
1580689030683,2020-02-02T19.17.10.683,4.314,0.233,-0.970,0.096
1580689030764,2020-02-02T19.17.10.764,4.395,0.233,-0.970,0.097
1580689030843,2020-02-02T19.17.10.843,4.474,0.233,-0.969,0.097
1580689030923,2020-02-02T19.17.10.923,4.554,0.234,-0.970,0.096
1580689031003,2020-02-02T19.17.11.003,4.634,0.233,-0.970,0.096
1580689031083,2020-02-02T19.17.11.083,4.714,0.233,-0.969,0.096
1580689031162,2020-02-02T19.17.11.162,4.793,0.233,-0.969,0.096
1580689031243,2020-02-02T19.17.11.243,4.874,0.233,-0.970,0.097
1580689031322,2020-02-02T19.17.11.322,4.953,0.233,-0.970,0.096
1580689031402,2020-02-02T19.17.11.402,5.033,0.234,-0.971,0.095
1580689031483,2020-02-02T19.17.11.483,5.114,0.233,-0.969,0.095
1580689031562,2020-02-02T19.17.11.562,5.193,0.232,-0.970,0.096
1580689031643,2020-02-02T19.17.11.643,5.274,0.233,-0.969,0.097
1580689031722,2020-02-02T19.17.11.722,5.353,0.233,-0.969,0.094
1580689031802,2020-02-02T19.17.11.802,5.433,0.232,-0.968,0.097
1580689031881,2020-02-02T19.17.11.881,5.512,0.235,-0.969,0.097
1580689031962,2020-02-02T19.17.11.962,5.593,0.231,-0.970,0.095
1580689032041,2020-02-02T19.17.12.041,5.672,0.233,-0.970,0.098
1580689032122,2020-02-02T19.17.12.122,5.753,0.234,-0.970,0.095
1580689032201,2020-02-02T19.17.12.201,5.832,0.232,-0.969,0.095
1580689032281,2020-02-02T19.17.12.281,5.912,0.232,-0.970,0.097
1580689032360,2020-02-02T19.17.12.360,5.991,0.240,-0.971,0.095
1580689032441,2020-02-02T19.17.12.441,6.072,0.229,-0.970,0.098
1580689032520,2020-02-02T19.17.12.520,6.151,0.231,-0.970,0.096
1580689032601,2020-02-02T19.17.12.601,6.232,0.244,-0.969,0.094
1580689032681,2020-02-02T19.17.12.681,6.312,0.236,-0.967,0.096
1580689032760,2020-02-02T19.17.12.760,6.391,0.238,-0.966,0.093
1580689032841,2020-02-02T19.17.12.841,6.472,0.254,-0.966,0.092
1580689032920,2020-02-02T19.17.12.920,6.551,0.257,-0.962,0.100
1580689033001,2020-02-02T19.17.13.001,6.632,0.266,-0.961,0.093
1580689033080,2020-02-02T19.17.13.080,6.711,0.276,-0.959,0.093
1580689033160,2020-02-02T19.17.13.160,6.791,0.285,-0.958,0.094
1580689033239,2020-02-02T19.17.13.239,6.870,0.301,-0.954,0.090
1580689033320,2020-02-02T19.17.13.320,6.951,0.310,-0.949,0.091
1580689033399,2020-02-02T19.17.13.399,7.030,0.324,-0.947,0.090
1580689033480,2020-02-02T19.17.13.480,7.111,0.340,-0.940,0.088
1580689033559,2020-02-02T19.17.13.559,7.190,0.352,-0.936,0.090
1580689033639,2020-02-02T19.17.13.639,7.270,0.365,-0.929,0.091
1580689033718,2020-02-02T19.17.13.718,7.349,0.381,-0.922,0.090
1580689033799,2020-02-02T19.17.13.799,7.430,0.399,-0.917,0.088
1580689033878,2020-02-02T19.17.13.878,7.509,0.411,-0.909,0.087
1580689033959,2020-02-02T19.17.13.959,7.590,0.427,-0.908,0.089
1580689034039,2020-02-02T19.17.14.039,7.670,0.434,-0.901,0.085
1580689034118,2020-02-02T19.17.14.118,7.749,0.437,-0.901,0.086
1580689034199,2020-02-02T19.17.14.199,7.830,0.435,-0.899,0.088
1580689034278,2020-02-02T19.17.14.278,7.909,0.436,-0.898,0.083
1580689034359,2020-02-02T19.17.14.359,7.990,0.431,-0.899,0.087
1580689034438,2020-02-02T19.17.14.438,8.069,0.431,-0.900,0.087
1580689034518,2020-02-02T19.17.14.518,8.149,0.433,-0.899,0.084
1580689034597,2020-02-02T19.17.14.597,8.228,0.433,-0.900,0.086
1580689034678,2020-02-02T19.17.14.678,8.309,0.430,-0.901,0.087
1580689034757,2020-02-02T19.17.14.757,8.388,0.433,-0.899,0.083
1580689034838,2020-02-02T19.17.14.838,8.469,0.437,-0.898,0.086
1580689034917,2020-02-02T19.17.14.917,8.548,0.426,-0.899,0.087
1580689034997,2020-02-02T19.17.14.997,8.628,0.438,-0.898,0.087
1580689035078,2020-02-02T19.17.15.078,8.709,0.438,-0.896,0.091
1580689035157,2020-02-02T19.17.15.157,8.788,0.431,-0.899,0.092
1580689035237,2020-02-02T19.17.15.237,8.868,0.436,-0.898,0.085
1580689035317,2020-02-02T19.17.15.317,8.948,0.437,-0.901,0.089
1580689035397,2020-02-02T19.17.15.397,9.028,0.435,-0.897,0.087
1580689035476,2020-02-02T19.17.15.476,9.107,0.435,-0.898,0.088
1580689035557,2020-02-02T19.17.15.557,9.188,0.433,-0.896,0.086
1580689035636,2020-02-02T19.17.15.636,9.267,0.435,-0.898,0.086
1580689035716,2020-02-02T19.17.15.716,9.347,0.436,-0.898,0.093
1580689035796,2020-02-02T19.17.15.796,9.427,0.435,-0.898,0.093
1580689035876,2020-02-02T19.17.15.876,9.507,0.436,-0.917,0.096
1580689035955,2020-02-02T19.17.15.955,9.586,0.432,-0.914,0.090
1580689036036,2020-02-02T19.17.16.036,9.667,0.437,-0.916,0.094
1580689036115,2020-02-02T19.17.16.115,9.746,0.459,-1.031,0.115
1580689036195,2020-02-02T19.17.16.195,9.826,0.457,-1.065,0.123
1580689036276,2020-02-02T19.17.16.276,9.907,0.461,-1.043,0.128
1580689036355,2020-02-02T19.17.16.355,9.986,0.412,-0.900,0.094
1580689036436,2020-02-02T19.17.16.436,10.067,0.315,-0.673,0.053
1580689036515,2020-02-02T19.17.16.515,10.146,0.274,-0.640,0.061
1580689036595,2020-02-02T19.17.16.595,10.226,0.397,-1.029,0.143
1580689036674,2020-02-02T19.17.16.674,10.305,0.430,-1.074,0.161
1580689036755,2020-02-02T19.17.16.755,10.386,0.330,-0.779,0.121
1580689036834,2020-02-02T19.17.16.834,10.465,0.344,-0.886,0.137
1580689036915,2020-02-02T19.17.16.915,10.546,0.369,-1.017,0.083
1580689036994,2020-02-02T19.17.16.994,10.625,0.319,-0.901,-0.006
1580689037074,2020-02-02T19.17.17.074,10.705,0.299,-0.892,-0.028
1580689037153,2020-02-02T19.17.17.153,10.784,0.321,-0.959,-0.047
1580689037234,2020-02-02T19.17.17.234,10.865,0.290,-0.952,-0.027
1580689037315,2020-02-02T19.17.17.315,10.946,0.278,-0.992,0.069
1580689037394,2020-02-02T19.17.17.394,11.025,0.283,-0.956,0.135
1580689037474,2020-02-02T19.17.17.474,11.105,0.352,-1.085,0.170
1580689037553,2020-02-02T19.17.17.553,11.184,0.329,-1.021,0.215
1580689037634,2020-02-02T19.17.17.634,11.265,0.280,-0.909,0.194
1580689037713,2020-02-02T19.17.17.713,11.344,0.265,-0.855,0.180
1580689037794,2020-02-02T19.17.17.794,11.425,0.256,-0.880,0.171
1580689037873,2020-02-02T19.17.17.873,11.504,0.239,-0.924,0.127
1580689037953,2020-02-02T19.17.17.953,11.584,0.299,-1.019,0.060
1580689038032,2020-02-02T19.17.18.032,11.663,0.306,-0.938,-0.065
1580689038113,2020-02-02T19.17.18.113,11.744,0.280,-0.906,-0.053
1580689038192,2020-02-02T19.17.18.192,11.823,0.294,-1.048,-0.006
1580689038273,2020-02-02T19.17.18.273,11.904,0.255,-0.996,0.002
1580689038352,2020-02-02T19.17.18.352,11.983,0.191,-0.927,0.050
1580689038432,2020-02-02T19.17.18.432,12.063,0.195,-1.023,0.155
1580689038513,2020-02-02T19.17.18.513,12.144,0.210,-1.012,0.214
1580689038592,2020-02-02T19.17.18.592,12.223,0.185,-0.850,0.225
1580689038672,2020-02-02T19.17.18.672,12.303,0.210,-0.900,0.192
1580689038752,2020-02-02T19.17.18.752,12.383,0.269,-1.098,0.098
1580689038832,2020-02-02T19.17.18.832,12.463,0.218,-1.020,0.008
1580689038911,2020-02-02T19.17.18.911,12.542,0.175,-0.868,0.031
1580689038992,2020-02-02T19.17.18.992,12.623,0.240,-0.979,0.070
1580689039071,2020-02-02T19.17.19.071,12.702,0.286,-1.072,0.106
1580689039151,2020-02-02T19.17.19.151,12.782,0.254,-0.896,0.103
1580689039231,2020-02-02T19.17.19.231,12.862,0.280,-0.926,0.133
1580689039311,2020-02-02T19.17.19.311,12.942,0.336,-1.028,0.140
1580689039390,2020-02-02T19.17.19.390,13.021,0.328,-0.889,0.102
1580689039471,2020-02-02T19.17.19.471,13.102,0.355,-0.929,0.106
1580689039550,2020-02-02T19.17.19.550,13.181,0.375,-0.941,0.102
1580689039630,2020-02-02T19.17.19.630,13.261,0.353,-0.891,0.096
1580689039711,2020-02-02T19.17.19.711,13.342,0.368,-0.932,0.096
1580689039790,2020-02-02T19.17.19.790,13.421,0.409,-0.962,0.105
1580689039871,2020-02-02T19.17.19.871,13.502,0.431,-0.958,0.120
1580689039950,2020-02-02T19.17.19.950,13.581,0.419,-0.860,0.107
1580689040030,2020-02-02T19.17.20.030,13.661,0.360,-0.660,0.067
1580689040109,2020-02-02T19.17.20.109,13.740,0.316,-0.575,0.047
1580689040190,2020-02-02T19.17.20.190,13.821,0.336,-0.668,0.070
1580689040269,2020-02-02T19.17.20.269,13.900,0.347,-0.707,0.059
1580689040350,2020-02-02T19.17.20.350,13.981,0.395,-0.820,0.068
1580689040429,2020-02-02T19.17.20.429,14.060,0.383,-0.913,0.077
1580689040509,2020-02-02T19.17.20.509,14.140,0.354,-0.948,0.090
1580689040589,2020-02-02T19.17.20.589,14.220,0.369,-1.003,0.095
1580689040669,2020-02-02T19.17.20.669,14.300,0.342,-1.050,0.089
1580689040750,2020-02-02T19.17.20.750,14.381,0.324,-1.174,0.086
1580689040829,2020-02-02T19.17.20.829,14.460,0.333,-1.239,0.103
1580689040909,2020-02-02T19.17.20.909,14.540,0.350,-1.323,0.110
1580689040988,2020-02-02T19.17.20.988,14.619,0.314,-1.331,0.117
1580689041069,2020-02-02T19.17.21.069,14.700,0.255,-1.229,0.105
1580689041148,2020-02-02T19.17.21.148,14.779,0.203,-1.077,0.095
1580689041229,2020-02-02T19.17.21.229,14.860,0.176,-1.000,0.088
1580689041308,2020-02-02T19.17.21.308,14.939,0.157,-0.987,0.081
1580689041388,2020-02-02T19.17.21.388,15.019,0.155,-0.987,0.079
1580689041467,2020-02-02T19.17.21.467,15.098,0.154,-0.998,0.100
1580689041548,2020-02-02T19.17.21.548,15.179,0.174,-1.055,0.101
1580689041627,2020-02-02T19.17.21.627,15.258,0.196,-1.125,0.107
1580689041708,2020-02-02T19.17.21.708,15.339,0.230,-1.207,0.130
1580689041788,2020-02-02T19.17.21.788,15.419,0.261,-1.158,0.127
1580689041867,2020-02-02T19.17.21.867,15.498,0.221,-0.787,0.080
1580689041948,2020-02-02T19.17.21.948,15.579,0.129,-0.372,0.030
1580689042027,2020-02-02T19.17.22.027,15.658,0.157,-0.337,0.021
1580689042108,2020-02-02T19.17.22.108,15.739,0.349,-0.748,0.069
1580689042187,2020-02-02T19.17.22.187,15.818,0.529,-1.167,0.103
1580689042267,2020-02-02T19.17.22.267,15.898,0.480,-0.964,0.080
1580689042346,2020-02-02T19.17.22.346,15.977,0.436,-0.797,0.051
1580689042427,2020-02-02T19.17.22.427,16.058,0.504,-0.931,0.042
1580689042506,2020-02-02T19.17.22.506,16.137,0.386,-0.643,0.032
1580689042587,2020-02-02T19.17.22.587,16.218,0.181,-0.382,0.007
1580689042666,2020-02-02T19.17.22.666,16.297,0.266,-0.621,0.042
1580689042746,2020-02-02T19.17.22.746,16.377,0.378,-0.770,0.062
1580689042825,2020-02-02T19.17.22.825,16.456,0.431,-0.850,0.083
1580689042906,2020-02-02T19.17.22.906,16.537,0.412,-0.885,0.067
1580689042986,2020-02-02T19.17.22.986,16.617,0.415,-0.945,0.074
1580689043066,2020-02-02T19.17.23.066,16.697,0.416,-1.002,0.100
1580689043146,2020-02-02T19.17.23.146,16.777,0.425,-1.125,0.098
1580689043225,2020-02-02T19.17.23.225,16.856,0.479,-1.321,0.105
1580689043306,2020-02-02T19.17.23.306,16.937,0.520,-1.422,0.136
1580689043385,2020-02-02T19.17.23.385,17.016,0.516,-1.382,0.128
1580689043465,2020-02-02T19.17.23.465,17.096,0.415,-1.186,0.097
1580689043545,2020-02-02T19.17.23.545,17.176,0.329,-1.024,0.080
1580689043625,2020-02-02T19.17.23.625,17.256,0.292,-0.959,0.082
