epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580933169880,2020-02-05T15.06.09.880,0.000,1.030,-0.124,-0.049
1580933169961,2020-02-05T15.06.09.961,0.081,1.038,-0.125,-0.050
1580933170040,2020-02-05T15.06.10.040,0.160,1.037,-0.126,-0.049
1580933170119,2020-02-05T15.06.10.119,0.239,1.035,-0.125,-0.049
1580933170200,2020-02-05T15.06.10.200,0.320,1.035,-0.125,-0.049
1580933170279,2020-02-05T15.06.10.279,0.399,1.036,-0.126,-0.049
1580933170359,2020-02-05T15.06.10.359,0.479,1.037,-0.125,-0.050
1580933170439,2020-02-05T15.06.10.439,0.559,1.036,-0.126,-0.050
1580933170518,2020-02-05T15.06.10.518,0.638,1.037,-0.126,-0.049
1580933170598,2020-02-05T15.06.10.598,0.718,1.036,-0.126,-0.049
1580933170677,2020-02-05T15.06.10.677,0.797,1.037,-0.126,-0.049
1580933170758,2020-02-05T15.06.10.758,0.878,1.035,-0.126,-0.049
1580933170837,2020-02-05T15.06.10.837,0.957,1.037,-0.126,-0.049
1580933170916,2020-02-05T15.06.10.916,1.036,1.036,-0.126,-0.049
1580933170997,2020-02-05T15.06.10.997,1.117,1.036,-0.126,-0.050
1580933171076,2020-02-05T15.06.11.076,1.196,1.036,-0.125,-0.049
1580933171156,2020-02-05T15.06.11.156,1.276,1.036,-0.125,-0.048
1580933171235,2020-02-05T15.06.11.235,1.355,1.036,-0.126,-0.048
1580933171315,2020-02-05T15.06.11.315,1.435,1.037,-0.126,-0.050
1580933171395,2020-02-05T15.06.11.395,1.515,1.036,-0.126,-0.049
1580933171474,2020-02-05T15.06.11.474,1.594,1.037,-0.126,-0.049
1580933171555,2020-02-05T15.06.11.555,1.675,1.036,-0.125,-0.049
1580933171634,2020-02-05T15.06.11.634,1.754,1.037,-0.125,-0.050
1580933171714,2020-02-05T15.06.11.714,1.834,1.036,-0.125,-0.050
1580933171794,2020-02-05T15.06.11.794,1.914,1.036,-0.125,-0.048
1580933171873,2020-02-05T15.06.11.873,1.993,1.036,-0.125,-0.048
1580933171953,2020-02-05T15.06.11.953,2.073,1.036,-0.125,-0.050
1580933172032,2020-02-05T15.06.12.032,2.152,1.036,-0.126,-0.051
1580933172113,2020-02-05T15.06.12.113,2.233,1.036,-0.125,-0.050
1580933172192,2020-02-05T15.06.12.192,2.312,1.037,-0.125,-0.049
1580933172271,2020-02-05T15.06.12.271,2.391,1.036,-0.126,-0.049
