epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582746162145,2020-02-26T14.42.42.145,0.000,-0.402,-0.923,0.008
1582746162226,2020-02-26T14.42.42.226,0.081,-0.405,-0.931,0.010
1582746162305,2020-02-26T14.42.42.305,0.160,-0.404,-0.928,0.010
1582746162384,2020-02-26T14.42.42.384,0.239,-0.403,-0.928,0.009
1582746162464,2020-02-26T14.42.42.464,0.319,-0.404,-0.929,0.010
1582746162544,2020-02-26T14.42.42.544,0.399,-0.404,-0.928,0.010
1582746162624,2020-02-26T14.42.42.624,0.479,-0.403,-0.928,0.010
1582746162703,2020-02-26T14.42.42.703,0.558,-0.404,-0.929,0.010
1582746162782,2020-02-26T14.42.42.782,0.637,-0.404,-0.929,0.009
1582746162863,2020-02-26T14.42.42.863,0.718,-0.404,-0.928,0.009
1582746162942,2020-02-26T14.42.42.942,0.797,-0.404,-0.929,0.008
1582746163023,2020-02-26T14.42.43.023,0.878,-0.403,-0.928,0.010
1582746163102,2020-02-26T14.42.43.102,0.957,-0.404,-0.929,0.010
1582746163181,2020-02-26T14.42.43.181,1.036,-0.404,-0.928,0.009
1582746163261,2020-02-26T14.42.43.261,1.116,-0.403,-0.928,0.009
1582746163340,2020-02-26T14.42.43.340,1.195,-0.404,-0.928,0.009
1582746163421,2020-02-26T14.42.43.421,1.276,-0.404,-0.928,0.010
1582746163500,2020-02-26T14.42.43.500,1.355,-0.404,-0.929,0.009
1582746163579,2020-02-26T14.42.43.579,1.434,-0.403,-0.929,0.009
1582746163660,2020-02-26T14.42.43.660,1.515,-0.404,-0.929,0.009
1582746163739,2020-02-26T14.42.43.739,1.594,-0.404,-0.929,0.010
1582746163819,2020-02-26T14.42.43.819,1.674,-0.404,-0.929,0.010
1582746163899,2020-02-26T14.42.43.899,1.754,-0.404,-0.928,0.010
1582746163978,2020-02-26T14.42.43.978,1.833,-0.404,-0.928,0.009
1582746164058,2020-02-26T14.42.44.058,1.913,-0.403,-0.929,0.010
1582746164137,2020-02-26T14.42.44.137,1.992,-0.404,-0.929,0.010
1582746164218,2020-02-26T14.42.44.218,2.073,-0.404,-0.929,0.010
1582746164297,2020-02-26T14.42.44.297,2.152,-0.404,-0.929,0.009
1582746164378,2020-02-26T14.42.44.378,2.233,-0.403,-0.928,0.009
1582746164457,2020-02-26T14.42.44.457,2.312,-0.404,-0.928,0.009
1582746164536,2020-02-26T14.42.44.536,2.391,-0.405,-0.929,0.009
1582746164616,2020-02-26T14.42.44.616,2.471,-0.404,-0.928,0.010
1582746164695,2020-02-26T14.42.44.695,2.550,-0.404,-0.928,0.010
1582746164776,2020-02-26T14.42.44.776,2.631,-0.405,-0.927,0.010
1582746164855,2020-02-26T14.42.44.855,2.710,-0.404,-0.928,0.009
1582746164934,2020-02-26T14.42.44.934,2.789,-0.404,-0.928,0.009
1582746165015,2020-02-26T14.42.45.015,2.870,-0.404,-0.929,0.009
1582746165094,2020-02-26T14.42.45.094,2.949,-0.404,-0.929,0.010
1582746165174,2020-02-26T14.42.45.174,3.029,-0.404,-0.929,0.010
1582746165254,2020-02-26T14.42.45.254,3.109,-0.404,-0.927,0.010
1582746165334,2020-02-26T14.42.45.334,3.189,-0.404,-0.928,0.009
1582746165413,2020-02-26T14.42.45.413,3.268,-0.404,-0.929,0.010
1582746165492,2020-02-26T14.42.45.492,3.347,-0.404,-0.928,0.011
1582746165573,2020-02-26T14.42.45.573,3.428,-0.403,-0.929,0.010
1582746165652,2020-02-26T14.42.45.652,3.507,-0.404,-0.928,0.010
1582746165733,2020-02-26T14.42.45.733,3.588,-0.404,-0.928,0.010
1582746165812,2020-02-26T14.42.45.812,3.667,-0.404,-0.927,0.009
1582746165891,2020-02-26T14.42.45.891,3.746,-0.404,-0.928,0.010
1582746165971,2020-02-26T14.42.45.971,3.826,-0.404,-0.927,0.009
1582746166050,2020-02-26T14.42.46.050,3.905,-0.404,-0.928,0.010
1582746166131,2020-02-26T14.42.46.131,3.986,-0.404,-0.928,0.009
1582746166210,2020-02-26T14.42.46.210,4.065,-0.404,-0.929,0.010
1582746166289,2020-02-26T14.42.46.289,4.144,-0.404,-0.929,0.009
1582746166370,2020-02-26T14.42.46.370,4.225,-0.405,-0.928,0.009
1582746166449,2020-02-26T14.42.46.449,4.304,-0.404,-0.927,0.010
1582746166529,2020-02-26T14.42.46.529,4.384,-0.404,-0.929,0.010
1582746166609,2020-02-26T14.42.46.609,4.464,-0.404,-0.929,0.010
1582746166689,2020-02-26T14.42.46.689,4.544,-0.404,-0.928,0.010
1582746166768,2020-02-26T14.42.46.768,4.623,-0.404,-0.928,0.010
1582746166847,2020-02-26T14.42.46.847,4.702,-0.405,-0.928,0.010
1582746166928,2020-02-26T14.42.46.928,4.783,-0.404,-0.928,0.010
1582746167007,2020-02-26T14.42.47.007,4.862,-0.404,-0.928,0.010
1582746167088,2020-02-26T14.42.47.088,4.943,-0.404,-0.928,0.010
1582746167167,2020-02-26T14.42.47.167,5.022,-0.404,-0.928,0.010
1582746167246,2020-02-26T14.42.47.246,5.101,-0.404,-0.927,0.010
1582746167326,2020-02-26T14.42.47.326,5.181,-0.404,-0.928,0.010
1582746167405,2020-02-26T14.42.47.405,5.260,-0.403,-0.928,0.009
1582746167486,2020-02-26T14.42.47.486,5.341,-0.403,-0.928,0.009
1582746167565,2020-02-26T14.42.47.565,5.420,-0.404,-0.928,0.008
1582746167646,2020-02-26T14.42.47.646,5.501,-0.404,-0.928,0.010
1582746167725,2020-02-26T14.42.47.725,5.580,-0.404,-0.928,0.010
1582746167804,2020-02-26T14.42.47.804,5.659,-0.404,-0.928,0.010
1582746167884,2020-02-26T14.42.47.884,5.739,-0.405,-0.929,0.009
1582746167964,2020-02-26T14.42.47.964,5.819,-0.404,-0.928,0.008
1582746168044,2020-02-26T14.42.48.044,5.899,-0.404,-0.927,0.010
1582746168123,2020-02-26T14.42.48.123,5.978,-0.404,-0.928,0.009
1582746168202,2020-02-26T14.42.48.202,6.057,-0.404,-0.928,0.010
1582746168283,2020-02-26T14.42.48.283,6.138,-0.404,-0.928,0.011
1582746168362,2020-02-26T14.42.48.362,6.217,-0.404,-0.928,0.010
1582746168443,2020-02-26T14.42.48.443,6.298,-0.404,-0.929,0.009
1582746168522,2020-02-26T14.42.48.522,6.377,-0.403,-0.928,0.010
1582746168602,2020-02-26T14.42.48.602,6.457,-0.403,-0.929,0.010
1582746168681,2020-02-26T14.42.48.681,6.536,-0.404,-0.928,0.010
1582746168760,2020-02-26T14.42.48.760,6.615,-0.404,-0.929,0.010
1582746168841,2020-02-26T14.42.48.841,6.696,-0.404,-0.928,0.010
1582746168920,2020-02-26T14.42.48.920,6.775,-0.404,-0.928,0.010
1582746169001,2020-02-26T14.42.49.001,6.856,-0.404,-0.928,0.009
1582746169080,2020-02-26T14.42.49.080,6.935,-0.405,-0.928,0.010
1582746169159,2020-02-26T14.42.49.159,7.014,-0.404,-0.928,0.010
1582746169239,2020-02-26T14.42.49.239,7.094,-0.403,-0.929,0.009
1582746169318,2020-02-26T14.42.49.318,7.173,-0.404,-0.928,0.010
1582746169399,2020-02-26T14.42.49.399,7.254,-0.404,-0.929,0.010
1582746169478,2020-02-26T14.42.49.478,7.333,-0.404,-0.928,0.010
1582746169557,2020-02-26T14.42.49.557,7.412,-0.405,-0.928,0.010
1582746169638,2020-02-26T14.42.49.638,7.493,-0.404,-0.928,0.010
1582746169717,2020-02-26T14.42.49.717,7.572,-0.404,-0.929,0.010
1582746169798,2020-02-26T14.42.49.798,7.653,-0.404,-0.928,0.010
1582746169877,2020-02-26T14.42.49.877,7.732,-0.404,-0.928,0.009
