epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582746041816,2020-02-26T14.40.41.816,0.000,-0.413,-0.916,0.005
1582746041896,2020-02-26T14.40.41.896,0.080,-0.417,-0.922,0.006
1582746041975,2020-02-26T14.40.41.975,0.159,-0.416,-0.920,0.007
1582746042056,2020-02-26T14.40.42.056,0.240,-0.416,-0.921,0.007
1582746042135,2020-02-26T14.40.42.135,0.319,-0.415,-0.920,0.006
1582746042214,2020-02-26T14.40.42.214,0.398,-0.416,-0.921,0.006
1582746042295,2020-02-26T14.40.42.295,0.479,-0.416,-0.922,0.006
1582746042374,2020-02-26T14.40.42.374,0.558,-0.415,-0.921,0.006
1582746042454,2020-02-26T14.40.42.454,0.638,-0.415,-0.921,0.007
1582746042534,2020-02-26T14.40.42.534,0.718,-0.416,-0.921,0.005
1582746042613,2020-02-26T14.40.42.613,0.797,-0.416,-0.921,0.006
1582746042693,2020-02-26T14.40.42.693,0.877,-0.416,-0.921,0.006
1582746042772,2020-02-26T14.40.42.772,0.956,-0.415,-0.920,0.006
1582746042853,2020-02-26T14.40.42.853,1.037,-0.416,-0.921,0.007
1582746042932,2020-02-26T14.40.42.932,1.116,-0.416,-0.921,0.005
1582746043013,2020-02-26T14.40.43.013,1.197,-0.415,-0.921,0.006
1582746043092,2020-02-26T14.40.43.092,1.276,-0.415,-0.922,0.006
1582746043171,2020-02-26T14.40.43.171,1.355,-0.416,-0.921,0.006
1582746043251,2020-02-26T14.40.43.251,1.435,-0.416,-0.920,0.007
1582746043330,2020-02-26T14.40.43.330,1.514,-0.417,-0.920,0.005
1582746043411,2020-02-26T14.40.43.411,1.595,-0.415,-0.921,0.006
1582746043490,2020-02-26T14.40.43.490,1.674,-0.416,-0.921,0.005
1582746043569,2020-02-26T14.40.43.569,1.753,-0.416,-0.922,0.007
1582746043650,2020-02-26T14.40.43.650,1.834,-0.416,-0.920,0.006
1582746043729,2020-02-26T14.40.43.729,1.913,-0.416,-0.922,0.006
1582746043809,2020-02-26T14.40.43.809,1.993,-0.415,-0.920,0.006
1582746043888,2020-02-26T14.40.43.888,2.072,-0.417,-0.921,0.006
1582746043968,2020-02-26T14.40.43.968,2.152,-0.415,-0.921,0.005
1582746044048,2020-02-26T14.40.44.048,2.232,-0.415,-0.921,0.006
1582746044127,2020-02-26T14.40.44.127,2.311,-0.416,-0.922,0.006
1582746044208,2020-02-26T14.40.44.208,2.392,-0.416,-0.921,0.006
1582746044287,2020-02-26T14.40.44.287,2.471,-0.416,-0.921,0.006
1582746044366,2020-02-26T14.40.44.366,2.550,-0.416,-0.922,0.006
1582746044447,2020-02-26T14.40.44.447,2.631,-0.415,-0.921,0.006
1582746044526,2020-02-26T14.40.44.526,2.710,-0.416,-0.920,0.006
1582746044606,2020-02-26T14.40.44.606,2.790,-0.416,-0.921,0.007
1582746044685,2020-02-26T14.40.44.685,2.869,-0.416,-0.923,0.007
1582746044766,2020-02-26T14.40.44.766,2.950,-0.416,-0.921,0.006
1582746044845,2020-02-26T14.40.44.845,3.029,-0.416,-0.920,0.005
1582746044924,2020-02-26T14.40.44.924,3.108,-0.416,-0.920,0.006
1582746045005,2020-02-26T14.40.45.005,3.189,-0.416,-0.921,0.006
1582746045084,2020-02-26T14.40.45.084,3.268,-0.415,-0.921,0.007
1582746045164,2020-02-26T14.40.45.164,3.348,-0.415,-0.921,0.007
1582746045243,2020-02-26T14.40.45.243,3.427,-0.415,-0.922,0.006
1582746045323,2020-02-26T14.40.45.323,3.507,-0.416,-0.921,0.006
1582746045403,2020-02-26T14.40.45.403,3.587,-0.417,-0.921,0.006
1582746045482,2020-02-26T14.40.45.482,3.666,-0.416,-0.921,0.007
1582746045563,2020-02-26T14.40.45.563,3.747,-0.416,-0.921,0.007
1582746045642,2020-02-26T14.40.45.642,3.826,-0.416,-0.921,0.006
1582746045721,2020-02-26T14.40.45.721,3.905,-0.416,-0.921,0.006
1582746045802,2020-02-26T14.40.45.802,3.986,-0.416,-0.922,0.007
1582746045881,2020-02-26T14.40.45.881,4.065,-0.416,-0.921,0.006
1582746045961,2020-02-26T14.40.45.961,4.145,-0.416,-0.921,0.006
1582746046040,2020-02-26T14.40.46.040,4.224,-0.415,-0.921,0.006
1582746046119,2020-02-26T14.40.46.119,4.303,-0.415,-0.921,0.006
1582746046200,2020-02-26T14.40.46.200,4.384,-0.415,-0.921,0.006
1582746046279,2020-02-26T14.40.46.279,4.463,-0.416,-0.921,0.006
1582746046360,2020-02-26T14.40.46.360,4.544,-0.416,-0.922,0.007
1582746046439,2020-02-26T14.40.46.439,4.623,-0.416,-0.921,0.005
1582746046519,2020-02-26T14.40.46.519,4.703,-0.416,-0.921,0.006
1582746046598,2020-02-26T14.40.46.598,4.782,-0.416,-0.921,0.006
1582746046678,2020-02-26T14.40.46.678,4.862,-0.417,-0.921,0.006
1582746046758,2020-02-26T14.40.46.758,4.942,-0.416,-0.921,0.005
1582746046837,2020-02-26T14.40.46.837,5.021,-0.415,-0.921,0.006
1582746046918,2020-02-26T14.40.46.918,5.102,-0.415,-0.921,0.006
1582746046997,2020-02-26T14.40.46.997,5.181,-0.415,-0.921,0.006
1582746047076,2020-02-26T14.40.47.076,5.260,-0.416,-0.921,0.007
1582746047157,2020-02-26T14.40.47.157,5.341,-0.415,-0.921,0.007
1582746047236,2020-02-26T14.40.47.236,5.420,-0.414,-0.921,0.006
1582746047316,2020-02-26T14.40.47.316,5.500,-0.416,-0.921,0.006
1582746047395,2020-02-26T14.40.47.395,5.579,-0.416,-0.921,0.006
1582746047474,2020-02-26T14.40.47.474,5.658,-0.415,-0.921,0.007
1582746047555,2020-02-26T14.40.47.555,5.739,-0.415,-0.921,0.006
1582746047634,2020-02-26T14.40.47.634,5.818,-0.415,-0.920,0.006
1582746047715,2020-02-26T14.40.47.715,5.899,-0.416,-0.922,0.007
1582746047794,2020-02-26T14.40.47.794,5.978,-0.415,-0.921,0.006
1582746047874,2020-02-26T14.40.47.874,6.058,-0.415,-0.921,0.006
1582746047953,2020-02-26T14.40.47.953,6.137,-0.416,-0.920,0.006
1582746048033,2020-02-26T14.40.48.033,6.217,-0.415,-0.921,0.006
1582746048113,2020-02-26T14.40.48.113,6.297,-0.415,-0.922,0.005
1582746048192,2020-02-26T14.40.48.192,6.376,-0.416,-0.921,0.006
1582746048273,2020-02-26T14.40.48.273,6.457,-0.416,-0.921,0.007
1582746048352,2020-02-26T14.40.48.352,6.536,-0.416,-0.921,0.006
1582746048432,2020-02-26T14.40.48.432,6.616,-0.416,-0.921,0.005
1582746048512,2020-02-26T14.40.48.512,6.696,-0.416,-0.920,0.006
1582746048591,2020-02-26T14.40.48.591,6.775,-0.416,-0.921,0.007
