epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582744922842,2020-02-26T14.22.02.842,0.000,0.886,0.469,-0.002
1582744922921,2020-02-26T14.22.02.921,0.079,0.895,0.474,-0.002
1582744923000,2020-02-26T14.22.03.000,0.158,0.892,0.473,-0.002
1582744923080,2020-02-26T14.22.03.080,0.238,0.892,0.472,-0.003
1582744923159,2020-02-26T14.22.03.159,0.317,0.892,0.472,-0.003
1582744923240,2020-02-26T14.22.03.240,0.398,0.891,0.472,-0.002
1582744923319,2020-02-26T14.22.03.319,0.477,0.892,0.473,-0.002
1582744923398,2020-02-26T14.22.03.398,0.556,0.892,0.472,-0.003
1582744923479,2020-02-26T14.22.03.479,0.637,0.892,0.473,-0.002
1582744923558,2020-02-26T14.22.03.558,0.716,0.892,0.473,-0.003
1582744923638,2020-02-26T14.22.03.638,0.796,0.892,0.472,-0.002
1582744923718,2020-02-26T14.22.03.718,0.876,0.892,0.473,-0.002
1582744923798,2020-02-26T14.22.03.798,0.956,0.892,0.473,-0.002
1582744923877,2020-02-26T14.22.03.877,1.035,0.893,0.473,-0.003
1582744923956,2020-02-26T14.22.03.956,1.114,0.892,0.473,-0.002
1582744924037,2020-02-26T14.22.04.037,1.195,0.893,0.472,-0.002
1582744924116,2020-02-26T14.22.04.116,1.274,0.893,0.473,-0.002
1582744924197,2020-02-26T14.22.04.197,1.355,0.892,0.473,-0.002
1582744924276,2020-02-26T14.22.04.276,1.434,0.891,0.472,-0.002
1582744924355,2020-02-26T14.22.04.355,1.513,0.892,0.474,-0.002
1582744924435,2020-02-26T14.22.04.435,1.593,0.892,0.472,-0.002
1582744924514,2020-02-26T14.22.04.514,1.672,0.893,0.472,-0.003
1582744924595,2020-02-26T14.22.04.595,1.753,0.893,0.473,-0.003
1582744924674,2020-02-26T14.22.04.674,1.832,0.891,0.472,-0.002
1582744924755,2020-02-26T14.22.04.755,1.913,0.892,0.473,-0.001
1582744924834,2020-02-26T14.22.04.834,1.992,0.891,0.473,-0.003
1582744924913,2020-02-26T14.22.04.913,2.071,0.892,0.473,-0.003
1582744924993,2020-02-26T14.22.04.993,2.151,0.892,0.473,-0.003
1582744925073,2020-02-26T14.22.05.073,2.231,0.892,0.473,-0.002
1582744925153,2020-02-26T14.22.05.153,2.311,0.893,0.473,-0.003
1582744925232,2020-02-26T14.22.05.232,2.390,0.893,0.473,-0.002
1582744925311,2020-02-26T14.22.05.311,2.469,0.893,0.473,-0.002
