epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582745414224,2020-02-26T14.30.14.224,0.000,0.478,-0.925,0.032
1582745414303,2020-02-26T14.30.14.303,0.079,0.482,-0.933,0.032
1582745414384,2020-02-26T14.30.14.384,0.160,0.480,-0.930,0.032
1582745414463,2020-02-26T14.30.14.463,0.239,0.481,-0.930,0.032
1582745414543,2020-02-26T14.30.14.543,0.319,0.481,-0.931,0.032
1582745414622,2020-02-26T14.30.14.622,0.398,0.480,-0.930,0.033
1582745414703,2020-02-26T14.30.14.703,0.479,0.481,-0.931,0.032
1582745414782,2020-02-26T14.30.14.782,0.558,0.481,-0.931,0.032
1582745414861,2020-02-26T14.30.14.861,0.637,0.480,-0.930,0.032
1582745414942,2020-02-26T14.30.14.942,0.718,0.481,-0.930,0.033
1582745415021,2020-02-26T14.30.15.021,0.797,0.481,-0.931,0.033
1582745415101,2020-02-26T14.30.15.101,0.877,0.480,-0.931,0.033
1582745415181,2020-02-26T14.30.15.181,0.957,0.480,-0.931,0.033
1582745415260,2020-02-26T14.30.15.260,1.036,0.480,-0.930,0.033
1582745415340,2020-02-26T14.30.15.340,1.116,0.481,-0.932,0.033
1582745415419,2020-02-26T14.30.15.419,1.195,0.479,-0.932,0.032
1582745415500,2020-02-26T14.30.15.500,1.276,0.479,-0.932,0.034
1582745415579,2020-02-26T14.30.15.579,1.355,0.486,-0.945,0.032
1582745415660,2020-02-26T14.30.15.660,1.436,0.477,-0.926,0.032
1582745415739,2020-02-26T14.30.15.739,1.515,0.476,-0.923,0.033
1582745415818,2020-02-26T14.30.15.818,1.594,0.479,-0.931,0.032
1582745415898,2020-02-26T14.30.15.898,1.674,0.482,-0.936,0.033
1582745415977,2020-02-26T14.30.15.977,1.753,0.479,-0.931,0.032
1582745416058,2020-02-26T14.30.16.058,1.834,0.480,-0.930,0.033
1582745416137,2020-02-26T14.30.16.137,1.913,0.481,-0.931,0.032
1582745416216,2020-02-26T14.30.16.216,1.992,0.480,-0.931,0.032
1582745416297,2020-02-26T14.30.16.297,2.073,0.479,-0.931,0.033
1582745416376,2020-02-26T14.30.16.376,2.152,0.480,-0.931,0.033
1582745416456,2020-02-26T14.30.16.456,2.232,0.480,-0.930,0.033
1582745416535,2020-02-26T14.30.16.535,2.311,0.480,-0.930,0.033
1582745416615,2020-02-26T14.30.16.615,2.391,0.480,-0.932,0.032
1582745416695,2020-02-26T14.30.16.695,2.471,0.480,-0.931,0.034
1582745416774,2020-02-26T14.30.16.774,2.550,0.480,-0.930,0.033
1582745416855,2020-02-26T14.30.16.855,2.631,0.481,-0.930,0.032
1582745416934,2020-02-26T14.30.16.934,2.710,0.480,-0.931,0.033
1582745417013,2020-02-26T14.30.17.013,2.789,0.480,-0.930,0.033
1582745417094,2020-02-26T14.30.17.094,2.870,0.481,-0.931,0.033
1582745417173,2020-02-26T14.30.17.173,2.949,0.480,-0.930,0.033
1582745417253,2020-02-26T14.30.17.253,3.029,0.481,-0.930,0.032
1582745417332,2020-02-26T14.30.17.332,3.108,0.480,-0.930,0.033
1582745417413,2020-02-26T14.30.17.413,3.189,0.481,-0.931,0.033
1582745417492,2020-02-26T14.30.17.492,3.268,0.480,-0.931,0.032
1582745417571,2020-02-26T14.30.17.571,3.347,0.481,-0.930,0.032
1582745417652,2020-02-26T14.30.17.652,3.428,0.481,-0.930,0.031
1582745417731,2020-02-26T14.30.17.731,3.507,0.481,-0.930,0.033
1582745417811,2020-02-26T14.30.17.811,3.587,0.480,-0.930,0.032
1582745417890,2020-02-26T14.30.17.890,3.666,0.480,-0.931,0.033
1582745417970,2020-02-26T14.30.17.970,3.746,0.480,-0.930,0.033
1582745418050,2020-02-26T14.30.18.050,3.826,0.480,-0.930,0.033
1582745418129,2020-02-26T14.30.18.129,3.905,0.480,-0.930,0.032
1582745418210,2020-02-26T14.30.18.210,3.986,0.480,-0.931,0.032
1582745418289,2020-02-26T14.30.18.289,4.065,0.480,-0.930,0.033
1582745418369,2020-02-26T14.30.18.369,4.145,0.480,-0.931,0.033
1582745418449,2020-02-26T14.30.18.449,4.225,0.480,-0.931,0.033
1582745418528,2020-02-26T14.30.18.528,4.304,0.480,-0.930,0.031
1582745418608,2020-02-26T14.30.18.608,4.384,0.480,-0.930,0.032
1582745418687,2020-02-26T14.30.18.687,4.463,0.481,-0.930,0.033
1582745418768,2020-02-26T14.30.18.768,4.544,0.479,-0.930,0.032
1582745418847,2020-02-26T14.30.18.847,4.623,0.480,-0.931,0.033
1582745418926,2020-02-26T14.30.18.926,4.702,0.480,-0.931,0.033
1582745419007,2020-02-26T14.30.19.007,4.783,0.480,-0.932,0.033
1582745419086,2020-02-26T14.30.19.086,4.862,0.481,-0.931,0.033
1582745419166,2020-02-26T14.30.19.166,4.942,0.481,-0.930,0.032
1582745419245,2020-02-26T14.30.19.245,5.021,0.480,-0.931,0.032
1582745419325,2020-02-26T14.30.19.325,5.101,0.481,-0.931,0.033
1582745419405,2020-02-26T14.30.19.405,5.181,0.480,-0.931,0.032
1582745419484,2020-02-26T14.30.19.484,5.260,0.481,-0.930,0.033
1582745419565,2020-02-26T14.30.19.565,5.341,0.480,-0.932,0.032
1582745419644,2020-02-26T14.30.19.644,5.420,0.481,-0.931,0.033
1582745419724,2020-02-26T14.30.19.724,5.500,0.481,-0.930,0.034
1582745419804,2020-02-26T14.30.19.804,5.580,0.480,-0.929,0.034
1582745419883,2020-02-26T14.30.19.883,5.659,0.480,-0.930,0.032
1582745419963,2020-02-26T14.30.19.963,5.739,0.480,-0.930,0.032
1582745420042,2020-02-26T14.30.20.042,5.818,0.480,-0.930,0.033
1582745420123,2020-02-26T14.30.20.123,5.899,0.479,-0.931,0.033
1582745420202,2020-02-26T14.30.20.202,5.978,0.480,-0.931,0.032
1582745420281,2020-02-26T14.30.20.281,6.057,0.480,-0.930,0.033
1582745420362,2020-02-26T14.30.20.362,6.138,0.481,-0.930,0.033
1582745420441,2020-02-26T14.30.20.441,6.217,0.480,-0.930,0.033
1582745420521,2020-02-26T14.30.20.521,6.297,0.480,-0.930,0.033
1582745420600,2020-02-26T14.30.20.600,6.376,0.480,-0.930,0.033
1582745420680,2020-02-26T14.30.20.680,6.456,0.480,-0.931,0.033
1582745420760,2020-02-26T14.30.20.760,6.536,0.481,-0.931,0.033
1582745420839,2020-02-26T14.30.20.839,6.615,0.480,-0.930,0.032
1582745420920,2020-02-26T14.30.20.920,6.696,0.480,-0.930,0.033
1582745420999,2020-02-26T14.30.20.999,6.775,0.480,-0.931,0.033
1582745421078,2020-02-26T14.30.21.078,6.854,0.479,-0.931,0.032
1582745421159,2020-02-26T14.30.21.159,6.935,0.480,-0.931,0.032
1582745421238,2020-02-26T14.30.21.238,7.014,0.479,-0.931,0.032
1582745421318,2020-02-26T14.30.21.318,7.094,0.479,-0.929,0.032
1582745421397,2020-02-26T14.30.21.397,7.173,0.493,-0.937,0.032
1582745421476,2020-02-26T14.30.21.476,7.252,0.478,-0.925,0.042
1582745421557,2020-02-26T14.30.21.557,7.333,0.424,-0.941,0.037
1582745421636,2020-02-26T14.30.21.636,7.412,0.478,-0.942,0.032
1582745421717,2020-02-26T14.30.21.717,7.493,0.492,-0.934,0.028
1582745421796,2020-02-26T14.30.21.796,7.572,0.506,-0.924,0.028
1582745421876,2020-02-26T14.30.21.876,7.652,0.460,-0.940,0.041
1582745421955,2020-02-26T14.30.21.955,7.731,0.436,-0.886,0.033
1582745422035,2020-02-26T14.30.22.035,7.811,0.463,-0.977,0.034
1582745422115,2020-02-26T14.30.22.115,7.891,0.485,-0.929,0.031
1582745422194,2020-02-26T14.30.22.194,7.970,0.477,-0.931,0.035
1582745422275,2020-02-26T14.30.22.275,8.051,0.473,-0.972,0.055
1582745422354,2020-02-26T14.30.22.354,8.130,0.384,-0.896,0.029
1582745422433,2020-02-26T14.30.22.433,8.209,0.493,-0.970,0.021
1582745422514,2020-02-26T14.30.22.514,8.290,0.484,-0.934,0.023
1582745422593,2020-02-26T14.30.22.593,8.369,0.453,-0.932,0.037
1582745422673,2020-02-26T14.30.22.673,8.449,0.451,-0.945,0.040
1582745422752,2020-02-26T14.30.22.752,8.528,0.444,-0.950,0.029
1582745422833,2020-02-26T14.30.22.833,8.609,0.432,-0.953,0.035
1582745422912,2020-02-26T14.30.22.912,8.688,0.435,-0.951,0.030
1582745422991,2020-02-26T14.30.22.991,8.767,0.444,-0.948,0.026
1582745423072,2020-02-26T14.30.23.072,8.848,0.450,-0.945,0.029
1582745423151,2020-02-26T14.30.23.151,8.927,0.453,-0.943,0.032
1582745423231,2020-02-26T14.30.23.231,9.007,0.456,-0.941,0.037
1582745423310,2020-02-26T14.30.23.310,9.086,0.458,-0.941,0.035
1582745423389,2020-02-26T14.30.23.389,9.165,0.458,-0.942,0.031
1582745423470,2020-02-26T14.30.23.470,9.246,0.455,-0.942,0.029
1582745423549,2020-02-26T14.30.23.549,9.325,0.450,-0.945,0.030
1582745423630,2020-02-26T14.30.23.630,9.406,0.447,-0.946,0.033
1582745423709,2020-02-26T14.30.23.709,9.485,0.446,-0.947,0.031
1582745423788,2020-02-26T14.30.23.788,9.564,0.445,-0.947,0.033
1582745423868,2020-02-26T14.30.23.868,9.644,0.444,-0.947,0.034
