epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582745621035,2020-02-26T14.33.41.035,0.000,0.309,-0.989,0.029
1582745621114,2020-02-26T14.33.41.114,0.079,0.312,-0.998,0.029
1582745621194,2020-02-26T14.33.41.194,0.159,0.311,-0.996,0.030
1582745621274,2020-02-26T14.33.41.274,0.239,0.312,-0.995,0.029
1582745621353,2020-02-26T14.33.41.353,0.318,0.311,-0.995,0.028
1582745621434,2020-02-26T14.33.41.434,0.399,0.311,-0.995,0.030
1582745621513,2020-02-26T14.33.41.513,0.478,0.311,-0.995,0.029
1582745621594,2020-02-26T14.33.41.594,0.559,0.310,-0.995,0.030
1582745621673,2020-02-26T14.33.41.673,0.638,0.311,-0.995,0.029
1582745621752,2020-02-26T14.33.41.752,0.717,0.311,-0.995,0.028
1582745621832,2020-02-26T14.33.41.832,0.797,0.311,-0.995,0.029
1582745621911,2020-02-26T14.33.41.911,0.876,0.311,-0.996,0.028
1582745621992,2020-02-26T14.33.41.992,0.957,0.311,-0.995,0.029
1582745622071,2020-02-26T14.33.42.071,1.036,0.312,-0.995,0.029
1582745622150,2020-02-26T14.33.42.150,1.115,0.312,-0.994,0.029
1582745622231,2020-02-26T14.33.42.231,1.196,0.312,-0.996,0.029
1582745622310,2020-02-26T14.33.42.310,1.275,0.311,-0.995,0.029
1582745622390,2020-02-26T14.33.42.390,1.355,0.311,-0.995,0.029
1582745622469,2020-02-26T14.33.42.469,1.434,0.311,-0.995,0.030
1582745622549,2020-02-26T14.33.42.549,1.514,0.311,-0.995,0.030
1582745622629,2020-02-26T14.33.42.629,1.594,0.311,-0.995,0.029
1582745622708,2020-02-26T14.33.42.708,1.673,0.312,-0.995,0.029
1582745622789,2020-02-26T14.33.42.789,1.754,0.311,-0.995,0.030
1582745622868,2020-02-26T14.33.42.868,1.833,0.310,-0.995,0.029
1582745622947,2020-02-26T14.33.42.947,1.912,0.311,-0.996,0.029
1582745623028,2020-02-26T14.33.43.028,1.993,0.311,-0.995,0.030
1582745623107,2020-02-26T14.33.43.107,2.072,0.312,-0.995,0.029
1582745623187,2020-02-26T14.33.43.187,2.152,0.311,-0.996,0.030
1582745623266,2020-02-26T14.33.43.266,2.231,0.312,-0.996,0.029
1582745623345,2020-02-26T14.33.43.345,2.310,0.312,-0.994,0.029
1582745623426,2020-02-26T14.33.43.426,2.391,0.311,-0.995,0.029
1582745623505,2020-02-26T14.33.43.505,2.470,0.311,-0.995,0.029
1582745623586,2020-02-26T14.33.43.586,2.551,0.311,-0.996,0.029
1582745623665,2020-02-26T14.33.43.665,2.630,0.311,-0.996,0.030
1582745623745,2020-02-26T14.33.43.745,2.710,0.311,-0.995,0.029
1582745623824,2020-02-26T14.33.43.824,2.789,0.311,-0.996,0.029
1582745623904,2020-02-26T14.33.43.904,2.869,0.311,-0.995,0.029
1582745623984,2020-02-26T14.33.43.984,2.949,0.311,-0.995,0.029
1582745624063,2020-02-26T14.33.44.063,3.028,0.311,-0.995,0.029
1582745624144,2020-02-26T14.33.44.144,3.109,0.311,-0.995,0.029
1582745624223,2020-02-26T14.33.44.223,3.188,0.311,-0.995,0.029
1582745624302,2020-02-26T14.33.44.302,3.267,0.312,-0.995,0.029
1582745624383,2020-02-26T14.33.44.383,3.348,0.311,-0.994,0.030
1582745624462,2020-02-26T14.33.44.462,3.427,0.311,-0.995,0.030
1582745624542,2020-02-26T14.33.44.542,3.507,0.311,-0.995,0.030
1582745624621,2020-02-26T14.33.44.621,3.586,0.311,-0.995,0.029
1582745624700,2020-02-26T14.33.44.700,3.665,0.311,-0.995,0.029
1582745624781,2020-02-26T14.33.44.781,3.746,0.311,-0.995,0.029
1582745624860,2020-02-26T14.33.44.860,3.825,0.310,-0.995,0.030
1582745624941,2020-02-26T14.33.44.941,3.906,0.311,-0.995,0.030
1582745625020,2020-02-26T14.33.45.020,3.985,0.311,-0.995,0.029
1582745625099,2020-02-26T14.33.45.099,4.064,0.311,-0.995,0.029
1582745625179,2020-02-26T14.33.45.179,4.144,0.311,-0.995,0.028
1582745625259,2020-02-26T14.33.45.259,4.224,0.311,-0.995,0.029
1582745625339,2020-02-26T14.33.45.339,4.304,0.311,-0.995,0.029
1582745625418,2020-02-26T14.33.45.418,4.383,0.311,-0.996,0.030
1582745625499,2020-02-26T14.33.45.499,4.464,0.311,-0.995,0.030
1582745625578,2020-02-26T14.33.45.578,4.543,0.310,-0.994,0.030
1582745625657,2020-02-26T14.33.45.657,4.622,0.311,-0.996,0.029
1582745625738,2020-02-26T14.33.45.738,4.703,0.311,-0.995,0.029
1582745625817,2020-02-26T14.33.45.817,4.782,0.311,-0.994,0.029
1582745625897,2020-02-26T14.33.45.897,4.862,0.310,-0.995,0.029
1582745625976,2020-02-26T14.33.45.976,4.941,0.312,-0.994,0.030
1582745626055,2020-02-26T14.33.46.055,5.020,0.311,-0.995,0.029
1582745626136,2020-02-26T14.33.46.136,5.101,0.310,-0.996,0.029
1582745626215,2020-02-26T14.33.46.215,5.180,0.311,-0.995,0.029
1582745626296,2020-02-26T14.33.46.296,5.261,0.312,-0.995,0.029
1582745626375,2020-02-26T14.33.46.375,5.340,0.310,-0.995,0.030
1582745626454,2020-02-26T14.33.46.454,5.419,0.311,-0.995,0.029
1582745626534,2020-02-26T14.33.46.534,5.499,0.311,-0.995,0.029
1582745626614,2020-02-26T14.33.46.614,5.579,0.310,-0.995,0.030
1582745626694,2020-02-26T14.33.46.694,5.659,0.311,-0.996,0.030
1582745626773,2020-02-26T14.33.46.773,5.738,0.312,-0.996,0.030
1582745626854,2020-02-26T14.33.46.854,5.819,0.312,-0.995,0.029
1582745626933,2020-02-26T14.33.46.933,5.898,0.311,-0.995,0.029
1582745627012,2020-02-26T14.33.47.012,5.977,0.311,-0.995,0.030
1582745627093,2020-02-26T14.33.47.093,6.058,0.311,-0.995,0.029
1582745627172,2020-02-26T14.33.47.172,6.137,0.312,-0.994,0.029
1582745627252,2020-02-26T14.33.47.252,6.217,0.311,-0.994,0.029
1582745627331,2020-02-26T14.33.47.331,6.296,0.312,-0.997,0.029
1582745627410,2020-02-26T14.33.47.410,6.375,0.310,-0.992,0.029
1582745627491,2020-02-26T14.33.47.491,6.456,0.308,-0.988,0.028
1582745627570,2020-02-26T14.33.47.570,6.535,0.311,-0.998,0.029
1582745627651,2020-02-26T14.33.47.651,6.616,0.311,-0.997,0.029
1582745627730,2020-02-26T14.33.47.730,6.695,0.312,-0.998,0.029
1582745627809,2020-02-26T14.33.47.809,6.774,0.311,-0.995,0.029
1582745627889,2020-02-26T14.33.47.889,6.854,0.311,-0.994,0.030
1582745627969,2020-02-26T14.33.47.969,6.934,0.310,-0.995,0.030
1582745628049,2020-02-26T14.33.48.049,7.014,0.311,-0.995,0.029
1582745628128,2020-02-26T14.33.48.128,7.093,0.311,-0.994,0.029
1582745628209,2020-02-26T14.33.48.209,7.174,0.311,-0.994,0.028
1582745628288,2020-02-26T14.33.48.288,7.253,0.311,-0.995,0.029
1582745628367,2020-02-26T14.33.48.367,7.332,0.311,-0.995,0.030
1582745628448,2020-02-26T14.33.48.448,7.413,0.311,-0.995,0.029
1582745628527,2020-02-26T14.33.48.527,7.492,0.311,-0.995,0.029
1582745628607,2020-02-26T14.33.48.607,7.572,0.311,-0.996,0.030
1582745628686,2020-02-26T14.33.48.686,7.651,0.311,-0.995,0.030
1582745628765,2020-02-26T14.33.48.765,7.730,0.311,-0.996,0.028
1582745628846,2020-02-26T14.33.48.846,7.811,0.311,-0.996,0.028
1582745628925,2020-02-26T14.33.48.925,7.890,0.312,-0.996,0.029
1582745629006,2020-02-26T14.33.49.006,7.971,0.311,-0.995,0.030
1582745629085,2020-02-26T14.33.49.085,8.050,0.311,-0.995,0.029
1582745629165,2020-02-26T14.33.49.165,8.130,0.311,-0.995,0.029
1582745629244,2020-02-26T14.33.49.244,8.209,0.311,-0.995,0.030
1582745629323,2020-02-26T14.33.49.323,8.288,0.311,-0.996,0.028
1582745629404,2020-02-26T14.33.49.404,8.369,0.310,-0.995,0.029
1582745629483,2020-02-26T14.33.49.483,8.448,0.310,-0.995,0.029
1582745629564,2020-02-26T14.33.49.564,8.529,0.310,-0.996,0.029
1582745629643,2020-02-26T14.33.49.643,8.608,0.310,-0.994,0.029
1582745629722,2020-02-26T14.33.49.722,8.687,0.311,-0.995,0.028
1582745629802,2020-02-26T14.33.49.802,8.767,0.310,-0.995,0.030
1582745629882,2020-02-26T14.33.49.882,8.847,0.310,-0.995,0.030
1582745629962,2020-02-26T14.33.49.962,8.927,0.312,-0.991,0.030
1582745630041,2020-02-26T14.33.50.041,9.006,0.315,-1.003,0.032
1582745630120,2020-02-26T14.33.50.120,9.085,0.273,-0.996,0.034
1582745630201,2020-02-26T14.33.50.201,9.166,0.260,-0.969,0.034
1582745630280,2020-02-26T14.33.50.280,9.245,0.350,-1.014,0.022
1582745630361,2020-02-26T14.33.50.361,9.326,0.354,-0.981,0.017
1582745630440,2020-02-26T14.33.50.440,9.405,0.372,-0.975,0.019
1582745630520,2020-02-26T14.33.50.520,9.485,0.358,-0.975,0.037
1582745630599,2020-02-26T14.33.50.599,9.564,0.314,-0.972,0.047
1582745630678,2020-02-26T14.33.50.678,9.643,0.352,-0.998,0.037
1582745630759,2020-02-26T14.33.50.759,9.724,0.344,-0.984,0.038
1582745630838,2020-02-26T14.33.50.838,9.803,0.342,-0.982,0.029
1582745630919,2020-02-26T14.33.50.919,9.884,0.332,-0.988,0.026
1582745630998,2020-02-26T14.33.50.998,9.963,0.319,-0.993,0.026
1582745631077,2020-02-26T14.33.51.077,10.042,0.300,-0.998,0.027
1582745631157,2020-02-26T14.33.51.157,10.122,0.292,-1.000,0.031
1582745631237,2020-02-26T14.33.51.237,10.202,0.288,-1.002,0.034
1582745631317,2020-02-26T14.33.51.317,10.282,0.283,-1.003,0.032
1582745631396,2020-02-26T14.33.51.396,10.361,0.277,-1.004,0.026
1582745631477,2020-02-26T14.33.51.477,10.442,0.276,-1.004,0.026
1582745631556,2020-02-26T14.33.51.556,10.521,0.277,-1.004,0.029
1582745631635,2020-02-26T14.33.51.635,10.600,0.285,-1.002,0.032
1582745631716,2020-02-26T14.33.51.716,10.681,0.291,-1.000,0.030
1582745631795,2020-02-26T14.33.51.795,10.760,0.295,-1.000,0.027
1582745631875,2020-02-26T14.33.51.875,10.840,0.298,-0.998,0.027
1582745631954,2020-02-26T14.33.51.954,10.919,0.300,-0.998,0.031
1582745632033,2020-02-26T14.33.52.033,10.998,0.299,-0.999,0.029
1582745632114,2020-02-26T14.33.52.114,11.079,0.295,-0.999,0.027
1582745632193,2020-02-26T14.33.52.193,11.158,0.292,-0.999,0.030
1582745632274,2020-02-26T14.33.52.274,11.239,0.289,-1.001,0.031
1582745632353,2020-02-26T14.33.52.353,11.318,0.286,-1.003,0.026
1582745632432,2020-02-26T14.33.52.432,11.397,0.281,-1.003,0.026
