epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582745816008,2020-02-26T14.36.56.008,0.000,0.012,-1.025,0.025
1582745816089,2020-02-26T14.36.56.089,0.081,0.012,-1.034,0.024
1582745816168,2020-02-26T14.36.56.168,0.160,0.011,-1.032,0.024
1582745816248,2020-02-26T14.36.56.248,0.240,0.011,-1.031,0.024
1582745816327,2020-02-26T14.36.56.327,0.319,0.011,-1.032,0.024
1582745816406,2020-02-26T14.36.56.406,0.398,0.011,-1.032,0.024
1582745816487,2020-02-26T14.36.56.487,0.479,0.011,-1.032,0.024
1582745816566,2020-02-26T14.36.56.566,0.558,0.012,-1.032,0.025
1582745816647,2020-02-26T14.36.56.647,0.639,0.011,-1.031,0.024
1582745816726,2020-02-26T14.36.56.726,0.718,0.011,-1.032,0.024
1582745816805,2020-02-26T14.36.56.805,0.797,0.011,-1.031,0.024
1582745816885,2020-02-26T14.36.56.885,0.877,0.012,-1.032,0.024
1582745816964,2020-02-26T14.36.56.964,0.956,0.012,-1.032,0.024
1582745817045,2020-02-26T14.36.57.045,1.037,0.013,-1.032,0.024
1582745817124,2020-02-26T14.36.57.124,1.116,0.011,-1.031,0.023
1582745817205,2020-02-26T14.36.57.205,1.197,0.011,-1.031,0.024
1582745817284,2020-02-26T14.36.57.284,1.276,0.011,-1.031,0.025
1582745817363,2020-02-26T14.36.57.363,1.355,0.011,-1.031,0.024
1582745817443,2020-02-26T14.36.57.443,1.435,0.011,-1.032,0.025
1582745817523,2020-02-26T14.36.57.523,1.515,0.012,-1.031,0.025
1582745817603,2020-02-26T14.36.57.603,1.595,0.011,-1.032,0.025
1582745817682,2020-02-26T14.36.57.682,1.674,0.012,-1.031,0.025
1582745817761,2020-02-26T14.36.57.761,1.753,0.011,-1.032,0.025
1582745817842,2020-02-26T14.36.57.842,1.834,0.011,-1.032,0.024
1582745817921,2020-02-26T14.36.57.921,1.913,0.011,-1.031,0.024
1582745818002,2020-02-26T14.36.58.002,1.994,0.012,-1.032,0.025
1582745818081,2020-02-26T14.36.58.081,2.073,0.012,-1.032,0.025
1582745818161,2020-02-26T14.36.58.161,2.153,0.010,-1.031,0.025
1582745818240,2020-02-26T14.36.58.240,2.232,0.012,-1.032,0.024
1582745818319,2020-02-26T14.36.58.319,2.311,0.011,-1.032,0.024
1582745818400,2020-02-26T14.36.58.400,2.392,0.011,-1.032,0.024
1582745818479,2020-02-26T14.36.58.479,2.471,0.011,-1.032,0.024
1582745818560,2020-02-26T14.36.58.560,2.552,0.012,-1.032,0.025
1582745818639,2020-02-26T14.36.58.639,2.631,0.012,-1.031,0.024
1582745818718,2020-02-26T14.36.58.718,2.710,0.011,-1.031,0.024
1582745818798,2020-02-26T14.36.58.798,2.790,0.011,-1.032,0.024
1582745818878,2020-02-26T14.36.58.878,2.870,0.011,-1.031,0.024
1582745818958,2020-02-26T14.36.58.958,2.950,0.012,-1.031,0.025
1582745819037,2020-02-26T14.36.59.037,3.029,0.011,-1.031,0.025
1582745819118,2020-02-26T14.36.59.118,3.110,0.012,-1.031,0.024
1582745819197,2020-02-26T14.36.59.197,3.189,0.012,-1.031,0.024
1582745819276,2020-02-26T14.36.59.276,3.268,0.012,-1.032,0.025
1582745819357,2020-02-26T14.36.59.357,3.349,0.012,-1.031,0.025
1582745819436,2020-02-26T14.36.59.436,3.428,0.011,-1.032,0.024
1582745819516,2020-02-26T14.36.59.516,3.508,0.011,-1.032,0.024
1582745819595,2020-02-26T14.36.59.595,3.587,0.012,-1.031,0.024
1582745819674,2020-02-26T14.36.59.674,3.666,0.012,-1.031,0.025
1582745819755,2020-02-26T14.36.59.755,3.747,0.012,-1.031,0.025
1582745819834,2020-02-26T14.36.59.834,3.826,0.010,-1.030,0.025
1582745819915,2020-02-26T14.36.59.915,3.907,0.010,-1.032,0.025
1582745819994,2020-02-26T14.36.59.994,3.986,0.012,-1.032,0.024
1582745820074,2020-02-26T14.37.00.074,4.066,0.011,-1.031,0.024
1582745820153,2020-02-26T14.37.00.153,4.145,0.011,-1.031,0.024
1582745820233,2020-02-26T14.37.00.233,4.225,0.011,-1.032,0.024
1582745820313,2020-02-26T14.37.00.313,4.305,0.011,-1.032,0.024
1582745820392,2020-02-26T14.37.00.392,4.384,0.011,-1.031,0.024
1582745820473,2020-02-26T14.37.00.473,4.465,0.011,-1.031,0.025
1582745820552,2020-02-26T14.37.00.552,4.544,0.011,-1.032,0.025
1582745820631,2020-02-26T14.37.00.631,4.623,0.011,-1.032,0.025
1582745820712,2020-02-26T14.37.00.712,4.704,0.011,-1.032,0.025
1582745820791,2020-02-26T14.37.00.791,4.783,0.011,-1.032,0.025
1582745820871,2020-02-26T14.37.00.871,4.863,0.011,-1.031,0.025
1582745820950,2020-02-26T14.37.00.950,4.942,0.012,-1.032,0.025
1582745821031,2020-02-26T14.37.01.031,5.023,0.011,-1.031,0.025
1582745821110,2020-02-26T14.37.01.110,5.102,0.012,-1.032,0.024
1582745821189,2020-02-26T14.37.01.189,5.181,0.011,-1.032,0.025
1582745821270,2020-02-26T14.37.01.270,5.262,0.011,-1.032,0.024
1582745821349,2020-02-26T14.37.01.349,5.341,0.010,-1.032,0.025
1582745821429,2020-02-26T14.37.01.429,5.421,0.011,-1.031,0.024
1582745821508,2020-02-26T14.37.01.508,5.500,0.011,-1.031,0.024
1582745821588,2020-02-26T14.37.01.588,5.580,0.011,-1.032,0.024
1582745821668,2020-02-26T14.37.01.668,5.660,0.012,-1.031,0.023
