epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580832326039,2020-02-04T11.05.26.039,0.000,-0.953,-0.157,0.157
1580832326120,2020-02-04T11.05.26.120,0.081,-0.961,-0.158,0.158
1580832326199,2020-02-04T11.05.26.199,0.160,-0.959,-0.157,0.158
1580832326279,2020-02-04T11.05.26.279,0.240,-0.958,-0.157,0.158
1580832326358,2020-02-04T11.05.26.358,0.319,-0.959,-0.157,0.158
1580832326439,2020-02-04T11.05.26.439,0.400,-0.959,-0.157,0.158
1580832326518,2020-02-04T11.05.26.518,0.479,-0.959,-0.157,0.158
1580832326599,2020-02-04T11.05.26.599,0.560,-0.959,-0.157,0.159
1580832326678,2020-02-04T11.05.26.678,0.639,-0.959,-0.158,0.157
1580832326758,2020-02-04T11.05.26.758,0.719,-0.959,-0.156,0.157
1580832326837,2020-02-04T11.05.26.837,0.798,-0.958,-0.158,0.158
1580832326918,2020-02-04T11.05.26.918,0.879,-0.959,-0.158,0.158
1580832326997,2020-02-04T11.05.26.997,0.958,-0.959,-0.156,0.158
1580832327078,2020-02-04T11.05.27.078,1.039,-0.959,-0.157,0.158
1580832327157,2020-02-04T11.05.27.157,1.118,-0.959,-0.156,0.158
1580832327237,2020-02-04T11.05.27.237,1.198,-0.959,-0.157,0.158
1580832327316,2020-02-04T11.05.27.316,1.277,-0.958,-0.157,0.157
1580832327397,2020-02-04T11.05.27.397,1.358,-0.959,-0.157,0.158
1580832327476,2020-02-04T11.05.27.476,1.437,-0.959,-0.157,0.158
1580832327557,2020-02-04T11.05.27.557,1.518,-0.959,-0.157,0.158
1580832327636,2020-02-04T11.05.27.636,1.597,-0.958,-0.157,0.158
1580832327716,2020-02-04T11.05.27.716,1.677,-0.960,-0.158,0.158
1580832327795,2020-02-04T11.05.27.795,1.756,-0.959,-0.157,0.158
1580832327876,2020-02-04T11.05.27.876,1.837,-0.959,-0.159,0.158
1580832327955,2020-02-04T11.05.27.955,1.916,-0.958,-0.157,0.157
1580832328036,2020-02-04T11.05.28.036,1.997,-0.958,-0.158,0.158
1580832328115,2020-02-04T11.05.28.115,2.076,-0.958,-0.159,0.158
1580832328195,2020-02-04T11.05.28.195,2.156,-0.958,-0.157,0.158
1580832328274,2020-02-04T11.05.28.274,2.235,-0.959,-0.157,0.158
1580832328355,2020-02-04T11.05.28.355,2.316,-0.958,-0.158,0.158
1580832328434,2020-02-04T11.05.28.434,2.395,-0.958,-0.158,0.158
1580832328515,2020-02-04T11.05.28.515,2.476,-0.959,-0.158,0.158
1580832328594,2020-02-04T11.05.28.594,2.555,-0.959,-0.158,0.158
1580832328674,2020-02-04T11.05.28.674,2.635,-0.959,-0.158,0.158
1580832328753,2020-02-04T11.05.28.753,2.714,-0.958,-0.158,0.157
1580832328834,2020-02-04T11.05.28.834,2.795,-0.958,-0.157,0.158
1580832328913,2020-02-04T11.05.28.913,2.874,-0.959,-0.158,0.159
1580832328994,2020-02-04T11.05.28.994,2.955,-0.958,-0.158,0.158
1580832329073,2020-02-04T11.05.29.073,3.034,-0.958,-0.157,0.158
1580832329153,2020-02-04T11.05.29.153,3.114,-0.959,-0.157,0.158
1580832329232,2020-02-04T11.05.29.232,3.193,-0.959,-0.157,0.159
1580832329313,2020-02-04T11.05.29.313,3.274,-0.958,-0.156,0.158
1580832329392,2020-02-04T11.05.29.392,3.353,-0.959,-0.157,0.157
1580832329473,2020-02-04T11.05.29.473,3.434,-0.958,-0.157,0.158
1580832329552,2020-02-04T11.05.29.552,3.513,-0.959,-0.157,0.158
1580832329632,2020-02-04T11.05.29.632,3.593,-0.959,-0.158,0.158
1580832329711,2020-02-04T11.05.29.711,3.672,-0.959,-0.157,0.158
1580832329792,2020-02-04T11.05.29.792,3.753,-0.958,-0.157,0.158
1580832329871,2020-02-04T11.05.29.871,3.832,-0.959,-0.156,0.158
1580832329952,2020-02-04T11.05.29.952,3.913,-0.959,-0.156,0.158
1580832330031,2020-02-04T11.05.30.031,3.992,-0.959,-0.157,0.158
1580832330111,2020-02-04T11.05.30.111,4.072,-0.959,-0.158,0.158
1580832330190,2020-02-04T11.05.30.190,4.151,-0.959,-0.157,0.158
1580832330271,2020-02-04T11.05.30.271,4.232,-0.959,-0.157,0.158
1580832330350,2020-02-04T11.05.30.350,4.311,-0.959,-0.157,0.158
1580832330431,2020-02-04T11.05.30.431,4.392,-0.958,-0.157,0.157
1580832330510,2020-02-04T11.05.30.510,4.471,-0.958,-0.159,0.158
1580832330590,2020-02-04T11.05.30.590,4.551,-0.959,-0.158,0.158
1580832330669,2020-02-04T11.05.30.669,4.630,-0.959,-0.158,0.158
1580832330750,2020-02-04T11.05.30.750,4.711,-0.959,-0.157,0.159
1580832330829,2020-02-04T11.05.30.829,4.790,-0.958,-0.157,0.158
1580832330910,2020-02-04T11.05.30.910,4.871,-0.958,-0.158,0.157
1580832330990,2020-02-04T11.05.30.990,4.951,-0.959,-0.157,0.158
1580832331069,2020-02-04T11.05.31.069,5.030,-0.958,-0.157,0.158
1580832331150,2020-02-04T11.05.31.150,5.111,-0.958,-0.157,0.159
1580832331229,2020-02-04T11.05.31.229,5.190,-0.958,-0.157,0.158
1580832331310,2020-02-04T11.05.31.310,5.271,-0.959,-0.158,0.158
1580832331389,2020-02-04T11.05.31.389,5.350,-0.959,-0.158,0.158
1580832331469,2020-02-04T11.05.31.469,5.430,-0.959,-0.158,0.159
1580832331548,2020-02-04T11.05.31.548,5.509,-0.959,-0.157,0.158
1580832331629,2020-02-04T11.05.31.629,5.590,-0.958,-0.158,0.158
1580832331708,2020-02-04T11.05.31.708,5.669,-0.958,-0.158,0.157
1580832331789,2020-02-04T11.05.31.789,5.750,-0.959,-0.157,0.159
1580832331868,2020-02-04T11.05.31.868,5.829,-0.959,-0.156,0.158
1580832331948,2020-02-04T11.05.31.948,5.909,-0.959,-0.157,0.158
1580832332027,2020-02-04T11.05.32.027,5.988,-0.959,-0.158,0.158
1580832332108,2020-02-04T11.05.32.108,6.069,-0.959,-0.156,0.158
1580832332187,2020-02-04T11.05.32.187,6.148,-0.959,-0.157,0.158
1580832332268,2020-02-04T11.05.32.268,6.229,-0.958,-0.158,0.158
1580832332347,2020-02-04T11.05.32.347,6.308,-0.959,-0.158,0.157
1580832332427,2020-02-04T11.05.32.427,6.388,-0.958,-0.157,0.158
1580832332506,2020-02-04T11.05.32.506,6.467,-0.959,-0.158,0.158
1580832332587,2020-02-04T11.05.32.587,6.548,-0.959,-0.158,0.158
1580832332666,2020-02-04T11.05.32.666,6.627,-0.959,-0.157,0.158
1580832332747,2020-02-04T11.05.32.747,6.708,-0.959,-0.157,0.158
1580832332826,2020-02-04T11.05.32.826,6.787,-0.959,-0.158,0.158
1580832332906,2020-02-04T11.05.32.906,6.867,-0.960,-0.157,0.158
1580832332985,2020-02-04T11.05.32.985,6.946,-0.958,-0.157,0.159
1580832333066,2020-02-04T11.05.33.066,7.027,-0.958,-0.157,0.158
1580832333145,2020-02-04T11.05.33.145,7.106,-0.959,-0.158,0.157
1580832333226,2020-02-04T11.05.33.226,7.187,-0.959,-0.158,0.157
1580832333305,2020-02-04T11.05.33.305,7.266,-0.959,-0.158,0.158
1580832333385,2020-02-04T11.05.33.385,7.346,-0.959,-0.157,0.159
1580832333464,2020-02-04T11.05.33.464,7.425,-0.958,-0.158,0.158
1580832333545,2020-02-04T11.05.33.545,7.506,-0.959,-0.157,0.158
1580832333624,2020-02-04T11.05.33.624,7.585,-0.960,-0.157,0.158
1580832333705,2020-02-04T11.05.33.705,7.666,-0.959,-0.157,0.158
1580832333784,2020-02-04T11.05.33.784,7.745,-0.958,-0.158,0.157
1580832333864,2020-02-04T11.05.33.864,7.825,-0.959,-0.157,0.158
1580832333943,2020-02-04T11.05.33.943,7.904,-0.959,-0.157,0.158
1580832334024,2020-02-04T11.05.34.024,7.985,-0.959,-0.158,0.158
1580832334103,2020-02-04T11.05.34.103,8.064,-0.959,-0.156,0.158
1580832334184,2020-02-04T11.05.34.184,8.145,-0.959,-0.157,0.158
1580832334264,2020-02-04T11.05.34.264,8.225,-0.959,-0.158,0.158
1580832334343,2020-02-04T11.05.34.343,8.304,-0.959,-0.157,0.157
1580832334424,2020-02-04T11.05.34.424,8.385,-0.959,-0.157,0.158
1580832334503,2020-02-04T11.05.34.503,8.464,-0.958,-0.156,0.159
1580832334584,2020-02-04T11.05.34.584,8.545,-0.958,-0.157,0.157
1580832334663,2020-02-04T11.05.34.663,8.624,-0.959,-0.158,0.158
1580832334743,2020-02-04T11.05.34.743,8.704,-0.958,-0.157,0.159
1580832334822,2020-02-04T11.05.34.822,8.783,-0.959,-0.159,0.159
1580832334903,2020-02-04T11.05.34.903,8.864,-0.959,-0.157,0.158
1580832334982,2020-02-04T11.05.34.982,8.943,-0.959,-0.156,0.158
1580832335063,2020-02-04T11.05.35.063,9.024,-0.958,-0.156,0.158
1580832335142,2020-02-04T11.05.35.142,9.103,-0.959,-0.155,0.158
1580832335222,2020-02-04T11.05.35.222,9.183,-0.959,-0.154,0.158
1580832335301,2020-02-04T11.05.35.301,9.262,-0.960,-0.152,0.159
1580832335382,2020-02-04T11.05.35.382,9.343,-0.960,-0.150,0.159
1580832335461,2020-02-04T11.05.35.461,9.422,-0.959,-0.153,0.157
1580832335542,2020-02-04T11.05.35.542,9.503,-0.959,-0.154,0.161
1580832335621,2020-02-04T11.05.35.621,9.582,-0.957,-0.171,0.153
1580832335701,2020-02-04T11.05.35.701,9.662,-0.964,-0.136,0.160
1580832335780,2020-02-04T11.05.35.780,9.741,-0.955,-0.173,0.156
1580832335861,2020-02-04T11.05.35.861,9.822,-0.963,-0.135,0.162
1580832335940,2020-02-04T11.05.35.940,9.901,-0.959,-0.159,0.155
1580832336021,2020-02-04T11.05.36.021,9.982,-0.962,-0.135,0.159
1580832336100,2020-02-04T11.05.36.100,10.061,-0.959,-0.146,0.158
1580832336180,2020-02-04T11.05.36.180,10.141,-0.963,-0.138,0.158
1580832336259,2020-02-04T11.05.36.259,10.220,-0.961,-0.148,0.158
1580832336340,2020-02-04T11.05.36.340,10.301,-0.961,-0.146,0.158
1580832336419,2020-02-04T11.05.36.419,10.380,-0.958,-0.164,0.160
1580832336500,2020-02-04T11.05.36.500,10.461,-0.959,-0.157,0.159
1580832336579,2020-02-04T11.05.36.579,10.540,-0.958,-0.160,0.159
1580832336659,2020-02-04T11.05.36.659,10.620,-0.958,-0.161,0.158
1580832336738,2020-02-04T11.05.36.738,10.699,-0.958,-0.159,0.162
1580832336819,2020-02-04T11.05.36.819,10.780,-0.960,-0.156,0.155
1580832336898,2020-02-04T11.05.36.898,10.859,-0.961,-0.143,0.162
1580832336979,2020-02-04T11.05.36.979,10.940,-0.957,-0.166,0.155
1580832337058,2020-02-04T11.05.37.058,11.019,-0.959,-0.148,0.166
1580832337138,2020-02-04T11.05.37.138,11.099,-0.957,-0.169,0.156
1580832337217,2020-02-04T11.05.37.217,11.178,-0.955,-0.173,0.166
1580832337298,2020-02-04T11.05.37.298,11.259,-0.955,-0.181,0.159
1580832337377,2020-02-04T11.05.37.377,11.338,-0.950,-0.194,0.167
1580832337458,2020-02-04T11.05.37.458,11.419,-0.950,-0.204,0.160
1580832337538,2020-02-04T11.05.37.538,11.499,-0.953,-0.183,0.168
1580832337617,2020-02-04T11.05.37.617,11.578,-0.953,-0.191,0.157
1580832337698,2020-02-04T11.05.37.698,11.659,-0.951,-0.194,0.168
1580832337777,2020-02-04T11.05.37.777,11.738,-0.952,-0.186,0.159
1580832337857,2020-02-04T11.05.37.857,11.818,-0.954,-0.182,0.160
1580832337937,2020-02-04T11.05.37.937,11.898,-0.955,-0.178,0.162
1580832338017,2020-02-04T11.05.38.017,11.978,-0.956,-0.171,0.168
1580832338096,2020-02-04T11.05.38.096,12.057,-0.953,-0.178,0.168
1580832338177,2020-02-04T11.05.38.177,12.138,-0.951,-0.178,0.179
1580832338256,2020-02-04T11.05.38.256,12.217,-0.961,-0.141,0.157
1580832338336,2020-02-04T11.05.38.336,12.297,-0.960,-0.127,0.166
1580832338416,2020-02-04T11.05.38.416,12.377,-0.967,-0.100,0.158
1580832338496,2020-02-04T11.05.38.496,12.457,-0.970,-0.062,0.161
1580832338575,2020-02-04T11.05.38.575,12.536,-0.969,-0.026,0.165
1580832338656,2020-02-04T11.05.38.656,12.617,-0.971,-0.026,0.158
1580832338735,2020-02-04T11.05.38.735,12.696,-0.967,-0.014,0.154
1580832338815,2020-02-04T11.05.38.815,12.776,-0.972,0.066,0.154
1580832338895,2020-02-04T11.05.38.895,12.856,-0.966,0.055,0.151
1580832338975,2020-02-04T11.05.38.975,12.936,-1.058,0.111,0.163
1580832339054,2020-02-04T11.05.39.054,13.015,-1.222,0.139,0.200
1580832339135,2020-02-04T11.05.39.135,13.096,-1.061,0.122,0.171
1580832339214,2020-02-04T11.05.39.214,13.175,-0.812,0.161,0.117
1580832339294,2020-02-04T11.05.39.294,13.255,-0.615,0.116,0.094
1580832339374,2020-02-04T11.05.39.374,13.335,-0.867,0.195,0.172
1580832339454,2020-02-04T11.05.39.454,13.415,-1.134,0.220,0.207
1580832339533,2020-02-04T11.05.39.533,13.494,-0.987,0.194,0.151
1580832339614,2020-02-04T11.05.39.614,13.575,-0.887,0.205,0.123
1580832339693,2020-02-04T11.05.39.693,13.654,-0.958,0.227,0.151
1580832339773,2020-02-04T11.05.39.773,13.734,-0.945,0.263,0.153
1580832339853,2020-02-04T11.05.39.853,13.814,-0.912,0.287,0.128
1580832339933,2020-02-04T11.05.39.933,13.894,-0.925,0.265,0.116
1580832340012,2020-02-04T11.05.40.012,13.973,-0.910,0.250,0.058
1580832340093,2020-02-04T11.05.40.093,14.054,-0.946,0.252,0.021
1580832340172,2020-02-04T11.05.40.172,14.133,-0.947,0.255,0.034
1580832340252,2020-02-04T11.05.40.252,14.213,-0.919,0.250,0.039
1580832340332,2020-02-04T11.05.40.332,14.293,-0.939,0.255,0.062
1580832340412,2020-02-04T11.05.40.412,14.373,-0.982,0.238,0.098
1580832340491,2020-02-04T11.05.40.491,14.452,-0.999,0.206,0.129
1580832340572,2020-02-04T11.05.40.572,14.533,-0.988,0.187,0.184
1580832340651,2020-02-04T11.05.40.651,14.612,-0.983,0.190,0.226
1580832340731,2020-02-04T11.05.40.731,14.692,-0.903,0.206,0.206
1580832340811,2020-02-04T11.05.40.811,14.772,-0.906,0.222,0.187
1580832340891,2020-02-04T11.05.40.891,14.852,-0.887,0.227,0.177
1580832340970,2020-02-04T11.05.40.970,14.931,-0.879,0.273,0.177
1580832341051,2020-02-04T11.05.41.051,15.012,-0.937,0.299,0.193
1580832341130,2020-02-04T11.05.41.130,15.091,-0.924,0.287,0.144
1580832341210,2020-02-04T11.05.41.210,15.171,-0.977,0.263,0.110
1580832341290,2020-02-04T11.05.41.290,15.251,-0.996,0.226,0.095
1580832341370,2020-02-04T11.05.41.370,15.331,-0.939,0.224,0.025
1580832341451,2020-02-04T11.05.41.451,15.412,-0.979,0.185,0.007
1580832341530,2020-02-04T11.05.41.530,15.491,-0.996,0.174,0.054
1580832341610,2020-02-04T11.05.41.610,15.571,-0.961,0.184,0.032
1580832341689,2020-02-04T11.05.41.689,15.650,-1.000,0.199,0.022
1580832341770,2020-02-04T11.05.41.770,15.731,-1.018,0.185,0.068
1580832341849,2020-02-04T11.05.41.849,15.810,-0.992,0.182,0.127
1580832341930,2020-02-04T11.05.41.930,15.891,-0.939,0.172,0.196
1580832342009,2020-02-04T11.05.42.009,15.970,-0.900,0.173,0.239
1580832342089,2020-02-04T11.05.42.089,16.050,-0.921,0.191,0.255
1580832342168,2020-02-04T11.05.42.168,16.129,-0.953,0.184,0.250
1580832342249,2020-02-04T11.05.42.249,16.210,-0.910,0.205,0.192
1580832342328,2020-02-04T11.05.42.328,16.289,-0.914,0.233,0.162
1580832342409,2020-02-04T11.05.42.409,16.370,-0.929,0.239,0.148
1580832342488,2020-02-04T11.05.42.488,16.449,-0.940,0.246,0.140
1580832342568,2020-02-04T11.05.42.568,16.529,-0.971,0.245,0.147
1580832342647,2020-02-04T11.05.42.647,16.608,-0.927,0.235,0.123
1580832342728,2020-02-04T11.05.42.728,16.689,-0.916,0.239,0.119
1580832342807,2020-02-04T11.05.42.807,16.768,-0.957,0.237,0.136
1580832342888,2020-02-04T11.05.42.888,16.849,-0.940,0.232,0.120
1580832342967,2020-02-04T11.05.42.967,16.928,-0.974,0.237,0.119
1580832343047,2020-02-04T11.05.43.047,17.008,-0.985,0.229,0.117
1580832343126,2020-02-04T11.05.43.126,17.087,-0.949,0.222,0.101
1580832343207,2020-02-04T11.05.43.207,17.168,-0.937,0.226,0.128
1580832343286,2020-02-04T11.05.43.286,17.247,-0.934,0.238,0.145
1580832343367,2020-02-04T11.05.43.367,17.328,-0.949,0.255,0.144
1580832343446,2020-02-04T11.05.43.446,17.407,-0.971,0.279,0.145
1580832343526,2020-02-04T11.05.43.526,17.487,-0.981,0.281,0.140
1580832343606,2020-02-04T11.05.43.606,17.567,-0.922,0.239,0.117
1580832343686,2020-02-04T11.05.43.686,17.647,-0.913,0.253,0.112
1580832343765,2020-02-04T11.05.43.765,17.726,-0.921,0.265,0.132
1580832343846,2020-02-04T11.05.43.846,17.807,-0.841,0.256,0.120
1580832343925,2020-02-04T11.05.43.925,17.886,-0.939,0.300,0.123
1580832344005,2020-02-04T11.05.44.005,17.966,-1.024,0.289,0.154
1580832344085,2020-02-04T11.05.44.085,18.046,-0.772,0.199,0.123
1580832344165,2020-02-04T11.05.44.165,18.126,-0.622,0.154,0.087
1580832344244,2020-02-04T11.05.44.244,18.205,-0.641,0.197,0.083
1580832344325,2020-02-04T11.05.44.325,18.286,-0.811,0.272,0.121
1580832344404,2020-02-04T11.05.44.404,18.365,-0.917,0.316,0.130
1580832344484,2020-02-04T11.05.44.484,18.445,-0.940,0.329,0.132
1580832344564,2020-02-04T11.05.44.564,18.525,-0.937,0.328,0.132
1580832344644,2020-02-04T11.05.44.644,18.605,-0.953,0.348,0.128
1580832344725,2020-02-04T11.05.44.725,18.686,-0.956,0.359,0.127
1580832344804,2020-02-04T11.05.44.804,18.765,-0.931,0.371,0.124
1580832344884,2020-02-04T11.05.44.884,18.845,-0.929,0.385,0.127
1580832344963,2020-02-04T11.05.44.963,18.924,-0.941,0.408,0.133
1580832345044,2020-02-04T11.05.45.044,19.005,-1.035,0.454,0.142
1580832345123,2020-02-04T11.05.45.123,19.084,-1.190,0.503,0.164
1580832345204,2020-02-04T11.05.45.204,19.165,-1.334,0.514,0.191
1580832345283,2020-02-04T11.05.45.283,19.244,-1.202,0.472,0.177
1580832345363,2020-02-04T11.05.45.363,19.324,-0.952,0.403,0.142
1580832345442,2020-02-04T11.05.45.442,19.403,-0.890,0.350,0.125
1580832345523,2020-02-04T11.05.45.523,19.484,-0.915,0.329,0.132
1580832345602,2020-02-04T11.05.45.602,19.563,-0.947,0.330,0.133
