epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1580688101826,2020-02-02T19.01.41.826,0.000,0.915,0.415,-0.048
1580688101907,2020-02-02T19.01.41.907,0.081,0.923,0.419,-0.048
1580688101986,2020-02-02T19.01.41.986,0.160,0.921,0.417,-0.048
1580688102066,2020-02-02T19.01.42.066,0.240,0.921,0.417,-0.047
1580688102145,2020-02-02T19.01.42.145,0.319,0.920,0.418,-0.048
1580688102226,2020-02-02T19.01.42.226,0.400,0.921,0.417,-0.048
1580688102305,2020-02-02T19.01.42.305,0.479,0.922,0.417,-0.048
1580688102386,2020-02-02T19.01.42.386,0.560,0.921,0.418,-0.047
1580688102465,2020-02-02T19.01.42.465,0.639,0.921,0.418,-0.048
1580688102545,2020-02-02T19.01.42.545,0.719,0.921,0.417,-0.049
1580688102624,2020-02-02T19.01.42.624,0.798,0.921,0.417,-0.048
1580688102705,2020-02-02T19.01.42.705,0.879,0.921,0.417,-0.047
1580688102784,2020-02-02T19.01.42.784,0.958,0.920,0.417,-0.048
1580688102865,2020-02-02T19.01.42.865,1.039,0.919,0.417,-0.047
1580688102944,2020-02-02T19.01.42.944,1.118,0.922,0.418,-0.048
1580688103024,2020-02-02T19.01.43.024,1.198,0.921,0.417,-0.049
1580688103103,2020-02-02T19.01.43.103,1.277,0.921,0.417,-0.047
1580688103184,2020-02-02T19.01.43.184,1.358,0.922,0.417,-0.046
1580688103263,2020-02-02T19.01.43.263,1.437,0.922,0.417,-0.048
1580688103344,2020-02-02T19.01.43.344,1.518,0.921,0.417,-0.048
1580688103423,2020-02-02T19.01.43.423,1.597,0.921,0.417,-0.048
1580688103503,2020-02-02T19.01.43.503,1.677,0.922,0.418,-0.049
1580688103582,2020-02-02T19.01.43.582,1.756,0.921,0.418,-0.048
1580688103663,2020-02-02T19.01.43.663,1.837,0.921,0.416,-0.049
1580688103742,2020-02-02T19.01.43.742,1.916,0.922,0.417,-0.047
1580688103823,2020-02-02T19.01.43.823,1.997,0.920,0.417,-0.048
1580688103902,2020-02-02T19.01.43.902,2.076,0.922,0.417,-0.048
1580688103981,2020-02-02T19.01.43.981,2.155,0.922,0.417,-0.048
1580688104061,2020-02-02T19.01.44.061,2.235,0.921,0.417,-0.048
1580688104141,2020-02-02T19.01.44.141,2.315,0.922,0.417,-0.047
1580688104221,2020-02-02T19.01.44.221,2.395,0.921,0.418,-0.049
1580688104300,2020-02-02T19.01.44.300,2.474,0.921,0.419,-0.048
1580688104381,2020-02-02T19.01.44.381,2.555,0.922,0.418,-0.049
1580688104460,2020-02-02T19.01.44.460,2.634,0.921,0.417,-0.048
1580688104540,2020-02-02T19.01.44.540,2.714,0.921,0.418,-0.047
1580688104620,2020-02-02T19.01.44.620,2.794,0.921,0.418,-0.048
1580688104700,2020-02-02T19.01.44.700,2.874,0.921,0.418,-0.048
1580688104779,2020-02-02T19.01.44.779,2.953,0.921,0.417,-0.047
1580688104860,2020-02-02T19.01.44.860,3.034,0.921,0.417,-0.047
1580688104939,2020-02-02T19.01.44.939,3.113,0.921,0.417,-0.047
1580688105019,2020-02-02T19.01.45.019,3.193,0.921,0.418,-0.049
1580688105099,2020-02-02T19.01.45.099,3.273,0.922,0.417,-0.048
1580688105179,2020-02-02T19.01.45.179,3.353,0.922,0.418,-0.047
1580688105258,2020-02-02T19.01.45.258,3.432,0.922,0.417,-0.049
1580688105339,2020-02-02T19.01.45.339,3.513,0.922,0.417,-0.049
1580688105418,2020-02-02T19.01.45.418,3.592,0.921,0.419,-0.048
1580688105498,2020-02-02T19.01.45.498,3.672,0.922,0.417,-0.047
1580688105578,2020-02-02T19.01.45.578,3.752,0.921,0.417,-0.047
1580688105658,2020-02-02T19.01.45.658,3.832,0.921,0.418,-0.047
1580688105737,2020-02-02T19.01.45.737,3.911,0.922,0.419,-0.047
1580688105818,2020-02-02T19.01.45.818,3.992,0.922,0.417,-0.048
1580688105897,2020-02-02T19.01.45.897,4.071,0.921,0.417,-0.048
1580688105977,2020-02-02T19.01.45.977,4.151,0.921,0.418,-0.047
1580688106057,2020-02-02T19.01.46.057,4.231,0.921,0.418,-0.048
1580688106137,2020-02-02T19.01.46.137,4.311,0.921,0.417,-0.048
1580688106216,2020-02-02T19.01.46.216,4.390,0.922,0.417,-0.047
1580688106297,2020-02-02T19.01.46.297,4.471,0.922,0.417,-0.048
1580688106376,2020-02-02T19.01.46.376,4.550,0.921,0.418,-0.047
1580688106456,2020-02-02T19.01.46.456,4.630,0.922,0.417,-0.049
1580688106536,2020-02-02T19.01.46.536,4.710,0.922,0.417,-0.048
1580688106615,2020-02-02T19.01.46.615,4.789,0.920,0.418,-0.047
1580688106695,2020-02-02T19.01.46.695,4.869,0.921,0.417,-0.048
1580688106774,2020-02-02T19.01.46.774,4.948,0.922,0.418,-0.048
1580688106855,2020-02-02T19.01.46.855,5.029,0.921,0.419,-0.048
1580688106934,2020-02-02T19.01.46.934,5.108,0.922,0.417,-0.048
1580688107015,2020-02-02T19.01.47.015,5.189,0.922,0.417,-0.047
1580688107094,2020-02-02T19.01.47.094,5.268,0.922,0.418,-0.048
1580688107174,2020-02-02T19.01.47.174,5.348,0.921,0.418,-0.047
1580688107253,2020-02-02T19.01.47.253,5.427,0.921,0.417,-0.048
1580688107334,2020-02-02T19.01.47.334,5.508,0.922,0.417,-0.047
1580688107413,2020-02-02T19.01.47.413,5.587,0.921,0.417,-0.048
1580688107494,2020-02-02T19.01.47.494,5.668,0.921,0.417,-0.047
1580688107573,2020-02-02T19.01.47.573,5.747,0.922,0.417,-0.048
1580688107653,2020-02-02T19.01.47.653,5.827,0.922,0.418,-0.048
1580688107732,2020-02-02T19.01.47.732,5.906,0.922,0.417,-0.048
1580688107813,2020-02-02T19.01.47.813,5.987,0.922,0.417,-0.047
1580688107892,2020-02-02T19.01.47.892,6.066,0.922,0.418,-0.049
1580688107973,2020-02-02T19.01.47.973,6.147,0.920,0.418,-0.047
1580688108052,2020-02-02T19.01.48.052,6.226,0.921,0.418,-0.049
1580688108132,2020-02-02T19.01.48.132,6.306,0.921,0.417,-0.049
1580688108211,2020-02-02T19.01.48.211,6.385,0.921,0.418,-0.047
1580688108292,2020-02-02T19.01.48.292,6.466,0.921,0.417,-0.050
1580688108371,2020-02-02T19.01.48.371,6.545,0.920,0.420,-0.047
1580688108452,2020-02-02T19.01.48.452,6.626,0.922,0.416,-0.047
1580688108531,2020-02-02T19.01.48.531,6.705,0.921,0.417,-0.048
1580688108611,2020-02-02T19.01.48.611,6.785,0.921,0.418,-0.051
1580688108690,2020-02-02T19.01.48.690,6.864,0.921,0.418,-0.046
1580688108771,2020-02-02T19.01.48.771,6.945,0.921,0.417,-0.050
1580688108850,2020-02-02T19.01.48.850,7.024,0.921,0.418,-0.049
1580688108931,2020-02-02T19.01.48.931,7.105,0.921,0.420,-0.045
1580688109010,2020-02-02T19.01.49.010,7.184,0.921,0.421,-0.052
1580688109089,2020-02-02T19.01.49.089,7.263,0.917,0.430,-0.048
1580688109169,2020-02-02T19.01.49.169,7.343,0.912,0.439,-0.050
1580688109248,2020-02-02T19.01.49.248,7.422,0.903,0.454,-0.054
1580688109329,2020-02-02T19.01.49.329,7.503,0.894,0.476,-0.050
1580688109408,2020-02-02T19.01.49.408,7.582,0.877,0.502,-0.055
1580688109489,2020-02-02T19.01.49.489,7.663,0.858,0.534,-0.056
1580688109568,2020-02-02T19.01.49.568,7.742,0.839,0.567,-0.060
1580688109648,2020-02-02T19.01.49.648,7.822,0.813,0.595,-0.067
1580688109727,2020-02-02T19.01.49.727,7.901,0.795,0.618,-0.067
1580688109808,2020-02-02T19.01.49.808,7.982,0.781,0.634,-0.064
1580688109887,2020-02-02T19.01.49.887,8.061,0.779,0.636,-0.066
1580688109968,2020-02-02T19.01.49.968,8.142,0.789,0.631,-0.064
1580688110047,2020-02-02T19.01.50.047,8.221,0.793,0.624,-0.063
