epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1582744756884,2020-02-26T14.19.16.884,0.000,0.833,0.493,-0.009
1582744756963,2020-02-26T14.19.16.963,0.079,0.841,0.497,-0.008
1582744757043,2020-02-26T14.19.17.043,0.159,0.839,0.496,-0.007
1582744757123,2020-02-26T14.19.17.123,0.239,0.840,0.496,-0.007
1582744757202,2020-02-26T14.19.17.202,0.318,0.839,0.495,-0.007
1582744757281,2020-02-26T14.19.17.281,0.397,0.844,0.489,-0.008
1582744757360,2020-02-26T14.19.17.360,0.476,0.847,0.488,-0.008
1582744757439,2020-02-26T14.19.17.439,0.555,0.859,0.469,-0.009
1582744757520,2020-02-26T14.19.17.520,0.636,0.881,0.416,-0.005
1582744757599,2020-02-26T14.19.17.599,0.715,0.900,0.360,-0.001
1582744757678,2020-02-26T14.19.17.678,0.794,0.905,0.363,-0.000
1582744757757,2020-02-26T14.19.17.757,0.873,0.910,0.345,0.000
1582744757836,2020-02-26T14.19.17.836,0.952,0.913,0.341,-0.003
1582744757915,2020-02-26T14.19.17.915,1.031,0.914,0.342,-0.004
1582744757996,2020-02-26T14.19.17.996,1.112,0.924,0.320,-0.003
1582744758075,2020-02-26T14.19.18.075,1.191,0.941,0.246,0.002
1582744758154,2020-02-26T14.19.18.154,1.270,0.957,0.180,0.007
1582744758233,2020-02-26T14.19.18.233,1.349,0.961,0.169,0.005
1582744758312,2020-02-26T14.19.18.312,1.428,0.961,0.177,0.000
1582744758391,2020-02-26T14.19.18.391,1.507,0.960,0.179,0.004
1582744758472,2020-02-26T14.19.18.472,1.588,0.960,0.178,0.002
1582744758551,2020-02-26T14.19.18.551,1.667,0.960,0.177,0.001
1582744758630,2020-02-26T14.19.18.630,1.746,0.959,0.179,0.005
1582744758709,2020-02-26T14.19.18.709,1.825,0.961,0.177,0.001
1582744758788,2020-02-26T14.19.18.788,1.904,0.960,0.177,0.002
1582744758867,2020-02-26T14.19.18.867,1.983,0.960,0.178,0.004
1582744758948,2020-02-26T14.19.18.948,2.064,0.961,0.177,0.002
1582744759027,2020-02-26T14.19.19.027,2.143,0.960,0.178,0.002
1582744759106,2020-02-26T14.19.19.106,2.222,0.958,0.178,0.004
1582744759185,2020-02-26T14.19.19.185,2.301,0.961,0.179,0.000
1582744759264,2020-02-26T14.19.19.264,2.380,0.960,0.179,0.004
1582744759343,2020-02-26T14.19.19.343,2.459,0.961,0.181,0.002
1582744759424,2020-02-26T14.19.19.424,2.540,0.960,0.180,-0.000
1582744759503,2020-02-26T14.19.19.503,2.619,0.960,0.181,0.005
1582744759582,2020-02-26T14.19.19.582,2.698,0.960,0.181,0.002
1582744759661,2020-02-26T14.19.19.661,2.777,0.961,0.180,0.002
1582744759740,2020-02-26T14.19.19.740,2.856,0.959,0.181,0.005
1582744759819,2020-02-26T14.19.19.819,2.935,0.959,0.180,0.001
1582744759900,2020-02-26T14.19.19.900,3.016,0.960,0.181,0.004
1582744759979,2020-02-26T14.19.19.979,3.095,0.960,0.181,0.003
1582744760058,2020-02-26T14.19.20.058,3.174,0.959,0.181,0.000
1582744760137,2020-02-26T14.19.20.137,3.253,0.960,0.181,0.004
1582744760216,2020-02-26T14.19.20.216,3.332,0.959,0.181,0.001
1582744760295,2020-02-26T14.19.20.295,3.411,0.960,0.181,0.001
1582744760376,2020-02-26T14.19.20.376,3.492,0.959,0.181,0.004
1582744760455,2020-02-26T14.19.20.455,3.571,0.959,0.182,0.002
1582744760534,2020-02-26T14.19.20.534,3.650,0.960,0.181,0.004
1582744760613,2020-02-26T14.19.20.613,3.729,0.959,0.181,0.003
1582744760692,2020-02-26T14.19.20.692,3.808,0.960,0.181,0.001
1582744760771,2020-02-26T14.19.20.771,3.887,0.959,0.183,0.003
1582744760852,2020-02-26T14.19.20.852,3.968,0.960,0.182,0.003
1582744760931,2020-02-26T14.19.20.931,4.047,0.960,0.182,0.002
1582744761010,2020-02-26T14.19.21.010,4.126,0.959,0.182,0.004
1582744761089,2020-02-26T14.19.21.089,4.205,0.959,0.181,0.002
1582744761168,2020-02-26T14.19.21.168,4.284,0.959,0.183,0.002
1582744761248,2020-02-26T14.19.21.248,4.364,0.959,0.185,0.003
1582744761328,2020-02-26T14.19.21.328,4.444,0.959,0.188,0.001
1582744761407,2020-02-26T14.19.21.407,4.523,0.958,0.187,0.003
1582744761486,2020-02-26T14.19.21.486,4.602,0.958,0.188,0.002
1582744761565,2020-02-26T14.19.21.565,4.681,0.958,0.187,0.002
1582744761645,2020-02-26T14.19.21.645,4.761,0.958,0.188,0.003
1582744761725,2020-02-26T14.19.21.725,4.841,0.958,0.188,0.002
1582744761804,2020-02-26T14.19.21.804,4.920,0.958,0.191,0.002
1582744761883,2020-02-26T14.19.21.883,4.999,0.957,0.192,0.004
1582744761962,2020-02-26T14.19.21.962,5.078,0.957,0.192,0.001
1582744762041,2020-02-26T14.19.22.041,5.157,0.957,0.193,0.002
1582744762121,2020-02-26T14.19.22.121,5.237,0.956,0.194,0.003
1582744762201,2020-02-26T14.19.22.201,5.317,0.956,0.194,0.001
1582744762280,2020-02-26T14.19.22.280,5.396,0.956,0.194,0.003
1582744762359,2020-02-26T14.19.22.359,5.475,0.957,0.195,0.002
1582744762438,2020-02-26T14.19.22.438,5.554,0.957,0.194,0.001
1582744762518,2020-02-26T14.19.22.518,5.634,0.957,0.195,0.003
1582744762597,2020-02-26T14.19.22.597,5.713,0.957,0.193,0.002
1582744762677,2020-02-26T14.19.22.677,5.793,0.957,0.193,0.002
1582744762756,2020-02-26T14.19.22.756,5.872,0.956,0.194,0.003
1582744762835,2020-02-26T14.19.22.835,5.951,0.957,0.195,0.001
1582744762915,2020-02-26T14.19.22.915,6.031,0.957,0.195,0.002
1582744762994,2020-02-26T14.19.22.994,6.110,0.957,0.194,0.002
1582744763073,2020-02-26T14.19.23.073,6.189,0.956,0.195,0.001
1582744763153,2020-02-26T14.19.23.153,6.269,0.957,0.196,0.004
1582744763232,2020-02-26T14.19.23.232,6.348,0.956,0.196,0.001
1582744763312,2020-02-26T14.19.23.312,6.428,0.957,0.195,0.001
1582744763391,2020-02-26T14.19.23.391,6.507,0.956,0.196,0.004
1582744763470,2020-02-26T14.19.23.470,6.586,0.957,0.195,0.002
1582744763550,2020-02-26T14.19.23.550,6.666,0.956,0.196,0.002
1582744763629,2020-02-26T14.19.23.629,6.745,0.956,0.196,0.003
1582744763708,2020-02-26T14.19.23.708,6.824,0.957,0.196,0.003
1582744763788,2020-02-26T14.19.23.788,6.904,0.957,0.196,0.001
1582744763867,2020-02-26T14.19.23.867,6.983,0.957,0.195,0.003
1582744763946,2020-02-26T14.19.23.946,7.062,0.957,0.196,0.002
1582744764026,2020-02-26T14.19.24.026,7.142,0.958,0.196,0.001
1582744764105,2020-02-26T14.19.24.105,7.221,0.956,0.196,0.002
1582744764185,2020-02-26T14.19.24.185,7.301,0.958,0.195,0.002
1582744764264,2020-02-26T14.19.24.264,7.380,0.956,0.196,0.002
1582744764343,2020-02-26T14.19.24.343,7.459,0.956,0.196,0.004
1582744764422,2020-02-26T14.19.24.422,7.538,0.957,0.195,0.000
1582744764502,2020-02-26T14.19.24.502,7.618,0.956,0.195,0.002
1582744764582,2020-02-26T14.19.24.582,7.698,0.956,0.196,0.003
1582744764661,2020-02-26T14.19.24.661,7.777,0.957,0.195,0.000
1582744764740,2020-02-26T14.19.24.740,7.856,0.956,0.196,0.003
1582744764819,2020-02-26T14.19.24.819,7.935,0.957,0.195,0.002
1582744764898,2020-02-26T14.19.24.898,8.014,0.957,0.195,0.000
1582744764979,2020-02-26T14.19.24.979,8.095,0.957,0.195,0.006
1582744765058,2020-02-26T14.19.25.058,8.174,0.956,0.195,0.002
1582744765137,2020-02-26T14.19.25.137,8.253,0.958,0.194,0.002
1582744765216,2020-02-26T14.19.25.216,8.332,0.957,0.196,0.005
1582744765295,2020-02-26T14.19.25.295,8.411,0.956,0.195,0.000
1582744765374,2020-02-26T14.19.25.374,8.490,0.957,0.195,0.002
1582744765455,2020-02-26T14.19.25.455,8.571,0.956,0.196,0.004
1582744765534,2020-02-26T14.19.25.534,8.650,0.958,0.195,0.001
1582744765613,2020-02-26T14.19.25.613,8.729,0.954,0.198,0.003
1582744765692,2020-02-26T14.19.25.692,8.808,0.958,0.194,0.001
1582744765771,2020-02-26T14.19.25.771,8.887,0.955,0.197,0.000
1582744765852,2020-02-26T14.19.25.852,8.968,0.956,0.196,0.006
1582744765931,2020-02-26T14.19.25.931,9.047,0.956,0.196,-0.001
1582744766010,2020-02-26T14.19.26.010,9.126,0.957,0.195,0.004
1582744766089,2020-02-26T14.19.26.089,9.205,0.955,0.197,0.004
1582744766168,2020-02-26T14.19.26.168,9.284,0.957,0.183,0.000
